Chr	BP	kimura_distance	species	norm_dist_center
III	2970001	20.4527957	briggsae	0.29628
III	2980001	22.06215054	briggsae	0.295594
III	2990001	23.36941176	briggsae	0.294908
III	3000001	24.94690141	briggsae	0.294222
III	3010001	17.63708333	briggsae	0.293536
III	3020001	20.62578947	briggsae	0.292851
III	3030001	20.33472222	briggsae	0.292165
III	3040001	21.23565217	briggsae	0.291479
III	3050001	19.32657895	briggsae	0.290793
III	3060001	26.02823529	briggsae	0.290107
III	3070001	15.24735294	briggsae	0.289421
III	3080001	17.65931818	briggsae	0.288735
III	3090001	23.84135135	briggsae	0.288049
III	3100001	21.80847826	briggsae	0.287363
III	3110001	24.58058824	briggsae	0.286677
III	3120001	24.50028571	briggsae	0.285991
III	3130001	23.71666667	briggsae	0.285305
III	3140001	23.49440678	briggsae	0.284619
III	3150001	24.16893805	briggsae	0.283934
III	3160001	16.54939394	briggsae	0.283248
III	3170001	17.91871795	briggsae	0.282562
III	3180001	25.38648148	briggsae	0.281876
III	3190001	19.725	briggsae	0.28119
III	3200001	22.60410959	briggsae	0.280504
III	3210001	25.27	briggsae	0.279818
III	3220001	23.38983051	briggsae	0.279132
III	3230001	18.39625	briggsae	0.278446
III	3240001	29.69	briggsae	0.27776
III	3250001	23.87701754	briggsae	0.277074
III	3260001	21.64615385	briggsae	0.276388
III	3270001	26.55151515	briggsae	0.275702
III	3280001	21.46173077	briggsae	0.275017
III	3290001	26.415	briggsae	0.274331
III	3300001	20.815	briggsae	0.273645
III	3310001	23.35	briggsae	0.272959
III	3320001	19.23882353	briggsae	0.272273
III	3330001	23.05086957	briggsae	0.271587
III	3340001	21.5703125	briggsae	0.270901
III	3350001	23.56894737	briggsae	0.270215
III	3360001	19.83921053	briggsae	0.269529
III	3370001	17.65928571	briggsae	0.268843
III	3380001	13.50578947	briggsae	0.268157
III	3390001	22.58815789	briggsae	0.267471
III	3400001	26.65913043	briggsae	0.266785
III	3410001	20.93096774	briggsae	0.266099
III	3420001	25.93055556	briggsae	0.265414
III	3430001	21.71533333	briggsae	0.264728
III	3440001	21.45386364	briggsae	0.264042
III	3450001	23.65489796	briggsae	0.263356
III	3460001	22.34277778	briggsae	0.26267
III	3470001	14.02766667	briggsae	0.261984
III	3480001	19.92034483	briggsae	0.261298
III	3490001	19.84761905	briggsae	0.260612
III	3500001	20.84631579	briggsae	0.259926
III	3510001	24.2112766	briggsae	0.25924
III	3520001	20.88421053	briggsae	0.258554
III	3530001	25.34571429	briggsae	0.257868
III	3540001	26.66774194	briggsae	0.257182
III	3550001	19.1135	briggsae	0.256497
III	3560001	24.89568182	briggsae	0.255811
III	3570001	18.7990566	briggsae	0.255125
III	3580001	21.73729167	briggsae	0.254439
III	3590001	21.97559322	briggsae	0.253753
III	3600001	13.84333333	briggsae	0.253067
III	3610001	22.64913043	briggsae	0.252381
III	3620001	20.30859649	briggsae	0.251695
III	3630001	20.63066667	briggsae	0.251009
III	3640001	9.86	briggsae	0.250323
III	3650001	19.29795455	briggsae	0.249637
III	3660001	22.27309524	briggsae	0.248951
III	3670001	22.89833333	briggsae	0.248265
III	3680001	24.55380952	briggsae	0.24758
III	3690001	22.52391304	briggsae	0.246894
III	3700001	19.88448276	briggsae	0.246208
III	3710001	17.50181818	briggsae	0.245522
III	3720001	12.4175	briggsae	0.244836
III	3730001	27.18714286	briggsae	0.24415
III	3740001	20.22909091	briggsae	0.243464
III	3750001	13.50533333	briggsae	0.242778
III	3760001	17.5165	briggsae	0.242092
III	3770001	11.41	briggsae	0.241406
III	3780001	20.90388889	briggsae	0.24072
III	3790001	18.3285	briggsae	0.240034
III	3800001	25.335	briggsae	0.239348
III	3810001	28.6403125	briggsae	0.238662
III	3820001	22.97847458	briggsae	0.237977
III	3830001	13.75322581	briggsae	0.237291
III	3840001	13.18428571	briggsae	0.236605
III	3850001	16.97	briggsae	0.235919
III	3860001	25.77947368	briggsae	0.235233
III	3870001	24.1325	briggsae	0.234547
III	3880001	13.72173913	briggsae	0.233861
III	3890001	23.72333333	briggsae	0.233175
III	3900001	24.97346154	briggsae	0.232489
III	3910001	21.3054	briggsae	0.231803
III	3920001	20.19393939	briggsae	0.231117
III	3930001	22.44448276	briggsae	0.230431
III	3940001	22.56652778	briggsae	0.229745
III	3950001	24.16925	briggsae	0.22906
III	3960001	22.52375	briggsae	0.228374
III	3970001	24.04166667	briggsae	0.227688
III	3980001	27.21725	briggsae	0.227002
III	3990001	25.55702128	briggsae	0.226316
III	4000001	25.51470588	briggsae	0.22563
III	4010001	17.69636364	briggsae	0.224944
III	4020001	18.35588235	briggsae	0.224258
III	4030001	23.64761905	briggsae	0.223572
III	4040001	18.28444444	briggsae	0.222886
III	4050001	18.12692308	briggsae	0.2222
III	4060001	17.38333333	briggsae	0.221514
III	4070001	15.39	briggsae	0.220828
III	4080001	21.3925	briggsae	0.220143
III	4090001	24.362	briggsae	0.219457
III	4100001	23.41333333	briggsae	0.218771
III	4110001	22.179	briggsae	0.218085
III	4120001	23.0527027	briggsae	0.217399
III	4130001	20.94103448	briggsae	0.216713
III	4140001	26.0504	briggsae	0.216027
III	4150001	24.89146341	briggsae	0.215341
III	4160001	22.51333333	briggsae	0.214655
III	4170001	12.01	briggsae	0.213969
III	4180001	10.80272727	briggsae	0.213283
III	4190001	23.18483871	briggsae	0.212597
III	4200001	19.448	briggsae	0.211911
III	4210001	19.69611111	briggsae	0.211225
III	4220001	22.64433333	briggsae	0.21054
III	4230001	16.111875	briggsae	0.209854
III	4240001	14.03363636	briggsae	0.209168
III	4260001	20.02375	briggsae	0.207796
III	4270001	21.3165	briggsae	0.20711
III	4280001	22.38136364	briggsae	0.206424
III	4290001	17.72722222	briggsae	0.205738
III	4300001	18.87390244	briggsae	0.205052
III	4310001	11.133125	briggsae	0.204366
III	4320001	7.5625	briggsae	0.20368
III	4340001	17.31931034	briggsae	0.202308
III	4350001	19.13904762	briggsae	0.201623
III	4360001	16.83	briggsae	0.200937
III	4370001	19.11333333	briggsae	0.200251
III	4380001	16.06333333	briggsae	0.199565
III	4390001	20.85181818	briggsae	0.198879
III	4400001	22.30590909	briggsae	0.198193
III	4410001	12.80166667	briggsae	0.197507
III	4420001	23.15458333	briggsae	0.196821
III	4430001	19.91444444	briggsae	0.196135
III	4440001	22.8103125	briggsae	0.195449
III	4450001	23.13235294	briggsae	0.194763
III	4460001	22.37976744	briggsae	0.194077
III	4470001	19.76804878	briggsae	0.193391
III	4480001	18.86111111	briggsae	0.192706
III	4490001	10.94939394	briggsae	0.19202
III	4500001	18.25578947	briggsae	0.191334
III	4510001	23.38208333	briggsae	0.190648
III	4520001	20.76269231	briggsae	0.189962
III	4530001	18.31931034	briggsae	0.189276
III	4540001	28.4125	briggsae	0.18859
III	4550001	24.92210526	briggsae	0.187904
III	4560001	20.89269231	briggsae	0.187218
III	4570001	16.65518519	briggsae	0.186532
III	4580001	23.27222222	briggsae	0.185846
III	4590001	23.79107143	briggsae	0.18516
III	4610001	14.60833333	briggsae	0.183788
III	4620001	5.868823529	briggsae	0.183103
III	4630001	9.746666667	briggsae	0.182417
III	4640001	17.085	briggsae	0.181731
III	4650001	24.80705882	briggsae	0.181045
III	4660001	20.68708333	briggsae	0.180359
III	4670001	11.985	briggsae	0.179673
III	4690001	1.68	briggsae	0.178301
III	4700001	19.5268	briggsae	0.177615
III	4710001	23.48294118	briggsae	0.176929
III	4720001	24.013125	briggsae	0.176243
III	4730001	12.905	briggsae	0.175557
III	4740001	21.72714286	briggsae	0.174871
III	4750001	24.61	briggsae	0.174186
III	4760001	19.808125	briggsae	0.1735
III	4770001	19.574	briggsae	0.172814
III	4780001	23.888	briggsae	0.172128
III	4790001	16.06833333	briggsae	0.171442
III	4800001	18.801	briggsae	0.170756
III	4810001	23.29206897	briggsae	0.17007
III	4820001	16.99521739	briggsae	0.169384
III	4830001	23.84666667	briggsae	0.168698
III	4840001	21.53956522	briggsae	0.168012
III	4850001	24.08285714	briggsae	0.167326
III	4860001	20.90166667	briggsae	0.16664
III	4870001	19.32142857	briggsae	0.165954
III	4880001	17.94272727	briggsae	0.165268
III	4890001	17.24852941	briggsae	0.164583
III	4900001	20.23625	briggsae	0.163897
III	4910001	20.52727273	briggsae	0.163211
III	4920001	23.12826087	briggsae	0.162525
III	4930001	22.56826087	briggsae	0.161839
III	4940001	18.05047619	briggsae	0.161153
III	4950001	14.65666667	briggsae	0.160467
III	4970001	21.41789474	briggsae	0.159095
III	4980001	18.59090909	briggsae	0.158409
III	4990001	12.09944444	briggsae	0.157723
III	5000001	15.64375	briggsae	0.157037
III	5010001	23.02428571	briggsae	0.156351
III	5020001	16.13375	briggsae	0.155666
III	5040001	24.43392857	briggsae	0.154294
III	5050001	18.26344828	briggsae	0.153608
III	5060001	18.7904878	briggsae	0.152922
III	5070001	21.09555556	briggsae	0.152236
III	5080001	14.80333333	briggsae	0.15155
III	5090001	21.05323529	briggsae	0.150864
III	5100001	18.95	briggsae	0.150178
III	5110001	13.72833333	briggsae	0.149492
III	5120001	15.31653846	briggsae	0.148806
III	5130001	17.722	briggsae	0.14812
III	5140001	13.295	briggsae	0.147434
III	5150001	12.09076923	briggsae	0.146749
III	5160001	20.77363636	briggsae	0.146063
III	5170001	23.89227273	briggsae	0.145377
III	5180001	16.08375	briggsae	0.144691
III	5190001	12.271	briggsae	0.144005
III	5200001	12.51	briggsae	0.143319
III	5210001	14.29571429	briggsae	0.142633
III	5220001	11.89666667	briggsae	0.141947
III	5230001	10.26777778	briggsae	0.141261
III	5240001	17.5171875	briggsae	0.140575
III	5250001	21.80870968	briggsae	0.139889
III	5260001	18.89205882	briggsae	0.139203
III	5270001	8.480909091	briggsae	0.138517
III	5280001	18.85757576	briggsae	0.137831
III	5290001	22.77423077	briggsae	0.137146
III	5300001	19.45193548	briggsae	0.13646
III	5320001	8.694615385	briggsae	0.135088
III	5330001	17.88454545	briggsae	0.134402
III	5340001	20.47682927	briggsae	0.133716
III	5350001	22.78241379	briggsae	0.13303
III	5360001	20.7	briggsae	0.132344
III	5370001	22.8465	briggsae	0.131658
III	5380001	24.36740741	briggsae	0.130972
III	5390001	20.5975	briggsae	0.130286
III	5400001	19.84823529	briggsae	0.1296
III	5410001	14.84041667	briggsae	0.128914
III	5420001	14.83458333	briggsae	0.128229
III	5430001	26.86545455	briggsae	0.127543
III	5440001	20.31357143	briggsae	0.126857
III	5450001	19.54555556	briggsae	0.126171
III	5460001	16.75	briggsae	0.125485
III	5470001	14.035	briggsae	0.124799
III	5480001	11.36	briggsae	0.124113
III	5490001	18.9926087	briggsae	0.123427
III	5500001	12.069	briggsae	0.122741
III	5510001	17.794	briggsae	0.122055
III	5520001	19.95636364	briggsae	0.121369
III	5530001	23.30236842	briggsae	0.120683
III	5540001	30.37666667	briggsae	0.119997
III	5550001	14.41875	briggsae	0.119312
III	5560001	17.22285714	briggsae	0.118626
III	5570001	21.21944444	briggsae	0.11794
III	5580001	21.47441176	briggsae	0.117254
III	5590001	23.47136364	briggsae	0.116568
III	5600001	20.414	briggsae	0.115882
III	5610001	18.55666667	briggsae	0.115196
III	5620001	24.36833333	briggsae	0.11451
III	5630001	19.28222222	briggsae	0.113824
III	5640001	2.715	briggsae	0.113138
III	5650001	8.364	briggsae	0.112452
III	5660001	18.07636364	briggsae	0.111766
III	5670001	20.51136364	briggsae	0.11108
III	5680001	12.67692308	briggsae	0.110394
III	5690001	10.90571429	briggsae	0.109709
III	5700001	1.49	briggsae	0.109023
III	5710001	5.593333333	briggsae	0.108337
III	5720001	25.1325	briggsae	0.107651
III	5730001	14.25333333	briggsae	0.106965
III	5740001	8.841538462	briggsae	0.106279
III	5750001	9.418333333	briggsae	0.105593
III	5760001	19.5365	briggsae	0.104907
III	5770001	10.39	briggsae	0.104221
III	5780001	18.53333333	briggsae	0.103535
III	5790001	3.530833333	briggsae	0.102849
III	5800001	17.74178571	briggsae	0.102163
III	5810001	17.43740741	briggsae	0.101477
III	5820001	8.903333333	briggsae	0.100792
III	5830001	17.57352941	briggsae	0.100106
III	5840001	13.808	briggsae	0.0994197
III	5850001	16.28363636	briggsae	0.0987338
III	5860001	14.87540541	briggsae	0.0980478
III	5870001	22.37666667	briggsae	0.0973619
III	5880001	10.27826087	briggsae	0.096676
III	5890001	10.97636364	briggsae	0.0959901
III	5900001	21.62096774	briggsae	0.0953041
III	5910001	22.55125	briggsae	0.0946182
III	5920001	19.33131579	briggsae	0.0939323
III	5930001	23.47083333	briggsae	0.0932464
III	5940001	11.01733333	briggsae	0.0925604
III	5950001	7.79125	briggsae	0.0918745
III	5960001	15.60571429	briggsae	0.0911886
III	5970001	22.16631579	briggsae	0.0905027
III	5980001	19.2473913	briggsae	0.0898167
III	5990001	17.063	briggsae	0.0891308
III	6000001	16.27526316	briggsae	0.0884449
III	6010001	9.9675	briggsae	0.087759
III	6020001	20.50727273	briggsae	0.087073
III	6030001	14.15535714	briggsae	0.0863871
III	6040001	19.95263158	briggsae	0.0857012
III	6050001	14.214	briggsae	0.0850153
III	6060001	16.70176471	briggsae	0.0843293
III	6070001	21.24866667	briggsae	0.0836434
III	6080001	19.59318182	briggsae	0.0829575
III	6090001	19.944	briggsae	0.0822716
III	6100001	17.26785714	briggsae	0.0815856
III	6110001	25.87769231	briggsae	0.0808997
III	6120001	2.445	briggsae	0.0802138
III	6130001	12.7325	briggsae	0.0795279
III	6140001	17.87736842	briggsae	0.0788419
III	6150001	6.72	briggsae	0.078156
III	6160001	12.86428571	briggsae	0.0774701
III	6170001	11.436875	briggsae	0.0767842
III	6180001	11.4925	briggsae	0.0760982
III	6190001	26.79758065	briggsae	0.0754123
III	6200001	16.01176471	briggsae	0.0747264
III	6210001	22.46241379	briggsae	0.0740405
III	6220001	19.96777778	briggsae	0.0733545
III	6230001	19.85176471	briggsae	0.0726686
III	6240001	17.25272727	briggsae	0.0719827
III	6250001	23.95375	briggsae	0.0712968
III	6260001	24.10958333	briggsae	0.0706108
III	6270001	22.78238095	briggsae	0.0699249
III	6280001	21.38357143	briggsae	0.069239
III	6290001	16.246	briggsae	0.0685531
III	6300001	13.15142857	briggsae	0.0678671
III	6310001	13.99	briggsae	0.0671812
III	6320001	19.20205882	briggsae	0.0664953
III	6330001	19.235	briggsae	0.0658094
III	6340001	12.92333333	briggsae	0.0651234
III	6350001	11.65	briggsae	0.0644375
III	6360001	3.99	briggsae	0.0637516
III	6370001	17.61833333	briggsae	0.0630657
III	6380001	17.492	briggsae	0.0623797
III	6390001	20.84222222	briggsae	0.0616938
III	6400001	14.02823529	briggsae	0.0610079
III	6410001	20.63741935	briggsae	0.060322
III	6420001	23.624375	briggsae	0.059636
III	6430001	5.296666667	briggsae	0.0589501
III	6440001	19.18842105	briggsae	0.0582642
III	6450001	20.49133333	briggsae	0.0575783
III	6460001	22.76333333	briggsae	0.0568923
III	6470001	9.94	briggsae	0.0562064
III	6480001	14.45857143	briggsae	0.0555205
III	6490001	5.67	briggsae	0.0548346
III	6500001	24.48235294	briggsae	0.0541486
III	6510001	18.5674359	briggsae	0.0534627
III	6520001	18.185	briggsae	0.0527768
III	6530001	18.71722222	briggsae	0.0520909
III	6540001	17.365	briggsae	0.0514049
III	6550001	17.61666667	briggsae	0.050719
