Chr	BP	element_count	species
I	2240001	33	briggsae
I	2250001	15	briggsae
I	2260001	13	briggsae
I	2270001	26	briggsae
I	2280001	19	briggsae
I	2290001	29	briggsae
I	2300001	36	briggsae
I	2310001	40	briggsae
I	2320001	35	briggsae
I	2330001	29	briggsae
I	2340001	52	briggsae
I	2350001	19	briggsae
I	2360001	16	briggsae
I	2370001	38	briggsae
I	2380001	12	briggsae
I	2390001	35	briggsae
I	2400001	41	briggsae
I	2410001	23	briggsae
I	2420001	9	briggsae
I	2430001	22	briggsae
I	2440001	22	briggsae
I	2450001	39	briggsae
I	2460001	28	briggsae
I	2470001	39	briggsae
I	2480001	21	briggsae
I	2490001	16	briggsae
I	2500001	27	briggsae
I	2510001	16	briggsae
I	2520001	26	briggsae
I	2530001	28	briggsae
I	2540001	19	briggsae
I	2550001	25	briggsae
I	2560001	27	briggsae
I	2570001	11	briggsae
I	2580001	30	briggsae
I	2590001	21	briggsae
I	2600001	22	briggsae
I	2610001	25	briggsae
I	2620001	27	briggsae
I	2630001	6	briggsae
I	2640001	14	briggsae
I	2650001	14	briggsae
I	2660001	37	briggsae
I	2670001	17	briggsae
I	2680001	39	briggsae
I	2690001	16	briggsae
I	2700001	28	briggsae
I	2710001	21	briggsae
I	2720001	19	briggsae
I	2730001	24	briggsae
I	2740001	33	briggsae
I	2750001	30	briggsae
I	2760001	10	briggsae
I	2770001	25	briggsae
I	2780001	18	briggsae
I	2790001	23	briggsae
I	2800001	13	briggsae
I	2810001	30	briggsae
I	2820001	11	briggsae
I	2830001	24	briggsae
I	2840001	22	briggsae
I	2850001	13	briggsae
I	2860001	32	briggsae
I	2870001	34	briggsae
I	2880001	46	briggsae
I	2890001	38	briggsae
I	2900001	17	briggsae
I	2910001	9	briggsae
I	2920001	16	briggsae
I	2930001	18	briggsae
I	2940001	26	briggsae
I	2950001	30	briggsae
I	2960001	18	briggsae
I	2970001	13	briggsae
I	2980001	19	briggsae
I	2990001	16	briggsae
I	3000001	19	briggsae
I	3010001	23	briggsae
I	3020001	30	briggsae
I	3030001	17	briggsae
I	3040001	22	briggsae
I	3050001	18	briggsae
I	3060001	13	briggsae
I	3070001	12	briggsae
I	3080001	22	briggsae
I	3090001	24	briggsae
I	3100001	17	briggsae
I	3110001	28	briggsae
I	3120001	37	briggsae
I	3130001	30	briggsae
I	3140001	14	briggsae
I	3150001	25	briggsae
I	3160001	17	briggsae
I	3170001	9	briggsae
I	3180001	18	briggsae
I	3190001	13	briggsae
I	3200001	14	briggsae
I	3210001	12	briggsae
I	3220001	13	briggsae
I	3230001	26	briggsae
I	3240001	16	briggsae
I	3250001	11	briggsae
I	3260001	16	briggsae
I	3270001	20	briggsae
I	3280001	10	briggsae
I	3290001	24	briggsae
I	3300001	43	briggsae
I	3310001	7	briggsae
I	3320001	24	briggsae
I	3330001	17	briggsae
I	3340001	38	briggsae
I	3350001	34	briggsae
I	3360001	17	briggsae
I	3370001	29	briggsae
I	3380001	24	briggsae
I	3390001	37	briggsae
I	3400001	36	briggsae
I	3410001	29	briggsae
I	3420001	26	briggsae
I	3430001	9	briggsae
I	3440001	12	briggsae
I	3450001	6	briggsae
I	3460001	3	briggsae
I	3470001	32	briggsae
I	3480001	33	briggsae
I	3490001	22	briggsae
I	3500001	22	briggsae
I	3510001	5	briggsae
I	3520001	0	briggsae
I	3530001	27	briggsae
I	3540001	15	briggsae
I	3550001	4	briggsae
I	3560001	8	briggsae
I	3570001	6	briggsae
I	3580001	2	briggsae
I	3590001	6	briggsae
I	3600001	18	briggsae
I	3610001	9	briggsae
I	3620001	11	briggsae
I	3630001	6	briggsae
I	3640001	6	briggsae
I	3650001	14	briggsae
I	3660001	16	briggsae
I	3670001	24	briggsae
I	3680001	14	briggsae
I	3690001	3	briggsae
I	3700001	3	briggsae
I	3710001	20	briggsae
I	3720001	27	briggsae
I	3730001	18	briggsae
I	3740001	16	briggsae
I	3750001	13	briggsae
I	3760001	7	briggsae
I	3770001	4	briggsae
I	3780001	15	briggsae
I	3790001	20	briggsae
I	3800001	12	briggsae
I	3810001	7	briggsae
I	3820001	9	briggsae
I	3830001	22	briggsae
I	3840001	15	briggsae
I	3850001	14	briggsae
I	3860001	5	briggsae
I	3870001	18	briggsae
I	3880001	26	briggsae
I	3890001	5	briggsae
I	3900001	3	briggsae
I	3910001	15	briggsae
I	3920001	10	briggsae
I	3930001	10	briggsae
I	3940001	13	briggsae
I	3950001	9	briggsae
I	3960001	10	briggsae
I	3970001	13	briggsae
I	3980001	6	briggsae
I	3990001	0	briggsae
I	4000001	1	briggsae
I	4010001	3	briggsae
I	4020001	16	briggsae
I	4030001	24	briggsae
I	4040001	20	briggsae
I	4050001	15	briggsae
I	4060001	9	briggsae
I	4070001	4	briggsae
I	4080001	11	briggsae
I	4090001	19	briggsae
I	4100001	5	briggsae
I	4110001	3	briggsae
I	4120001	21	briggsae
I	4130001	1	briggsae
I	4140001	1	briggsae
I	4150001	18	briggsae
I	4160001	10	briggsae
I	4170001	7	briggsae
I	4180001	4	briggsae
I	4190001	10	briggsae
I	4200001	16	briggsae
I	4210001	29	briggsae
I	4220001	23	briggsae
I	4230001	15	briggsae
I	4240001	16	briggsae
I	4250001	17	briggsae
I	4260001	12	briggsae
I	4270001	10	briggsae
I	4280001	5	briggsae
I	4290001	11	briggsae
I	4300001	1	briggsae
I	4310001	6	briggsae
I	4320001	2	briggsae
I	4330001	20	briggsae
I	4340001	12	briggsae
I	4350001	14	briggsae
I	4360001	22	briggsae
I	4370001	6	briggsae
I	4380001	15	briggsae
I	4390001	14	briggsae
I	4400001	3	briggsae
I	4410001	17	briggsae
I	4420001	11	briggsae
I	4430001	4	briggsae
I	4440001	4	briggsae
I	4450001	14	briggsae
I	4460001	15	briggsae
I	4470001	20	briggsae
I	4480001	9	briggsae
I	4490001	4	briggsae
I	4500001	2	briggsae
I	4510001	11	briggsae
I	4520001	9	briggsae
I	4530001	11	briggsae
I	4540001	11	briggsae
I	4550001	21	briggsae
I	4560001	8	briggsae
I	4570001	14	briggsae
I	4580001	11	briggsae
I	4590001	14	briggsae
I	4600001	2	briggsae
I	4610001	12	briggsae
I	4620001	22	briggsae
I	4630001	24	briggsae
I	4640001	15	briggsae
I	4650001	7	briggsae
I	4660001	19	briggsae
I	4670001	11	briggsae
I	4680001	5	briggsae
I	4690001	18	briggsae
I	4700001	10	briggsae
I	4710001	10	briggsae
I	4720001	13	briggsae
I	4730001	12	briggsae
I	4740001	12	briggsae
I	4750001	6	briggsae
I	4760001	10	briggsae
I	4770001	10	briggsae
I	4780001	12	briggsae
I	4790001	19	briggsae
I	4800001	14	briggsae
I	4810001	9	briggsae
I	4820001	16	briggsae
I	4830001	28	briggsae
I	4840001	23	briggsae
I	4850001	18	briggsae
I	4860001	11	briggsae
I	4870001	12	briggsae
I	4880001	18	briggsae
I	4890001	16	briggsae
I	4900001	19	briggsae
I	4910001	4	briggsae
I	4920001	16	briggsae
I	4930001	12	briggsae
I	4940001	7	briggsae
I	4950001	32	briggsae
I	4960001	17	briggsae
I	4970001	7	briggsae
I	4980001	19	briggsae
I	4990001	6	briggsae
I	5000001	14	briggsae
I	5010001	13	briggsae
I	5020001	10	briggsae
I	5030001	15	briggsae
I	5040001	10	briggsae
I	5050001	15	briggsae
I	5060001	8	briggsae
I	5070001	20	briggsae
I	5080001	25	briggsae
I	5090001	14	briggsae
I	5100001	4	briggsae
I	5110001	16	briggsae
I	5120001	3	briggsae
I	5130001	1	briggsae
I	5140001	23	briggsae
I	5150001	9	briggsae
I	5160001	8	briggsae
I	5170001	27	briggsae
I	5180001	17	briggsae
I	5190001	13	briggsae
I	5200001	5	briggsae
I	5210001	16	briggsae
I	5220001	18	briggsae
I	5230001	32	briggsae
I	5240001	11	briggsae
I	5250001	5	briggsae
I	5260001	14	briggsae
I	5270001	20	briggsae
I	5280001	9	briggsae
I	5290001	10	briggsae
I	5300001	15	briggsae
I	5310001	17	briggsae
I	5320001	11	briggsae
I	5330001	7	briggsae
I	5340001	11	briggsae
I	5350001	7	briggsae
I	5360001	3	briggsae
I	5370001	21	briggsae
I	5380001	8	briggsae
I	5390001	13	briggsae
I	5400001	18	briggsae
I	5410001	11	briggsae
I	5420001	35	briggsae
I	5430001	17	briggsae
I	5440001	16	briggsae
I	5450001	6	briggsae
I	5460001	11	briggsae
I	5470001	32	briggsae
I	5480001	23	briggsae
I	5490001	23	briggsae
I	5500001	21	briggsae
I	5510001	9	briggsae
I	5520001	18	briggsae
I	5530001	29	briggsae
I	5540001	16	briggsae
I	5550001	18	briggsae
I	5560001	15	briggsae
I	5570001	9	briggsae
I	5580001	20	briggsae
I	5590001	8	briggsae
I	5600001	10	briggsae
I	5610001	10	briggsae
I	5620001	15	briggsae
I	5630001	10	briggsae
I	5640001	2	briggsae
I	5650001	16	briggsae
I	5660001	16	briggsae
I	5670001	15	briggsae
I	5680001	5	briggsae
I	5690001	14	briggsae
I	5700001	17	briggsae
I	5710001	4	briggsae
I	5720001	4	briggsae
I	5730001	19	briggsae
I	5740001	15	briggsae
I	5750001	13	briggsae
I	5760001	16	briggsae
I	5770001	18	briggsae
I	5780001	20	briggsae
I	5790001	19	briggsae
I	5800001	9	briggsae
I	5810001	5	briggsae
I	5820001	10	briggsae
I	5830001	19	briggsae
I	5840001	17	briggsae
I	5850001	12	briggsae
I	5860001	6	briggsae
I	5870001	12	briggsae
I	5880001	24	briggsae
I	5890001	1	briggsae
I	5900001	1	briggsae
I	5910001	20	briggsae
I	5920001	22	briggsae
I	5930001	23	briggsae
I	5940001	6	briggsae
I	5950001	5	briggsae
I	5960001	12	briggsae
I	5970001	2	briggsae
I	5980001	17	briggsae
I	5990001	3	briggsae
I	6000001	6	briggsae
I	6010001	8	briggsae
I	6020001	15	briggsae
I	6030001	18	briggsae
I	6040001	8	briggsae
I	6050001	25	briggsae
I	6060001	23	briggsae
I	6070001	9	briggsae
I	6080001	24	briggsae
I	6090001	16	briggsae
I	6100001	2	briggsae
I	6110001	14	briggsae
I	6120001	15	briggsae
I	6130001	11	briggsae
I	6140001	1	briggsae
I	6150001	3	briggsae
I	6160001	25	briggsae
I	6170001	16	briggsae
I	6180001	19	briggsae
I	6190001	17	briggsae
I	6200001	23	briggsae
I	6210001	15	briggsae
I	6220001	21	briggsae
I	6230001	19	briggsae
I	6240001	9	briggsae
I	6250001	15	briggsae
I	6260001	19	briggsae
I	6270001	25	briggsae
I	6280001	35	briggsae
I	6290001	22	briggsae
I	6300001	18	briggsae
I	6310001	11	briggsae
I	6320001	20	briggsae
I	6330001	24	briggsae
I	6340001	16	briggsae
I	6350001	9	briggsae
I	6360001	16	briggsae
I	6370001	20	briggsae
I	6380001	14	briggsae
I	6390001	23	briggsae
I	6400001	18	briggsae
I	6410001	18	briggsae
I	6420001	13	briggsae
I	6430001	5	briggsae
I	6440001	17	briggsae
I	6450001	27	briggsae
I	6460001	13	briggsae
I	6470001	23	briggsae
I	6480001	20	briggsae
I	6490001	17	briggsae
I	6500001	22	briggsae
I	6510001	12	briggsae
I	6520001	14	briggsae
I	6530001	26	briggsae
I	6540001	11	briggsae
I	6550001	9	briggsae
I	6560001	19	briggsae
I	6570001	0	briggsae
I	6580001	7	briggsae
I	6590001	17	briggsae
I	6600001	19	briggsae
I	6610001	31	briggsae
I	6620001	25	briggsae
I	6630001	39	briggsae
I	6640001	15	briggsae
I	6650001	13	briggsae
I	6660001	0	briggsae
I	6670001	27	briggsae
I	6680001	19	briggsae
I	6690001	36	briggsae
I	6700001	11	briggsae
I	6710001	19	briggsae
I	6720001	53	briggsae
I	6730001	3	briggsae
I	6740001	4	briggsae
I	6750001	7	briggsae
I	6760001	35	briggsae
I	6770001	36	briggsae
I	6780001	22	briggsae
I	6790001	21	briggsae
I	6800001	11	briggsae
I	6810001	10	briggsae
I	6820001	14	briggsae
I	6830001	25	briggsae
I	6840001	30	briggsae
I	6850001	9	briggsae
I	6860001	11	briggsae
I	6870001	22	briggsae
I	6880001	19	briggsae
I	6890001	12	briggsae
I	6900001	12	briggsae
I	6910001	28	briggsae
I	6920001	31	briggsae
I	6930001	25	briggsae
I	6940001	34	briggsae
I	6950001	15	briggsae
I	6960001	12	briggsae
I	6970001	12	briggsae
I	6980001	23	briggsae
I	6990001	14	briggsae
I	7000001	29	briggsae
I	7010001	21	briggsae
I	7020001	22	briggsae
I	7030001	27	briggsae
I	7040001	19	briggsae
I	7050001	29	briggsae
I	7060001	32	briggsae
I	7070001	26	briggsae
I	7080001	17	briggsae
I	7090001	21	briggsae
I	7100001	32	briggsae
I	7110001	17	briggsae
I	7120001	29	briggsae
I	7130001	28	briggsae
I	7140001	26	briggsae
I	7150001	23	briggsae
I	7160001	37	briggsae
I	7170001	28	briggsae
I	7180001	39	briggsae
I	7190001	42	briggsae
I	7200001	27	briggsae
I	7210001	16	briggsae
I	7220001	25	briggsae
I	7230001	18	briggsae
I	7240001	9	briggsae
I	7250001	24	briggsae
I	7260001	21	briggsae
I	7270001	32	briggsae
I	7280001	19	briggsae
I	7290001	24	briggsae
I	7300001	7	briggsae
I	7310001	17	briggsae
I	7320001	19	briggsae
I	7330001	15	briggsae
I	7340001	23	briggsae
I	7350001	7	briggsae
I	7360001	4	briggsae
I	7370001	18	briggsae
I	7380001	15	briggsae
I	7390001	14	briggsae
I	7400001	14	briggsae
I	7410001	10	briggsae
I	7420001	11	briggsae
I	7430001	22	briggsae
I	7440001	15	briggsae
I	7450001	2	briggsae
I	7460001	19	briggsae
I	7470001	1	briggsae
I	7480001	6	briggsae
I	7490001	17	briggsae
I	7500001	10	briggsae
I	7510001	15	briggsae
I	7520001	20	briggsae
I	7530001	10	briggsae
I	7540001	4	briggsae
I	7550001	24	briggsae
I	7560001	8	briggsae
I	7570001	10	briggsae
I	7580001	13	briggsae
I	7590001	13	briggsae
I	7600001	6	briggsae
I	7610001	19	briggsae
I	7620001	1	briggsae
I	7630001	10	briggsae
I	7640001	14	briggsae
I	7650001	14	briggsae
I	7660001	4	briggsae
I	7670001	9	briggsae
I	7680001	13	briggsae
I	7690001	13	briggsae
I	7700001	13	briggsae
I	7710001	5	briggsae
I	7720001	1	briggsae
I	7730001	16	briggsae
I	7740001	24	briggsae
I	7750001	11	briggsae
I	7760001	5	briggsae
I	7770001	15	briggsae
I	7780001	26	briggsae
I	7790001	17	briggsae
I	7800001	7	briggsae
I	7810001	10	briggsae
I	7820001	10	briggsae
I	7830001	9	briggsae
I	7840001	3	briggsae
I	7850001	19	briggsae
I	7860001	21	briggsae
I	7870001	24	briggsae
I	7880001	24	briggsae
I	7890001	16	briggsae
I	7900001	15	briggsae
I	7910001	22	briggsae
I	7920001	8	briggsae
I	7930001	3	briggsae
I	7940001	9	briggsae
I	7950001	12	briggsae
I	7960001	20	briggsae
I	7970001	3	briggsae
I	7980001	14	briggsae
I	7990001	2	briggsae
I	8000001	12	briggsae
I	8010001	16	briggsae
I	8020001	19	briggsae
I	8030001	10	briggsae
I	8040001	1	briggsae
I	8050001	14	briggsae
I	8060001	13	briggsae
I	8070001	15	briggsae
I	8080001	19	briggsae
I	8090001	20	briggsae
I	8100001	17	briggsae
I	8110001	17	briggsae
I	8120001	23	briggsae
I	8130001	13	briggsae
I	8140001	13	briggsae
I	8150001	13	briggsae
I	8160001	10	briggsae
I	8170001	10	briggsae
I	8180001	2	briggsae
I	8190001	9	briggsae
I	8200001	7	briggsae
I	8210001	15	briggsae
I	8220001	29	briggsae
I	8230001	10	briggsae
I	8240001	5	briggsae
I	8250001	10	briggsae
I	8260001	19	briggsae
I	8270001	17	briggsae
I	8280001	10	briggsae
I	8290001	5	briggsae
I	8300001	8	briggsae
I	8310001	17	briggsae
I	8320001	9	briggsae
I	8330001	16	briggsae
I	8340001	13	briggsae
I	8350001	11	briggsae
I	8360001	23	briggsae
I	8370001	10	briggsae
I	8380001	13	briggsae
I	8390001	17	briggsae
I	8400001	25	briggsae
I	8410001	2	briggsae
I	8420001	1	briggsae
I	8430001	19	briggsae
I	8440001	9	briggsae
I	8450001	11	briggsae
I	8460001	24	briggsae
I	8470001	15	briggsae
I	8480001	17	briggsae
I	8490001	7	briggsae
I	8500001	2	briggsae
I	8510001	14	briggsae
I	8520001	15	briggsae
I	8530001	5	briggsae
I	8540001	14	briggsae
I	8550001	1	briggsae
I	8560001	9	briggsae
I	8570001	23	briggsae
I	8580001	17	briggsae
I	8590001	13	briggsae
I	8600001	23	briggsae
I	8610001	19	briggsae
I	8620001	15	briggsae
I	8630001	10	briggsae
I	8640001	19	briggsae
I	8650001	19	briggsae
I	8660001	11	briggsae
I	8670001	14	briggsae
I	8680001	17	briggsae
I	8690001	13	briggsae
I	8700001	10	briggsae
I	8710001	12	briggsae
I	8720001	10	briggsae
I	8730001	7	briggsae
I	8740001	2	briggsae
I	8750001	10	briggsae
I	8760001	12	briggsae
I	8770001	21	briggsae
I	8780001	16	briggsae
I	8790001	20	briggsae
I	8800001	4	briggsae
I	8810001	26	briggsae
I	8820001	4	briggsae
I	8830001	14	briggsae
I	8840001	24	briggsae
I	8850001	14	briggsae
I	8860001	27	briggsae
I	8870001	11	briggsae
I	8880001	4	briggsae
I	8890001	23	briggsae
I	8900001	12	briggsae
I	8910001	24	briggsae
I	8920001	16	briggsae
I	8930001	3	briggsae
I	8940001	4	briggsae
I	8950001	6	briggsae
I	8960001	18	briggsae
I	8970001	19	briggsae
I	8980001	19	briggsae
I	8990001	12	briggsae
I	9000001	3	briggsae
I	9010001	16	briggsae
I	9020001	8	briggsae
I	9030001	14	briggsae
I	9040001	16	briggsae
I	9050001	16	briggsae
I	9060001	9	briggsae
I	9070001	5	briggsae
I	9080001	12	briggsae
I	9090001	22	briggsae
I	9100001	20	briggsae
I	9110001	7	briggsae
I	9120001	6	briggsae
I	9130001	9	briggsae
I	9140001	16	briggsae
I	9150001	22	briggsae
I	9160001	1	briggsae
I	9170001	25	briggsae
I	9180001	16	briggsae
I	9190001	16	briggsae
I	9200001	15	briggsae
I	9210001	18	briggsae
I	9220001	11	briggsae
I	9230001	14	briggsae
I	9240001	19	briggsae
I	9250001	2	briggsae
I	9260001	7	briggsae
I	9270001	24	briggsae
I	9280001	11	briggsae
I	9290001	7	briggsae
I	9300001	7	briggsae
I	9310001	18	briggsae
I	9320001	18	briggsae
I	9330001	5	briggsae
I	9340001	20	briggsae
I	9350001	20	briggsae
I	9360001	3	briggsae
I	9370001	25	briggsae
I	9380001	17	briggsae
I	9390001	15	briggsae
I	9400001	26	briggsae
I	9410001	19	briggsae
I	9420001	14	briggsae
I	9430001	16	briggsae
I	9440001	0	briggsae
I	9450001	24	briggsae
I	9460001	9	briggsae
I	9470001	6	briggsae
I	9480001	19	briggsae
I	9490001	12	briggsae
I	9500001	16	briggsae
I	9510001	17	briggsae
I	9520001	14	briggsae
I	9530001	7	briggsae
I	9540001	15	briggsae
I	9550001	10	briggsae
I	9560001	14	briggsae
I	9570001	18	briggsae
I	9580001	8	briggsae
I	9590001	6	briggsae
I	9600001	13	briggsae
I	9610001	7	briggsae
I	9620001	3	briggsae
I	9630001	23	briggsae
I	9640001	20	briggsae
I	9650001	23	briggsae
I	9660001	15	briggsae
I	9670001	21	briggsae
I	9680001	14	briggsae
I	9690001	3	briggsae
I	9700001	22	briggsae
I	9710001	8	briggsae
I	9720001	11	briggsae
I	9730001	15	briggsae
I	9740001	12	briggsae
I	9750001	20	briggsae
I	9760001	28	briggsae
I	9770001	15	briggsae
I	9780001	8	briggsae
I	9790001	5	briggsae
I	9800001	5	briggsae
I	9810001	10	briggsae
I	9820001	19	briggsae
I	9830001	9	briggsae
I	9840001	26	briggsae
I	9850001	1	briggsae
I	9860001	3	briggsae
I	9870001	13	briggsae
I	9880001	12	briggsae
I	9890001	27	briggsae
I	9900001	17	briggsae
I	9910001	13	briggsae
I	9920001	18	briggsae
I	9930001	19	briggsae
I	9940001	19	briggsae
I	9950001	12	briggsae
I	9960001	15	briggsae
I	9970001	21	briggsae
I	9980001	13	briggsae
I	9990001	20	briggsae
I	10000001	13	briggsae
I	10010001	8	briggsae
I	10020001	11	briggsae
I	10030001	16	briggsae
I	10040001	15	briggsae
I	10050001	22	briggsae
I	10060001	17	briggsae
I	10070001	27	briggsae
I	10080001	14	briggsae
I	10090001	15	briggsae
I	10100001	11	briggsae
I	10110001	37	briggsae
I	10120001	4	briggsae
I	10130001	20	briggsae
I	10140001	22	briggsae
I	10150001	18	briggsae
I	10160001	13	briggsae
I	10170001	17	briggsae
I	10180001	17	briggsae
I	10190001	20	briggsae
I	10200001	24	briggsae
I	10210001	18	briggsae
I	10220001	7	briggsae
I	10230001	10	briggsae
I	10240001	15	briggsae
I	10250001	12	briggsae
I	10260001	30	briggsae
I	10270001	19	briggsae
I	10280001	25	briggsae
I	10290001	19	briggsae
I	10300001	21	briggsae
I	10310001	24	briggsae
I	10320001	15	briggsae
I	10330001	24	briggsae
I	10340001	17	briggsae
I	10350001	19	briggsae
I	10360001	9	briggsae
I	10370001	26	briggsae
I	10380001	13	briggsae
I	10390001	21	briggsae
I	10400001	23	briggsae
I	10410001	7	briggsae
I	10420001	37	briggsae
I	10430001	25	briggsae
I	10440001	21	briggsae
I	10450001	28	briggsae
I	10460001	16	briggsae
I	10470001	10	briggsae
I	10480001	43	briggsae
I	10490001	25	briggsae
I	10500001	14	briggsae
I	10510001	10	briggsae
I	10520001	12	briggsae
I	10530001	32	briggsae
I	10540001	24	briggsae
I	10550001	15	briggsae
I	10560001	17	briggsae
I	10570001	22	briggsae
I	10580001	15	briggsae
I	10590001	22	briggsae
I	10600001	16	briggsae
I	10610001	23	briggsae
I	10620001	32	briggsae
I	10630001	19	briggsae
I	10640001	34	briggsae
I	10650001	12	briggsae
I	10660001	3	briggsae
I	10670001	25	briggsae
I	10680001	21	briggsae
I	10690001	12	briggsae
I	10700001	34	briggsae
I	10710001	21	briggsae
I	10720001	26	briggsae
I	10730001	21	briggsae
I	10740001	29	briggsae
I	10750001	28	briggsae
I	10760001	13	briggsae
I	10770001	24	briggsae
I	10780001	26	briggsae
I	10790001	25	briggsae
I	10800001	15	briggsae
I	10810001	17	briggsae
