Chr	BP	num_rep	species	norm_dist_center
III	3460001	6013	briggsae	0.26267
III	3470001	5150	briggsae	0.261984
III	3480001	2718	briggsae	0.261298
III	3490001	3584	briggsae	0.260612
III	3500001	2803	briggsae	0.259926
III	3510001	4022	briggsae	0.25924
III	3520001	2665	briggsae	0.258554
III	3530001	4723	briggsae	0.257868
III	3540001	7269	briggsae	0.257182
III	3550001	8507	briggsae	0.256497
III	3560001	3314	briggsae	0.255811
III	3570001	4534	briggsae	0.255125
III	3580001	2974	briggsae	0.254439
III	3590001	5208	briggsae	0.253753
III	3600001	2932	briggsae	0.253067
III	3610001	3500	briggsae	0.252381
III	3620001	3579	briggsae	0.251695
III	3630001	5075	briggsae	0.251009
III	3640001	5000	briggsae	0.250323
III	3650001	3616	briggsae	0.249637
III	3660001	3508	briggsae	0.248951
III	3670001	5585	briggsae	0.248265
III	3680001	2908	briggsae	0.24758
III	3690001	4922	briggsae	0.246894
III	3700001	3644	briggsae	0.246208
III	3710001	1688	briggsae	0.245522
III	3720001	1311	briggsae	0.244836
III	3730001	3874	briggsae	0.24415
III	3740001	1612	briggsae	0.243464
III	3750001	1262	briggsae	0.242778
III	3760001	1439	briggsae	0.242092
III	3770001	398	briggsae	0.241406
III	3780001	2165	briggsae	0.24072
III	3790001	1623	briggsae	0.240034
III	3800001	2857	briggsae	0.239348
III	3810001	3142	briggsae	0.238662
III	3820001	3674	briggsae	0.237977
III	3830001	5224	briggsae	0.237291
III	3840001	3361	briggsae	0.236605
III	3850001	694	briggsae	0.235919
III	3860001	1979	briggsae	0.235233
III	3870001	717	briggsae	0.234547
III	3880001	2811	briggsae	0.233861
III	3890001	3457	briggsae	0.233175
III	3900001	3565	briggsae	0.232489
III	3910001	3039	briggsae	0.231803
III	3920001	2033	briggsae	0.231117
III	3930001	2442	briggsae	0.230431
III	3940001	3544	briggsae	0.229745
III	3950001	4464	briggsae	0.22906
III	3960001	2709	briggsae	0.228374
III	3970001	3680	briggsae	0.227688
III	3980001	3070	briggsae	0.227002
III	3990001	3813	briggsae	0.226316
III	4000001	1797	briggsae	0.22563
III	4010001	2009	briggsae	0.224944
III	4020001	1766	briggsae	0.224258
III	4030001	2724	briggsae	0.223572
III	4040001	1680	briggsae	0.222886
III	4050001	1432	briggsae	0.2222
III	4060001	624	briggsae	0.221514
III	4070001	1272	briggsae	0.220828
III	4080001	1614	briggsae	0.220143
III	4090001	3922	briggsae	0.219457
III	4100001	4407	briggsae	0.218771
III	4110001	2259	briggsae	0.218085
III	4120001	2918	briggsae	0.217399
III	4130001	1769	briggsae	0.216713
III	4140001	1615	briggsae	0.216027
III	4150001	3760	briggsae	0.215341
III	4160001	2249	briggsae	0.214655
III	4170001	786	briggsae	0.213969
III	4180001	1319	briggsae	0.213283
III	4190001	2524	briggsae	0.212597
III	4200001	2686	briggsae	0.211911
III	4210001	3324	briggsae	0.211225
III	4220001	3259	briggsae	0.21054
III	4230001	3094	briggsae	0.209854
III	4240001	964	briggsae	0.209168
III	4250001	0	briggsae	0.208482
III	4260001	2705	briggsae	0.207796
III	4270001	2801	briggsae	0.20711
III	4280001	1908	briggsae	0.206424
III	4290001	1328	briggsae	0.205738
III	4300001	3407	briggsae	0.205052
III	4310001	2912	briggsae	0.204366
III	4320001	371	briggsae	0.20368
III	4330001	83	briggsae	0.202994
III	4340001	2601	briggsae	0.202308
III	4350001	2228	briggsae	0.201623
III	4360001	630	briggsae	0.200937
III	4370001	983	briggsae	0.200251
III	4380001	1665	briggsae	0.199565
III	4390001	2823	briggsae	0.198879
III	4400001	3950	briggsae	0.198193
III	4410001	1160	briggsae	0.197507
III	4420001	1086	briggsae	0.196821
III	4430001	4282	briggsae	0.196135
III	4440001	2912	briggsae	0.195449
III	4450001	2647	briggsae	0.194763
III	4460001	3936	briggsae	0.194077
III	4470001	4469	briggsae	0.193391
III	4480001	2947	briggsae	0.192706
III	4490001	4675	briggsae	0.19202
III	4500001	3977	briggsae	0.191334
III	4510001	4179	briggsae	0.190648
III	4520001	2587	briggsae	0.189962
III	4530001	2521	briggsae	0.189276
III	4540001	830	briggsae	0.18859
III	4550001	2282	briggsae	0.187904
III	4560001	2318	briggsae	0.187218
III	4570001	3327	briggsae	0.186532
III	4580001	2179	briggsae	0.185846
III	4590001	1616	briggsae	0.18516
III	4600001	34	briggsae	0.184474
III	4610001	5739	briggsae	0.183788
III	4620001	7067	briggsae	0.183103
III	4630001	1512	briggsae	0.182417
III	4640001	1511	briggsae	0.181731
III	4650001	1853	briggsae	0.181045
III	4660001	2767	briggsae	0.180359
III	4670001	873	briggsae	0.179673
III	4680001	114	briggsae	0.178987
III	4690001	384	briggsae	0.178301
III	4700001	2841	briggsae	0.177615
III	4710001	5290	briggsae	0.176929
III	4720001	1032	briggsae	0.176243
III	4730001	608	briggsae	0.175557
III	4740001	2405	briggsae	0.174871
III	4750001	371	briggsae	0.174186
III	4760001	5906	briggsae	0.1735
III	4770001	2098	briggsae	0.172814
III	4780001	2967	briggsae	0.172128
III	4790001	1221	briggsae	0.171442
III	4800001	1451	briggsae	0.170756
III	4810001	5775	briggsae	0.17007
III	4820001	4373	briggsae	0.169384
III	4830001	3199	briggsae	0.168698
III	4840001	2940	briggsae	0.168012
III	4850001	1005	briggsae	0.167326
III	4860001	1382	briggsae	0.16664
III	4870001	3139	briggsae	0.165954
III	4880001	4401	briggsae	0.165268
III	4890001	4538	briggsae	0.164583
III	4900001	4431	briggsae	0.163897
III	4910001	2533	briggsae	0.163211
III	4920001	2902	briggsae	0.162525
III	4930001	3139	briggsae	0.161839
III	4940001	2034	briggsae	0.161153
III	4950001	553	briggsae	0.160467
III	4960001	0	briggsae	0.159781
III	4970001	1565	briggsae	0.159095
III	4980001	1526	briggsae	0.158409
III	4990001	3256	briggsae	0.157723
III	5000001	1292	briggsae	0.157037
III	5010001	3214	briggsae	0.156351
III	5020001	1855	briggsae	0.155666
III	5030001	305	briggsae	0.15498
III	5040001	3007	briggsae	0.154294
III	5050001	3855	briggsae	0.153608
III	5060001	3748	briggsae	0.152922
III	5070001	2089	briggsae	0.152236
III	5080001	1777	briggsae	0.15155
III	5090001	3025	briggsae	0.150864
III	5100001	3325	briggsae	0.150178
III	5110001	581	briggsae	0.149492
III	5120001	1824	briggsae	0.148806
III	5130001	3885	briggsae	0.14812
III	5140001	916	briggsae	0.147434
III	5150001	2929	briggsae	0.146749
III	5160001	889	briggsae	0.146063
III	5170001	2228	briggsae	0.145377
III	5180001	3814	briggsae	0.144691
III	5190001	1219	briggsae	0.144005
III	5200001	566	briggsae	0.143319
III	5210001	1763	briggsae	0.142633
III	5220001	887	briggsae	0.141947
III	5230001	2004	briggsae	0.141261
III	5240001	2202	briggsae	0.140575
III	5250001	2451	briggsae	0.139889
III	5260001	3606	briggsae	0.139203
III	5270001	1434	briggsae	0.138517
III	5280001	1925	briggsae	0.137831
III	5290001	3608	briggsae	0.137146
III	5300001	2026	briggsae	0.13646
III	5310001	34	briggsae	0.135774
III	5320001	656	briggsae	0.135088
III	5330001	996	briggsae	0.134402
III	5340001	3746	briggsae	0.133716
III	5350001	3870	briggsae	0.13303
III	5360001	911	briggsae	0.132344
III	5370001	1801	briggsae	0.131658
III	5380001	3552	briggsae	0.130972
III	5390001	966	briggsae	0.130286
III	5400001	2138	briggsae	0.1296
III	5410001	3959	briggsae	0.128914
III	5420001	2522	briggsae	0.128229
III	5430001	1245	briggsae	0.127543
III	5440001	2000	briggsae	0.126857
III	5450001	2474	briggsae	0.126171
III	5460001	1173	briggsae	0.125485
III	5470001	1228	briggsae	0.124799
III	5480001	2778	briggsae	0.124113
III	5490001	4449	briggsae	0.123427
III	5500001	2644	briggsae	0.122741
III	5510001	1498	briggsae	0.122055
III	5520001	1172	briggsae	0.121369
III	5530001	3242	briggsae	0.120683
III	5540001	619	briggsae	0.119997
III	5550001	2795	briggsae	0.119312
III	5560001	2150	briggsae	0.118626
III	5570001	3525	briggsae	0.11794
III	5580001	3141	briggsae	0.117254
III	5590001	2144	briggsae	0.116568
III	5600001	3140	briggsae	0.115882
III	5610001	2210	briggsae	0.115196
III	5620001	3133	briggsae	0.11451
III	5630001	1822	briggsae	0.113824
III	5640001	487	briggsae	0.113138
III	5650001	1457	briggsae	0.112452
III	5660001	2797	briggsae	0.111766
III	5670001	2619	briggsae	0.11108
III	5680001	1281	briggsae	0.110394
III	5690001	941	briggsae	0.109709
III	5700001	67	briggsae	0.109023
III	5710001	2244	briggsae	0.108337
III	5720001	640	briggsae	0.107651
III	5730001	160	briggsae	0.106965
III	5740001	1149	briggsae	0.106279
III	5750001	545	briggsae	0.105593
III	5760001	1546	briggsae	0.104907
III	5770001	3904	briggsae	0.104221
III	5780001	2210	briggsae	0.103535
III	5790001	6820	briggsae	0.102849
III	5800001	4979	briggsae	0.102163
III	5810001	2940	briggsae	0.101477
III	5820001	472	briggsae	0.100792
III	5830001	2037	briggsae	0.100106
III	5840001	1785	briggsae	0.0994197
III	5850001	1997	briggsae	0.0987338
III	5860001	2245	briggsae	0.0980478
III	5870001	2270	briggsae	0.0973619
III	5880001	3347	briggsae	0.096676
III	5890001	3042	briggsae	0.0959901
III	5900001	2373	briggsae	0.0953041
III	5910001	3828	briggsae	0.0946182
III	5920001	2816	briggsae	0.0939323
III	5930001	1378	briggsae	0.0932464
III	5940001	2806	briggsae	0.0925604
III	5950001	1481	briggsae	0.0918745
III	5960001	1413	briggsae	0.0911886
III	5970001	2525	briggsae	0.0905027
III	5980001	2249	briggsae	0.0898167
III	5990001	971	briggsae	0.0891308
III	6000001	2227	briggsae	0.0884449
III	6010001	83	briggsae	0.087759
III	6020001	2846	briggsae	0.087073
III	6030001	3975	briggsae	0.0863871
III	6040001	4190	briggsae	0.0857012
III	6050001	2544	briggsae	0.0850153
III	6060001	3406	briggsae	0.0843293
III	6070001	1831	briggsae	0.0836434
III	6080001	2748	briggsae	0.0829575
III	6090001	464	briggsae	0.0822716
III	6100001	3988	briggsae	0.0815856
III	6110001	1434	briggsae	0.0808997
III	6120001	862	briggsae	0.0802138
III	6130001	2335	briggsae	0.0795279
III	6140001	2057	briggsae	0.0788419
III	6150001	406	briggsae	0.078156
III	6160001	626	briggsae	0.0774701
III	6170001	2011	briggsae	0.0767842
III	6180001	1284	briggsae	0.0760982
III	6190001	4215	briggsae	0.0754123
III	6200001	2295	briggsae	0.0747264
III	6210001	2311	briggsae	0.0740405
III	6220001	2277	briggsae	0.0733545
III	6230001	1461	briggsae	0.0726686
III	6240001	2088	briggsae	0.0719827
III	6250001	1741	briggsae	0.0712968
III	6260001	1753	briggsae	0.0706108
III	6270001	2154	briggsae	0.0699249
III	6280001	2149	briggsae	0.069239
III	6290001	2940	briggsae	0.0685531
III	6300001	1439	briggsae	0.0678671
III	6310001	233	briggsae	0.0671812
III	6320001	3097	briggsae	0.0664953
III	6330001	2157	briggsae	0.0658094
III	6340001	1278	briggsae	0.0651234
III	6350001	364	briggsae	0.0644375
III	6360001	157	briggsae	0.0637516
III	6370001	1331	briggsae	0.0630657
III	6380001	2320	briggsae	0.0623797
III	6390001	844	briggsae	0.0616938
III	6400001	2816	briggsae	0.0610079
III	6410001	3595	briggsae	0.060322
III	6420001	2625	briggsae	0.059636
III	6430001	682	briggsae	0.0589501
III	6440001	2305	briggsae	0.0582642
III	6450001	3122	briggsae	0.0575783
III	6460001	3567	briggsae	0.0568923
III	6470001	184	briggsae	0.0562064
III	6480001	1659	briggsae	0.0555205
III	6490001	367	briggsae	0.0548346
III	6500001	2214	briggsae	0.0541486
III	6510001	3592	briggsae	0.0534627
III	6520001	1701	briggsae	0.0527768
III	6530001	1809	briggsae	0.0520909
III	6540001	2330	briggsae	0.0514049
III	6550001	6544	briggsae	0.050719
III	6560001	2718	briggsae	0.0500331
III	6570001	2119	briggsae	0.0493472
III	6580001	1497	briggsae	0.0486612
III	6590001	2087	briggsae	0.0479753
III	6600001	2440	briggsae	0.0472894
III	6610001	1132	briggsae	0.0466035
III	6620001	4088	briggsae	0.0459175
III	6630001	2186	briggsae	0.0452316
III	6640001	596	briggsae	0.0445457
III	6650001	1653	briggsae	0.0438598
III	6660001	3007	briggsae	0.0431738
III	6670001	1832	briggsae	0.0424879
III	6680001	2545	briggsae	0.041802
III	6690001	2233	briggsae	0.0411161
III	6700001	2606	briggsae	0.0404301
III	6710001	2617	briggsae	0.0397442
III	6720001	2146	briggsae	0.0390583
III	6730001	2784	briggsae	0.0383724
III	6740001	1685	briggsae	0.0376864
III	6750001	889	briggsae	0.0370005
III	6760001	1717	briggsae	0.0363146
III	6770001	3389	briggsae	0.0356287
III	6780001	870	briggsae	0.0349427
III	6790001	1597	briggsae	0.0342568
III	6800001	1297	briggsae	0.0335709
III	6810001	1193	briggsae	0.032885
III	6820001	2474	briggsae	0.032199
III	6830001	682	briggsae	0.0315131
III	6840001	65	briggsae	0.0308272
III	6850001	3568	briggsae	0.0301413
III	6860001	868	briggsae	0.0294553
III	6870001	3972	briggsae	0.0287694
III	6880001	1604	briggsae	0.0280835
III	6890001	3092	briggsae	0.0273976
III	6900001	1262	briggsae	0.0267116
III	6910001	2728	briggsae	0.0260257
III	6920001	1434	briggsae	0.0253398
III	6930001	522	briggsae	0.0246539
III	6940001	1288	briggsae	0.0239679
III	6950001	3151	briggsae	0.023282
III	6960001	1418	briggsae	0.0225961
III	6970001	3037	briggsae	0.0219102
III	6980001	431	briggsae	0.0212242
III	6990001	1010	briggsae	0.0205383
III	7000001	2233	briggsae	0.0198524
III	7010001	1065	briggsae	0.0191665
III	7020001	0	briggsae	0.0184805
III	7030001	2614	briggsae	0.0177946
III	7040001	1141	briggsae	0.0171087
III	7050001	1777	briggsae	0.0164228
III	7060001	2560	briggsae	0.0157368
III	7070001	2793	briggsae	0.0150509
III	7080001	1897	briggsae	0.014365
III	7090001	3026	briggsae	0.0136791
III	7100001	416	briggsae	0.0129931
III	7110001	1374	briggsae	0.0123072
III	7120001	892	briggsae	0.0116213
III	7130001	1465	briggsae	0.0109354
III	7140001	3464	briggsae	0.0102494
III	7150001	3294	briggsae	0.00956351
III	7160001	165	briggsae	0.00887759
III	7170001	2503	briggsae	0.00819166
III	7180001	3086	briggsae	0.00750574
III	7190001	2362	briggsae	0.00681981
III	7200001	1599	briggsae	0.00613388
III	7210001	679	briggsae	0.00544796
III	7220001	1157	briggsae	0.00476203
III	7230001	1999	briggsae	0.00407611
III	7240001	2607	briggsae	0.00339018
III	7250001	3210	briggsae	0.00270426
III	7260001	2893	briggsae	0.00201833
III	7270001	257	briggsae	0.00133241
III	7280001	26	briggsae	0.000646484
III	7290001	1737	briggsae	3.94407e-05
III	7300001	2839	briggsae	0.000725366
III	7310001	1316	briggsae	0.00141129
III	7320001	2298	briggsae	0.00209722
III	7330001	4774	briggsae	0.00278314
III	7340001	1545	briggsae	0.00346907
III	7350001	523	briggsae	0.00415499
III	7360001	1129	briggsae	0.00484092
