Chr	BP	gene_length	species	norm_dist_center
II	1200001	5219.142857	briggsae	0.427829
II	1300001	8131.916667	briggsae	0.421815
II	1400001	4337.615385	briggsae	0.4158
II	1500001	6598.785714	briggsae	0.409786
II	1600001	2553.48	briggsae	0.403772
II	1700001	10203.69231	briggsae	0.397758
II	1800001	25463.75	briggsae	0.391743
II	1900001	3472.307692	briggsae	0.385729
II	2000001	11706.5	briggsae	0.379715
II	2100001	5952.944444	briggsae	0.373701
II	2200001	4493.615385	briggsae	0.367686
II	2300001	4774.944444	briggsae	0.361672
II	2400001	5488.75	briggsae	0.355658
II	2500001	4883	briggsae	0.349643
II	2600001	2973.684211	briggsae	0.343629
II	2700001	3590.666667	briggsae	0.337615
II	2800001	2719.434783	briggsae	0.331601
II	2900001	2603.136364	briggsae	0.325586
II	3000001	2667.807692	briggsae	0.319572
II	3100001	2666	briggsae	0.313558
II	3200001	3435.842105	briggsae	0.307544
II	3300001	4224.1	briggsae	0.301529
II	3400001	3442.65	briggsae	0.295515
II	3500001	3371.352941	briggsae	0.289501
II	3600001	4897.214286	briggsae	0.283487
II	3700001	2402.192308	briggsae	0.277472
II	3800001	2113.481481	briggsae	0.271458
II	3900001	4170.65	briggsae	0.265444
II	4000001	3525.35	briggsae	0.25943
II	4100001	2624.923077	briggsae	0.253415
II	4200001	2581.677419	briggsae	0.247401
II	4300001	5557.25	briggsae	0.241387
II	4400001	4253.521739	briggsae	0.235373
II	4500001	3319.076923	briggsae	0.229358
II	4600001	4482	briggsae	0.223344
II	4700001	4963.5	briggsae	0.21733
II	4800001	4319.5	briggsae	0.211316
II	4900001	3582.478261	briggsae	0.205301
II	5000001	3659.434783	briggsae	0.199287
II	5100001	4045.631579	briggsae	0.193273
II	5200001	3441.142857	briggsae	0.187259
II	5300001	3257.923077	briggsae	0.181244
II	5400001	4364.181818	briggsae	0.17523
II	5500001	3786.818182	briggsae	0.169216
II	5600001	3361.304348	briggsae	0.163201
II	5700001	2563.5	briggsae	0.157187
II	5800001	1907.787879	briggsae	0.151173
II	5900001	2605.1875	briggsae	0.145159
II	6000001	3043.681818	briggsae	0.139144
II	6100001	3819.333333	briggsae	0.13313
II	6200001	4557.238095	briggsae	0.127116
II	6300001	4011	briggsae	0.121102
II	6400001	3612.954545	briggsae	0.115087
II	6500001	2329.571429	briggsae	0.109073
II	6600001	2941.142857	briggsae	0.103059
II	6700001	4067.8	briggsae	0.0970446
II	6800001	3088.611111	briggsae	0.0910304
II	6900001	2196.0625	briggsae	0.0850161
II	7000001	3722.214286	briggsae	0.0790019
II	7100001	2359.423077	briggsae	0.0729876
II	7200001	2788.545455	briggsae	0.0669733
II	7300001	2653.136364	briggsae	0.0609591
II	7400001	2170.363636	briggsae	0.0549448
II	7500001	2369.034483	briggsae	0.0489306
II	7600001	2932.714286	briggsae	0.0429163
II	7700001	4578.157895	briggsae	0.036902
II	7800001	6384.235294	briggsae	0.0308878
II	7900001	3413.416667	briggsae	0.0248735
II	8000001	2958.72	briggsae	0.0188593
II	8100001	2301.434783	briggsae	0.012845
II	8200001	2591.434783	briggsae	0.00683075
II	8300001	1577.075472	briggsae	0.000816496
II	8400001	4139.789474	briggsae	0.00519776
II	8500001	2875.1	briggsae	0.011212
II	8600001	2312.275862	briggsae	0.0172263
II	8700001	2298.869565	briggsae	0.0232405
II	8800001	2284.545455	briggsae	0.0292548
II	8900001	2915.666667	briggsae	0.0352691
II	9000001	1661.6	briggsae	0.0412833
II	9100001	4337.222222	briggsae	0.0472976
II	9200001	3138	briggsae	0.0533118
II	9300001	2040.625	briggsae	0.0593261
II	9400001	2127.909091	briggsae	0.0653403
II	9500001	4040.894737	briggsae	0.0713546
II	9600001	4717.8125	briggsae	0.0773689
II	9700001	1917.888889	briggsae	0.0833831
II	9800001	2386.965517	briggsae	0.0893974
II	9900001	2150.846154	briggsae	0.0954116
II	10000001	2342.625	briggsae	0.101426
II	10100001	1539.852941	briggsae	0.10744
II	10200001	1907.928571	briggsae	0.113454
II	10300001	2798.892857	briggsae	0.119469
II	10400001	2996.2	briggsae	0.125483
II	10500001	2084.366667	briggsae	0.131497
II	10600001	2489.827586	briggsae	0.137511
II	10700001	2877.296296	briggsae	0.143526
II	10800001	1959.862069	briggsae	0.14954
II	10900001	2390.25	briggsae	0.155554
II	11000001	2419.409091	briggsae	0.161568
II	11100001	3379.25	briggsae	0.167583
II	11200001	2748.241379	briggsae	0.173597
II	11300001	2256.769231	briggsae	0.179611
II	11400001	3531.238095	briggsae	0.185626
II	11500001	2597.961538	briggsae	0.19164
II	11600001	1532.703704	briggsae	0.197654
II	11700001	4510.4	briggsae	0.203668
II	11800001	3535.73913	briggsae	0.209683
II	11900001	3799.041667	briggsae	0.215697
II	12000001	4933.066667	briggsae	0.221711
II	12100001	2456.217391	briggsae	0.227725
II	12200001	1885.457143	briggsae	0.23374
II	12300001	3832.666667	briggsae	0.239754
II	12400001	2083.9	briggsae	0.245768
II	12500001	3142.2	briggsae	0.251782
II	12600001	2304.185185	briggsae	0.257797
II	12700001	2659.56	briggsae	0.263811
II	12800001	2461.785714	briggsae	0.269825
II	12900001	2541.5	briggsae	0.275839
II	13000001	2380.653846	briggsae	0.281854
II	13100001	2091.863636	briggsae	0.287868
II	13200001	2342.964286	briggsae	0.293882
II	13300001	1876.902439	briggsae	0.299896
II	13400001	2301.608696	briggsae	0.305911
II	13500001	2003.652174	briggsae	0.311925
II	13600001	1422.96875	briggsae	0.317939
II	13700001	1467.172414	briggsae	0.323953
II	13800001	1942.590909	briggsae	0.329968
II	13900001	1342.24	briggsae	0.335982
II	14000001	2096.740741	briggsae	0.341996
II	14100001	3338.578947	briggsae	0.34801
II	14200001	2336.5	briggsae	0.354025
II	14300001	1433.451613	briggsae	0.360039
II	14400001	3185	briggsae	0.366053
II	14500001	1806.76	briggsae	0.372068
II	14600001	2333.454545	briggsae	0.378082
II	14700001	4200.25	briggsae	0.384096
II	14800001	3671.894737	briggsae	0.39011
II	14900001	2945.6	briggsae	0.396125
II	15000001	2299	briggsae	0.402139
II	15100001	4943.25	briggsae	0.408153
II	15200001	1886.478261	briggsae	0.414167
II	15300001	2399.192308	briggsae	0.420182
II	15400001	2262.076923	briggsae	0.426196
II	15500001	6346.388889	briggsae	0.43221
II	15600001	6869.4375	briggsae	0.438224
II	15700001	2449.541667	briggsae	0.444239
II	15800001	2324.107143	briggsae	0.450253
II	15900001	1498.6	briggsae	0.456267
II	16000001	6696.083333	briggsae	0.462281
II	16100001	6804.714286	briggsae	0.468296
II	16200001	2833.083333	briggsae	0.47431
II	16300001	2301.833333	briggsae	0.480324
II	16400001	2059.135135	briggsae	0.486338
II	16500001	2675.535714	briggsae	0.492353
II	16600001	2248	briggsae	0.498367
III	1	3639.055556	briggsae	0.5
III	100001	3236.076923	briggsae	0.493141
III	200001	2945.166667	briggsae	0.486281
III	300001	2790.206897	briggsae	0.479422
III	400001	3610.526316	briggsae	0.472563
III	500001	3431.666667	briggsae	0.465704
III	600001	3620.333333	briggsae	0.458844
III	700001	3317.888889	briggsae	0.451985
III	800001	4100.571429	briggsae	0.445126
III	900001	4156.55	briggsae	0.438267
III	1000001	3188.3	briggsae	0.431407
III	1100001	4190.285714	briggsae	0.424548
III	1200001	4363.45	briggsae	0.417689
III	1300001	10979	briggsae	0.41083
III	1400001	2913.909091	briggsae	0.40397
III	1500001	1799.34375	briggsae	0.397111
III	1600001	4815.272727	briggsae	0.390252
III	1700001	4045.416667	briggsae	0.383393
III	1800001	10740.44444	briggsae	0.376533
III	1900001	3207.208333	briggsae	0.369674
III	2000001	3784.521739	briggsae	0.362815
III	2100001	6462.384615	briggsae	0.355956
III	2200001	6930.142857	briggsae	0.349096
III	2300001	3905.7	briggsae	0.342237
III	2400001	3958.954545	briggsae	0.335378
III	2500001	8155.777778	briggsae	0.328519
III	2600001	7118.909091	briggsae	0.321659
III	2700001	6280.846154	briggsae	0.3148
III	2800001	3923	briggsae	0.307941
III	2900001	4313.071429	briggsae	0.301082
III	3000001	4194.214286	briggsae	0.294222
III	3100001	5187.75	briggsae	0.287363
III	3200001	8544.5	briggsae	0.280504
III	3300001	4395.736842	briggsae	0.273645
III	3400001	3105.2	briggsae	0.266785
III	3500001	4263.730769	briggsae	0.259926
III	3600001	2440.681818	briggsae	0.253067
III	3700001	2658.794118	briggsae	0.246208
III	3800001	3285	briggsae	0.239348
III	3900001	3618.368421	briggsae	0.232489
III	4000001	2810.272727	briggsae	0.22563
III	4100001	3164.708333	briggsae	0.218771
III	4200001	4510.166667	briggsae	0.211911
III	4300001	2738.482759	briggsae	0.205052
III	4400001	3554.315789	briggsae	0.198193
III	4500001	2615.04	briggsae	0.191334
III	4600001	2937.56	briggsae	0.184474
III	4700001	2328.928571	briggsae	0.177615
III	4800001	2640.954545	briggsae	0.170756
III	4900001	2721.8	briggsae	0.163897
III	5000001	3429.526316	briggsae	0.157037
III	5100001	1770.5	briggsae	0.150178
III	5200001	2913.863636	briggsae	0.143319
III	5300001	3325.666667	briggsae	0.13646
III	5400001	3715.875	briggsae	0.1296
III	5500001	3074.321429	briggsae	0.122741
III	5600001	2690.740741	briggsae	0.115882
III	5700001	2512.413793	briggsae	0.109023
III	5800001	2379.047619	briggsae	0.102163
III	5900001	2774.44	briggsae	0.0953041
III	6000001	2308.612903	briggsae	0.0884449
III	6100001	2453.30303	briggsae	0.0815856
III	6200001	3264.055556	briggsae	0.0747264
III	6300001	3756.588235	briggsae	0.0678671
III	6400001	2379.137931	briggsae	0.0610079
III	6500001	2110.068966	briggsae	0.0541486
III	6600001	5182.181818	briggsae	0.0472894
III	6700001	2784.714286	briggsae	0.0404301
III	6800001	1935.294118	briggsae	0.0335709
III	6900001	3873.647059	briggsae	0.0267116
III	7000001	2964.208333	briggsae	0.0198524
III	7100001	2513.166667	briggsae	0.0129931
III	7200001	1820.028571	briggsae	0.00613388
III	7300001	2580.32	briggsae	0.000725366
III	7400001	3464.090909	briggsae	0.00758462
III	7500001	3218.32	briggsae	0.0144439
III	7600001	8645.416667	briggsae	0.0213031
III	7700001	5819.9	briggsae	0.0281624
III	7800001	2905.521739	briggsae	0.0350216
III	7900001	1510.857143	briggsae	0.0418809
III	8000001	3139.857143	briggsae	0.0487401
III	8100001	3057.666667	briggsae	0.0555994
III	8200001	3078.409091	briggsae	0.0624586
III	8300001	1931.071429	briggsae	0.0693179
III	8400001	4170.117647	briggsae	0.0761771
III	8500001	3322.05	briggsae	0.0830364
III	8600001	2653.294118	briggsae	0.0898956
III	8700001	4445.652174	briggsae	0.0967549
III	8800001	3218.428571	briggsae	0.103614
III	8900001	2133.692308	briggsae	0.110473
III	9000001	1436.25	briggsae	0.117333
III	9100001	2536.034483	briggsae	0.124192
III	9200001	2109.30303	briggsae	0.131051
III	9300001	2312.607143	briggsae	0.13791
III	9400001	2159.518519	briggsae	0.14477
III	9500001	2311.6875	briggsae	0.151629
III	9600001	2827.666667	briggsae	0.158488
III	9700001	2655.62963	briggsae	0.165347
III	9800001	5392.785714	briggsae	0.172207
III	9900001	5986.7	briggsae	0.179066
III	10000001	3148.36	briggsae	0.185925
III	10100001	2861.172414	briggsae	0.192784
III	10200001	2919.096774	briggsae	0.199644
III	10300001	3397.263158	briggsae	0.206503
III	10400001	2746.833333	briggsae	0.213362
III	10500001	2909.157895	briggsae	0.220221
III	10600001	2440.037037	briggsae	0.227081
III	10700001	2503.619048	briggsae	0.23394
III	10800001	3105.947368	briggsae	0.240799
III	10900001	2456.035714	briggsae	0.247658
III	11000001	4100.421053	briggsae	0.254518
III	11100001	5825.611111	briggsae	0.261377
III	11200001	3569.466667	briggsae	0.268236
III	11300001	3405.705882	briggsae	0.275095
III	11400001	6482.142857	briggsae	0.281955
III	11500001	5377.153846	briggsae	0.288814
III	11600001	2826.96	briggsae	0.295673
III	11700001	2886.157895	briggsae	0.302532
III	11800001	2894.052632	briggsae	0.309392
III	11900001	4197.214286	briggsae	0.316251
III	12000001	3264.76	briggsae	0.32311
III	12100001	5649.5	briggsae	0.329969
III	12200001	4224.333333	briggsae	0.336829
III	12300001	6274.642857	briggsae	0.343688
III	12400001	3367.666667	briggsae	0.350547
III	12500001	4063.411765	briggsae	0.357406
III	12600001	5184.1875	briggsae	0.364266
III	12700001	4838.428571	briggsae	0.371125
III	12800001	4457	briggsae	0.377984
III	12900001	3712.565217	briggsae	0.384843
III	13000001	4228.333333	briggsae	0.391703
III	13100001	3532.04	briggsae	0.398562
III	13200001	2481.84	briggsae	0.405421
III	13300001	2588.869565	briggsae	0.41228
III	13400001	3224.25	briggsae	0.41914
III	13500001	2338.809524	briggsae	0.425999
III	13600001	4669.4	briggsae	0.432858
III	13700001	3708.944444	briggsae	0.439717
III	13800001	2774.454545	briggsae	0.446577
III	13900001	5028.25	briggsae	0.453436
III	14000001	3669	briggsae	0.460295
III	14100001	2064.74359	briggsae	0.467154
III	14200001	2303.484848	briggsae	0.474014
III	14300001	3138.15	briggsae	0.480873
III	14400001	2657.608696	briggsae	0.487732
III	14500001	2794.761905	briggsae	0.494591
IV	1	2948.791667	briggsae	0.5
IV	100001	3531.615385	briggsae	0.494281
IV	200001	3800.47619	briggsae	0.488562
IV	300001	2003.282051	briggsae	0.482843
IV	400001	1895.526316	briggsae	0.477124
IV	500001	2899.4	briggsae	0.471405
IV	600001	4775.571429	briggsae	0.465686
IV	700001	3500.071429	briggsae	0.459967
IV	800001	6915.3	briggsae	0.454248
IV	900001	4777.25	briggsae	0.448529
IV	1000001	4515.846154	briggsae	0.44281
IV	1100001	5257.666667	briggsae	0.43709
IV	1200001	3119.909091	briggsae	0.431371
IV	1300001	2853.111111	briggsae	0.425652
IV	1400001	2661.909091	briggsae	0.419933
IV	1500001	1707.076923	briggsae	0.414214
IV	1600001	3131.304348	briggsae	0.408495
IV	1700001	4410.8	briggsae	0.402776
IV	1800001	2817.08	briggsae	0.397057
IV	1900001	5007.6	briggsae	0.391338
IV	2000001	2477.136364	briggsae	0.385619
IV	2100001	2045.903226	briggsae	0.3799
IV	2200001	3057.777778	briggsae	0.374181
IV	2300001	3329.777778	briggsae	0.368462
IV	2400001	2484.8	briggsae	0.362743
IV	2500001	4448.928571	briggsae	0.357024
IV	2600001	6936	briggsae	0.351305
IV	2700001	4058.888889	briggsae	0.345586
IV	2800001	2764.75	briggsae	0.339867
IV	2900001	4974.857143	briggsae	0.334148
IV	3000001	5359.8	briggsae	0.328429
IV	3100001	3123.210526	briggsae	0.32271
IV	3200001	3897.0625	briggsae	0.316991
IV	3300001	2398.916667	briggsae	0.311271
IV	3400001	2945	briggsae	0.305552
IV	3500001	3016	briggsae	0.299833
IV	3600001	4048.466667	briggsae	0.294114
IV	3700001	5333.1	briggsae	0.288395
IV	3800001	4204.777778	briggsae	0.282676
IV	3900001	3754.904762	briggsae	0.276957
IV	4000001	2773.727273	briggsae	0.271238
IV	4100001	1991.647059	briggsae	0.265519
IV	4200001	3752.625	briggsae	0.2598
IV	4300001	5807.125	briggsae	0.254081
IV	4400001	4666.533333	briggsae	0.248362
IV	4500001	3248.058824	briggsae	0.242643
IV	4600001	5200.545455	briggsae	0.236924
IV	4700001	3528.473684	briggsae	0.231205
IV	4800001	2955.043478	briggsae	0.225486
IV	4900001	5924.363636	briggsae	0.219767
IV	5000001	3300.272727	briggsae	0.214048
IV	5100001	2929.833333	briggsae	0.208329
IV	5200001	2460.24	briggsae	0.20261
IV	5300001	2490.3	briggsae	0.196891
IV	5400001	3885.5	briggsae	0.191172
IV	5500001	2583.5	briggsae	0.185453
IV	5600001	5538.333333	briggsae	0.179733
IV	5700001	3539.090909	briggsae	0.174014
IV	5800001	3491.869565	briggsae	0.168295
IV	5900001	5883.2	briggsae	0.162576
IV	6000001	4015.058824	briggsae	0.156857
IV	6100001	2770.83871	briggsae	0.151138
IV	6200001	4127.6	briggsae	0.145419
IV	6300001	2492.95	briggsae	0.1397
IV	6400001	2488.117647	briggsae	0.133981
IV	6500001	3723.75	briggsae	0.128262
IV	6600001	3678.263158	briggsae	0.122543
IV	6700001	2403.52	briggsae	0.116824
IV	6800001	2853.875	briggsae	0.111105
IV	6900001	2084.222222	briggsae	0.105386
IV	7000001	1774.166667	briggsae	0.0996669
IV	7100001	2397.958333	briggsae	0.0939478
IV	7200001	2102.028571	briggsae	0.0882288
IV	7300001	1653.5	briggsae	0.0825097
IV	7400001	2096.805556	briggsae	0.0767907
IV	7500001	6206.357143	briggsae	0.0710716
IV	7600001	2398.179487	briggsae	0.0653526
IV	7700001	3096.47619	briggsae	0.0596336
IV	7800001	1481.333333	briggsae	0.0539145
IV	7900001	1745.818182	briggsae	0.0481955
IV	8000001	1945.647059	briggsae	0.0424764
IV	8100001	2684.75	briggsae	0.0367574
IV	8200001	2185.866667	briggsae	0.0310383
IV	8300001	2926.666667	briggsae	0.0253193
IV	8400001	2019.305556	briggsae	0.0196003
IV	8500001	3105.15	briggsae	0.0138812
IV	8600001	2689.8	briggsae	0.00816216
IV	8700001	4356.578947	briggsae	0.00244312
IV	8800001	3142.090909	briggsae	0.00327593
IV	8900001	4116.461538	briggsae	0.00899497
IV	9000001	3913	briggsae	0.014714
IV	9100001	2322.655172	briggsae	0.0204331
IV	9200001	2179.322581	briggsae	0.0261521
IV	9300001	2816.208333	briggsae	0.0318711
IV	9400001	2586.307692	briggsae	0.0375902
IV	9500001	3745.764706	briggsae	0.0433092
IV	9600001	3485.545455	briggsae	0.0490283
IV	9700001	1996.5625	briggsae	0.0547473
IV	9800001	2706.26087	briggsae	0.0604664
IV	9900001	2752.666667	briggsae	0.0661854
IV	10000001	4913.266667	briggsae	0.0719045
IV	10100001	1840.347826	briggsae	0.0776235
IV	10200001	2541.8	briggsae	0.0833425
IV	10300001	2137.137931	briggsae	0.0890616
IV	10400001	1650.846154	briggsae	0.0947806
IV	10500001	3277.962963	briggsae	0.1005
IV	10600001	2308.580645	briggsae	0.106219
IV	10700001	3234.869565	briggsae	0.111938
IV	10800001	3447.88	briggsae	0.117657
IV	10900001	2675.047619	briggsae	0.123376
IV	11000001	2905.130435	briggsae	0.129095
IV	11100001	3029.913043	briggsae	0.134814
IV	11200001	2661.884615	briggsae	0.140533
IV	11300001	3141.478261	briggsae	0.146252
IV	11400001	2695.904762	briggsae	0.151971
IV	11500001	3913.8	briggsae	0.15769
IV	11600001	3520.941176	briggsae	0.163409
IV	11700001	2266.210526	briggsae	0.169128
IV	11800001	3405.176471	briggsae	0.174847
IV	11900001	3393.6	briggsae	0.180566
IV	12000001	3109.619048	briggsae	0.186285
IV	12100001	2643	briggsae	0.192004
IV	12200001	2136.885714	briggsae	0.197723
IV	12300001	3301.363636	briggsae	0.203442
IV	12400001	2822.545455	briggsae	0.209162
IV	12500001	3143.368421	briggsae	0.214881
IV	12600001	2543.846154	briggsae	0.2206
IV	12700001	2576.434783	briggsae	0.226319
IV	12800001	2999.321429	briggsae	0.232038
IV	12900001	1714.931034	briggsae	0.237757
IV	13000001	3468.529412	briggsae	0.243476
IV	13100001	5629.083333	briggsae	0.249195
IV	13200001	3020	briggsae	0.254914
IV	13300001	3210.05	briggsae	0.260633
IV	13400001	5246.888889	briggsae	0.266352
IV	13500001	2020.95	briggsae	0.272071
IV	13600001	6724.083333	briggsae	0.27779
IV	13700001	2279.466667	briggsae	0.283509
IV	13800001	3319	briggsae	0.289228
IV	13900001	10042.25	briggsae	0.294947
IV	14000001	4209.111111	briggsae	0.300666
IV	14100001	2904.45	briggsae	0.306385
IV	14200001	5713.272727	briggsae	0.312104
IV	14300001	4896	briggsae	0.317823
IV	14400001	5771.272727	briggsae	0.323542
IV	14500001	5754.733333	briggsae	0.329261
IV	14600001	2938.4	briggsae	0.33498
IV	14700001	5066.111111	briggsae	0.3407
IV	14800001	6645.25	briggsae	0.346419
IV	14900001	5705	briggsae	0.352138
IV	15000001	6379.357143	briggsae	0.357857
IV	15100001	3182.526316	briggsae	0.363576
IV	15200001	2518.47619	briggsae	0.369295
IV	15300001	4399.333333	briggsae	0.375014
IV	15400001	7106.636364	briggsae	0.380733
IV	15500001	4422.263158	briggsae	0.386452
IV	15600001	6798.555556	briggsae	0.392171
IV	15700001	6165.666667	briggsae	0.39789
IV	15800001	2374.875	briggsae	0.403609
IV	15900001	4696.333333	briggsae	0.409328
IV	16000001	6237.928571	briggsae	0.415047
IV	16100001	3413.173913	briggsae	0.420766
IV	16200001	2100.870968	briggsae	0.426485
IV	16300001	5885.692308	briggsae	0.432204
IV	16400001	5010	briggsae	0.437923
IV	16500001	2689.391304	briggsae	0.443642
