Chr	BP	gene_num	perc_N	species	norm_dist_center
III	5200001	22	22.467	briggsae	0.143319
III	5300001	24	19.824	briggsae	0.13646
III	5400001	24	27.54	briggsae	0.1296
III	5500001	28	24.423	briggsae	0.122741
III	5600001	27	24.252	briggsae	0.115882
III	5700001	29	22.946	briggsae	0.109023
III	5800001	21	26.138	briggsae	0.102163
III	5900001	25	23.134	briggsae	0.0953041
III	6000001	31	26.212	briggsae	0.0884449
III	6100001	33	19.93	briggsae	0.0815856
III	6200001	18	22.335	briggsae	0.0747264
III	6300001	34	17.753	briggsae	0.0678671
III	6400001	29	22.756	briggsae	0.0610079
III	6500001	29	28.891	briggsae	0.0541486
III	6600001	11	22.899	briggsae	0.0472894
III	6700001	21	28.488	briggsae	0.0404301
III	6800001	34	18.92	briggsae	0.0335709
III	6900001	17	18.617	briggsae	0.0267116
III	7000001	24	23.738	briggsae	0.0198524
III	7100001	30	21.366	briggsae	0.0129931
III	7200001	35	21.339	briggsae	0.00613388
III	7300001	25	24.481	briggsae	0.000725366
III	7400001	22	22.444	briggsae	0.00758462
III	7500001	25	17.661	briggsae	0.0144439
III	7600001	12	16.955	briggsae	0.0213031
III	7700001	20	13.384	briggsae	0.0281624
III	7800001	23	25.45	briggsae	0.0350216
III	7900001	42	26.592	briggsae	0.0418809
III	8000001	21	30.887	briggsae	0.0487401
III	8100001	24	16.282	briggsae	0.0555994
III	8200001	22	20.591	briggsae	0.0624586
III	8300001	28	24.18	briggsae	0.0693179
III	8400001	17	18.751	briggsae	0.0761771
III	8500001	20	20.657	briggsae	0.0830364
III	8600001	34	14.652	briggsae	0.0898956
III	8700001	23	22.411	briggsae	0.0967549
III	8800001	21	26.811	briggsae	0.103614
III	8900001	26	30.744	briggsae	0.110473
III	9000001	32	22.561	briggsae	0.117333
III	9100001	29	17.858	briggsae	0.124192
III	9200001	33	19.353	briggsae	0.131051
III	9300001	28	18.698	briggsae	0.13791
III	9400001	27	19.796	briggsae	0.14477
III	9500001	32	20.777	briggsae	0.151629
III	9600001	18	25.92	briggsae	0.158488
III	9700001	27	26.321	briggsae	0.165347
III	9800001	14	29.332	briggsae	0.172207
III	9900001	20	26.695	briggsae	0.179066
III	10000001	25	28.497	briggsae	0.185925
III	10100001	29	27.061	briggsae	0.192784
III	10200001	31	25.645	briggsae	0.199644
III	10300001	19	28.814	briggsae	0.206503
III	10400001	24	27.213	briggsae	0.213362
III	10500001	19	32.007	briggsae	0.220221
III	10600001	27	44.759	briggsae	0.227081
III	10700001	21	40.45	briggsae	0.23394
III	10800001	19	42.137	briggsae	0.240799
III	10900001	28	30.749	briggsae	0.247658
III	11000001	19	34.851	briggsae	0.254518
III	11100001	18	33.412	briggsae	0.261377
III	11200001	15	30.375	briggsae	0.268236
III	11300001	17	42.255	briggsae	0.275095
III	11400001	14	34.301	briggsae	0.281955
III	11500001	13	41.065	briggsae	0.288814
III	11600001	25	36.468	briggsae	0.295673
III	11700001	19	49.628	briggsae	0.302532
III	11800001	19	44.357	briggsae	0.309392
III	11900001	14	38.688	briggsae	0.316251
III	12000001	25	38.438	briggsae	0.32311
III	12100001	14	40.714	briggsae	0.329969
III	12200001	9	44.821	briggsae	0.336829
III	12300001	14	45.822	briggsae	0.343688
III	12400001	24	37.708	briggsae	0.350547
III	12500001	17	35.557	briggsae	0.357406
III	12600001	16	47.836	briggsae	0.364266
III	12700001	14	43.402	briggsae	0.371125
III	12800001	14	50.241	briggsae	0.377984
III	12900001	23	41.464	briggsae	0.384843
III	13000001	24	31	briggsae	0.391703
III	13100001	25	45.374	briggsae	0.398562
III	13200001	25	51.263	briggsae	0.405421
III	13300001	23	38.472	briggsae	0.41228
III	13400001	24	39.769	briggsae	0.41914
III	13500001	21	37.514	briggsae	0.425999
III	13600001	10	47.807	briggsae	0.432858
III	13700001	18	47.76	briggsae	0.439717
III	13800001	22	36.05	briggsae	0.446577
III	13900001	16	38.641	briggsae	0.453436
III	14000001	19	37.175	briggsae	0.460295
III	14100001	39	26.875	briggsae	0.467154
III	14200001	33	17.477	briggsae	0.474014
III	14300001	20	18.402	briggsae	0.480873
III	14400001	23	17.086	briggsae	0.487732
III	14500001	21	9.364	briggsae	0.494591
II	1	29	15.253	briggsae	0.5
II	100001	31	12.02	briggsae	0.493986
II	200001	26	17.974	briggsae	0.487971
II	300001	17	28.425	briggsae	0.481957
II	400001	21	38.163	briggsae	0.475943
II	500001	14	45.871	briggsae	0.469929
II	600001	17	50.422	briggsae	0.463914
II	700001	9	41.359	briggsae	0.4579
II	800001	18	44.009	briggsae	0.451886
II	900001	12	41.228	briggsae	0.445872
II	1000001	10	58.247	briggsae	0.439857
II	1100001	19	53.309	briggsae	0.433843
II	1200001	14	54.795	briggsae	0.427829
II	1300001	12	41.364	briggsae	0.421815
II	1400001	13	50.299	briggsae	0.4158
II	1500001	14	50.953	briggsae	0.409786
II	1600001	25	48.554	briggsae	0.403772
II	1700001	13	50.819	briggsae	0.397758
II	1800001	4	59.289	briggsae	0.391743
II	1900001	13	46.244	briggsae	0.385729
II	2000001	8	43.649	briggsae	0.379715
II	2100001	18	41.398	briggsae	0.373701
II	2200001	13	52.348	briggsae	0.367686
II	2300001	18	43.826	briggsae	0.361672
II	2400001	20	34.889	briggsae	0.355658
II	2500001	19	44.224	briggsae	0.349643
II	2600001	19	41.682	briggsae	0.343629
II	2700001	18	36.135	briggsae	0.337615
II	2800001	23	37.001	briggsae	0.331601
II	2900001	22	47.261	briggsae	0.325586
II	3000001	26	38.233	briggsae	0.319572
II	3100001	19	34.189	briggsae	0.313558
II	3200001	19	28.627	briggsae	0.307544
II	3300001	20	32.069	briggsae	0.301529
II	3400001	20	38.291	briggsae	0.295515
II	3500001	17	31.762	briggsae	0.289501
II	3600001	14	38.017	briggsae	0.283487
II	3700001	26	28.867	briggsae	0.277472
II	3800001	27	30.919	briggsae	0.271458
II	3900001	20	39.497	briggsae	0.265444
II	4000001	20	45.624	briggsae	0.25943
II	4100001	26	36.567	briggsae	0.253415
II	4200001	31	31.159	briggsae	0.247401
II	4300001	16	39.672	briggsae	0.241387
II	4400001	23	35.324	briggsae	0.235373
II	4500001	26	33.374	briggsae	0.229358
II	4600001	18	44.014	briggsae	0.223344
II	4700001	12	38.294	briggsae	0.21733
II	4800001	18	37.043	briggsae	0.211316
II	4900001	23	34.71	briggsae	0.205301
II	5000001	23	26.394	briggsae	0.199287
II	5100001	19	33.573	briggsae	0.193273
II	5200001	21	30.329	briggsae	0.187259
II	5300001	26	34.666	briggsae	0.181244
II	5400001	11	32.158	briggsae	0.17523
II	5500001	22	33.344	briggsae	0.169216
II	5600001	23	33.318	briggsae	0.163201
II	5700001	32	30.842	briggsae	0.157187
II	5800001	33	33.202	briggsae	0.151173
II	5900001	16	34.162	briggsae	0.145159
II	6000001	22	24.381	briggsae	0.139144
II	6100001	18	27.274	briggsae	0.13313
II	6200001	21	24.878	briggsae	0.127116
II	6300001	19	19.926	briggsae	0.121102
II	6400001	22	13.003	briggsae	0.115087
II	6500001	21	21.178	briggsae	0.109073
II	6600001	21	21.442	briggsae	0.103059
II	6700001	15	25.389	briggsae	0.0970446
II	6800001	18	19.387	briggsae	0.0910304
II	6900001	32	24.123	briggsae	0.0850161
II	7000001	14	20.28	briggsae	0.0790019
II	7100001	26	16.645	briggsae	0.0729876
II	7200001	22	14.819	briggsae	0.0669733
II	7300001	22	23.346	briggsae	0.0609591
II	7400001	22	24.662	briggsae	0.0549448
II	7500001	29	15.39	briggsae	0.0489306
II	7600001	28	20.823	briggsae	0.0429163
II	7700001	19	19.554	briggsae	0.036902
II	7800001	17	13.789	briggsae	0.0308878
II	7900001	24	17.95	briggsae	0.0248735
II	8000001	25	23.166	briggsae	0.0188593
II	8100001	23	10.802	briggsae	0.012845
II	8200001	23	25.209	briggsae	0.00683075
II	8300001	53	11.438	briggsae	0.000816496
II	8400001	19	14.595	briggsae	0.00519776
II	8500001	20	23.258	briggsae	0.011212
II	8600001	29	18.772	briggsae	0.0172263
II	8700001	23	25.945	briggsae	0.0232405
II	8800001	22	22.892	briggsae	0.0292548
II	8900001	21	22.665	briggsae	0.0352691
II	9000001	25	26.024	briggsae	0.0412833
II	9100001	18	19.331	briggsae	0.0472976
II	9200001	23	27.542	briggsae	0.0533118
II	9300001	24	28.186	briggsae	0.0593261
II	9400001	33	20.322	briggsae	0.0653403
II	9500001	19	23.716	briggsae	0.0713546
II	9600001	16	23.396	briggsae	0.0773689
II	9700001	18	22.356	briggsae	0.0833831
II	9800001	29	18.913	briggsae	0.0893974
II	9900001	26	20.954	briggsae	0.0954116
II	10000001	32	16.533	briggsae	0.101426
II	10100001	34	23.711	briggsae	0.10744
II	10200001	28	19.752	briggsae	0.113454
II	10300001	28	14.104	briggsae	0.119469
II	10400001	15	21.263	briggsae	0.125483
II	10500001	30	21.319	briggsae	0.131497
II	10600001	29	23.855	briggsae	0.137511
II	10700001	27	29.208	briggsae	0.143526
II	10800001	29	22.383	briggsae	0.14954
II	10900001	28	23.846	briggsae	0.155554
II	11000001	22	24.329	briggsae	0.161568
II	11100001	20	28.427	briggsae	0.167583
II	11200001	29	24.084	briggsae	0.173597
II	11300001	26	25.465	briggsae	0.179611
II	11400001	21	28.155	briggsae	0.185626
II	11500001	26	27.963	briggsae	0.19164
II	11600001	27	37.986	briggsae	0.197654
II	11700001	20	35.044	briggsae	0.203668
II	11800001	23	28.9	briggsae	0.209683
II	11900001	24	37.54	briggsae	0.215697
II	12000001	15	47.14	briggsae	0.221711
II	12100001	23	35.257	briggsae	0.227725
II	12200001	35	34.503	briggsae	0.23374
II	12300001	21	35.269	briggsae	0.239754
II	12400001	30	36.596	briggsae	0.245768
II	12500001	25	34.371	briggsae	0.251782
II	12600001	27	40.876	briggsae	0.257797
II	12700001	25	40.329	briggsae	0.263811
II	12800001	28	44.79	briggsae	0.269825
II	12900001	22	46.702	briggsae	0.275839
II	13000001	26	41.07	briggsae	0.281854
II	13100001	22	53.509	briggsae	0.287868
II	13200001	28	32.31	briggsae	0.293882
II	13300001	41	38.23	briggsae	0.299896
II	13400001	23	43.245	briggsae	0.305911
II	13500001	23	27.181	briggsae	0.311925
II	13600001	32	32.823	briggsae	0.317939
II	13700001	29	29.728	briggsae	0.323953
II	13800001	22	29.048	briggsae	0.329968
II	13900001	25	35.049	briggsae	0.335982
II	14000001	27	43.062	briggsae	0.341996
II	14100001	19	35.969	briggsae	0.34801
II	14200001	24	45.139	briggsae	0.354025
II	14300001	31	38.371	briggsae	0.360039
II	14400001	17	38.905	briggsae	0.366053
II	14500001	25	51.485	briggsae	0.372068
II	14600001	22	56.008	briggsae	0.378082
II	14700001	12	49.49	briggsae	0.384096
II	14800001	19	43.904	briggsae	0.39011
II	14900001	20	42.825	briggsae	0.396125
II	15000001	14	42.185	briggsae	0.402139
II	15100001	16	42.861	briggsae	0.408153
II	15200001	23	45.805	briggsae	0.414167
II	15300001	26	45.549	briggsae	0.420182
II	15400001	26	51.046	briggsae	0.426196
II	15500001	18	48.887	briggsae	0.43221
II	15600001	16	34.732	briggsae	0.438224
II	15700001	24	33.265	briggsae	0.444239
II	15800001	28	34.86	briggsae	0.450253
II	15900001	25	37.289	briggsae	0.456267
II	16000001	12	34.801	briggsae	0.462281
II	16100001	14	38.333	briggsae	0.468296
II	16200001	24	29.481	briggsae	0.47431
II	16300001	30	24.579	briggsae	0.480324
II	16400001	37	15.886	briggsae	0.486338
II	16500001	28	9.634	briggsae	0.492353
II	16600001	6	2.664	briggsae	0.498367
I	1	18	34.563	briggsae	0.5
I	100001	11	39.172	briggsae	0.49353
I	200001	16	42.111	briggsae	0.48706
I	300001	17	22.12	briggsae	0.48059
I	400001	21	39.336	briggsae	0.47412
I	500001	14	40.762	briggsae	0.46765
I	600001	9	46.138	briggsae	0.46118
I	700001	20	41.747	briggsae	0.45471
I	800001	19	39.818	briggsae	0.44824
I	900001	22	48.25	briggsae	0.44177
I	1000001	8	43.261	briggsae	0.4353
I	1100001	16	51.289	briggsae	0.42883
I	1200001	15	52.911	briggsae	0.42236
I	1300001	13	41.349	briggsae	0.41589
I	1400001	13	42.423	briggsae	0.40942
I	1500001	14	33.46	briggsae	0.40295
I	1600001	19	39.718	briggsae	0.39648
I	1700001	12	50.791	briggsae	0.39001
I	1800001	25	44.726	briggsae	0.38354
I	1900001	24	39.268	briggsae	0.37707
I	2000001	8	35.484	briggsae	0.3706
I	2100001	14	44.922	briggsae	0.36413
I	2200001	13	41.981	briggsae	0.35766
I	2300001	12	43.784	briggsae	0.35119
I	2400001	22	36.196	briggsae	0.34472
I	2500001	25	28.307	briggsae	0.33825
I	2600001	28	28.926	briggsae	0.33178
I	2700001	17	34.428	briggsae	0.32531
I	2800001	25	32.988	briggsae	0.31884
I	2900001	22	29.017	briggsae	0.31237
I	3000001	27	34.734	briggsae	0.3059
I	3100001	19	30.12	briggsae	0.29943
I	3200001	23	23.828	briggsae	0.29296
I	3300001	22	34.062	briggsae	0.28649
I	3400001	24	24.397	briggsae	0.28002
I	3500001	30	17.913	briggsae	0.27355
I	3600001	22	15.565	briggsae	0.26708
I	3700001	24	21.925	briggsae	0.26061
I	3800001	25	22.211	briggsae	0.25414
I	3900001	31	20.584	briggsae	0.24767
I	4000001	25	16.732	briggsae	0.2412
I	4100001	38	16.841	briggsae	0.23473
I	4200001	20	22.779	briggsae	0.22826
I	4300001	23	23.878	briggsae	0.22179
I	4400001	29	16.186	briggsae	0.21532
I	4500001	25	15.9	briggsae	0.20885
I	4600001	29	19.406	briggsae	0.202381
I	4700001	36	27.758	briggsae	0.195911
I	4800001	13	23.688	briggsae	0.189441
I	4900001	26	23.077	briggsae	0.182971
I	5000001	23	31.657	briggsae	0.176501
I	5100001	25	17.803	briggsae	0.170031
I	5200001	23	18.03	briggsae	0.163561
I	5300001	25	17.824	briggsae	0.157091
I	5400001	23	25.803	briggsae	0.150621
I	5500001	26	27.085	briggsae	0.144151
I	5600001	38	18.724	briggsae	0.137681
I	5700001	29	21.156	briggsae	0.131211
I	5800001	27	24.011	briggsae	0.124741
I	5900001	28	17.546	briggsae	0.118271
I	6000001	25	23.004	briggsae	0.111801
I	6100001	27	22.301	briggsae	0.105331
I	6200001	19	31.623	briggsae	0.0988607
I	6300001	31	25.737	briggsae	0.0923907
I	6400001	18	21.796	briggsae	0.0859207
I	6500001	35	17.631	briggsae	0.0794507
I	6600001	20	24.395	briggsae	0.0729807
I	6700001	30	21.963	briggsae	0.0665108
I	6800001	25	21.29	briggsae	0.0600408
I	6900001	24	27.088	briggsae	0.0535708
I	7000001	21	35.408	briggsae	0.0471008
I	7100001	14	36.095	briggsae	0.0406308
I	7200001	12	38.236	briggsae	0.0341608
I	7300001	36	25.06	briggsae	0.0276908
I	7400001	28	16.755	briggsae	0.0212208
I	7500001	27	25.885	briggsae	0.0147509
I	7600001	28	17.739	briggsae	0.00828087
I	7700001	9	18.87	briggsae	0.00181088
I	7800001	27	25.655	briggsae	0.0046591
I	7900001	19	21.821	briggsae	0.0111291
I	8000001	37	20.447	briggsae	0.0175991
I	8100001	35	18.857	briggsae	0.0240691
I	8200001	31	19.992	briggsae	0.0305391
I	8300001	25	26.045	briggsae	0.037009
I	8400001	16	19.475	briggsae	0.043479
I	8500001	34	19.822	briggsae	0.049949
I	8600001	23	22.71	briggsae	0.056419
I	8700001	26	20.09	briggsae	0.062889
I	8800001	22	21.141	briggsae	0.069359
I	8900001	25	19.687	briggsae	0.075829
I	9000001	26	15.958	briggsae	0.082299
I	9100001	26	21.312	briggsae	0.0887689
I	9200001	34	21.534	briggsae	0.0952389
I	9300001	30	20.154	briggsae	0.101709
I	9400001	34	20.593	briggsae	0.108179
I	9500001	26	18.951	briggsae	0.114649
I	9600001	24	25.508	briggsae	0.121119
I	9700001	29	20.942	briggsae	0.127589
I	9800001	41	33.699	briggsae	0.134059
I	9900001	24	25.069	briggsae	0.140529
I	10000001	25	34.439	briggsae	0.146999
I	10100001	36	21.755	briggsae	0.153469
I	10200001	25	23.851	briggsae	0.159939
I	10300001	26	29.339	briggsae	0.166409
I	10400001	23	32.304	briggsae	0.172879
I	10500001	9	26.422	briggsae	0.179349
I	10600001	22	24.366	briggsae	0.185819
I	10700001	25	33.618	briggsae	0.192289
I	10800001	35	32.725	briggsae	0.198759
I	10900001	20	39.369	briggsae	0.205229
I	11000001	26	34.638	briggsae	0.211699
I	11100001	19	42.143	briggsae	0.218169
I	11200001	14	31.228	briggsae	0.224639
I	11300001	27	22.565	briggsae	0.231109
I	11400001	25	37.112	briggsae	0.237579
I	11500001	26	29.783	briggsae	0.244049
I	11600001	21	33.125	briggsae	0.250519
I	11700001	19	51.229	briggsae	0.256989
I	11800001	18	45.217	briggsae	0.263459
I	11900001	27	37.069	briggsae	0.269929
I	12000001	21	49.432	briggsae	0.276399
I	12100001	21	46.876	briggsae	0.282869
I	12200001	15	45.828	briggsae	0.289339
I	12300001	19	47.468	briggsae	0.295809
I	12400001	26	47.643	briggsae	0.302279
I	12500001	15	47.289	briggsae	0.308749
I	12600001	15	45.653	briggsae	0.315219
I	12700001	19	39.813	briggsae	0.321688
I	12800001	24	43.798	briggsae	0.328158
I	12900001	22	50.088	briggsae	0.334628
I	13000001	32	50.218	briggsae	0.341098
I	13100001	25	42.469	briggsae	0.347568
I	13200001	17	33.671	briggsae	0.354038
I	13300001	13	47.103	briggsae	0.360508
I	13400001	8	31.059	briggsae	0.366978
I	13500001	18	41.018	briggsae	0.373448
I	13600001	12	41.886	briggsae	0.379918
I	13700001	14	35.425	briggsae	0.386388
I	13800001	14	35.202	briggsae	0.392858
I	13900001	18	33.811	briggsae	0.399328
I	14000001	25	28.969	briggsae	0.405798
I	14100001	8	36.732	briggsae	0.412268
I	14200001	20	38.358	briggsae	0.418738
I	14300001	21	34.588	briggsae	0.425208
I	14400001	20	42.166	briggsae	0.431678
I	14500001	21	31.915	briggsae	0.438148
I	14600001	24	34.877	briggsae	0.444618
I	14700001	21	39.431	briggsae	0.451088
I	14800001	18	37.229	briggsae	0.457558
I	14900001	18	35.762	briggsae	0.464028
I	15000001	21	31.324	briggsae	0.470498
I	15100001	19	29.191	briggsae	0.476968
I	15200001	16	24.979	briggsae	0.483438
I	15300001	37	9.485	briggsae	0.489908
I	15400001	10	8.431	briggsae	0.496378
IV	1	24	35.893	briggsae	0.5
IV	100001	13	30.178	briggsae	0.494281
IV	200001	21	31.637	briggsae	0.488562
IV	300001	39	24.387	briggsae	0.482843
IV	400001	38	9.342	briggsae	0.477124
IV	500001	20	35.669	briggsae	0.471405
IV	600001	14	34.968	briggsae	0.465686
IV	700001	14	52.655	briggsae	0.459967
IV	800001	10	26.775	briggsae	0.454248
IV	900001	8	25.157	briggsae	0.448529
IV	1000001	13	36.372	briggsae	0.44281
IV	1100001	12	39.489	briggsae	0.43709
IV	1200001	22	36.655	briggsae	0.431371
IV	1300001	27	37.605	briggsae	0.425652
IV	1400001	22	33.673	briggsae	0.419933
IV	1500001	26	33.419	briggsae	0.414214
IV	1600001	23	31.443	briggsae	0.408495
IV	1700001	15	34.911	briggsae	0.402776
IV	1800001	25	30.076	briggsae	0.397057
IV	1900001	10	29.544	briggsae	0.391338
IV	2000001	22	26.603	briggsae	0.385619
IV	2100001	31	28.502	briggsae	0.3799
IV	2200001	18	26.981	briggsae	0.374181
IV	2300001	18	41.619	briggsae	0.368462
IV	2400001	15	27.592	briggsae	0.362743
IV	2500001	14	34.873	briggsae	0.357024
IV	2600001	10	29.696	briggsae	0.351305
IV	2700001	18	29.45	briggsae	0.345586
IV	2800001	12	26.736	briggsae	0.339867
IV	2900001	14	41.101	briggsae	0.334148
IV	3000001	15	37.618	briggsae	0.328429
IV	3100001	19	35.985	briggsae	0.32271
IV	3200001	16	36.684	briggsae	0.316991
IV	3300001	24	28.862	briggsae	0.311271
IV	3400001	17	38.532	briggsae	0.305552
IV	3500001	16	43.485	briggsae	0.299833
IV	3600001	15	34.39	briggsae	0.294114
IV	3700001	10	30.631	briggsae	0.288395
IV	3800001	9	37.904	briggsae	0.282676
IV	3900001	21	26.916	briggsae	0.276957
IV	4000001	22	29.825	briggsae	0.271238
IV	4100001	17	37.217	briggsae	0.265519
IV	4200001	16	35.399	briggsae	0.2598
IV	4300001	16	30.523	briggsae	0.254081
IV	4400001	15	34.96	briggsae	0.248362
IV	4500001	17	32.36	briggsae	0.242643
IV	4600001	11	29.307	briggsae	0.236924
IV	4700001	19	26.994	briggsae	0.231205
IV	4800001	23	24.364	briggsae	0.225486
IV	4900001	11	38.88	briggsae	0.219767
IV	5000001	22	36.502	briggsae	0.214048
IV	5100001	18	42.354	briggsae	0.208329
IV	5200001	25	27.632	briggsae	0.20261
IV	5300001	20	26.606	briggsae	0.196891
IV	5400001	18	28.93	briggsae	0.191172
IV	5500001	28	28.085	briggsae	0.185453
IV	5600001	12	34.667	briggsae	0.179733
IV	5700001	11	28.376	briggsae	0.174014
IV	5800001	23	27.051	briggsae	0.168295
IV	5900001	10	25.381	briggsae	0.162576
IV	6000001	17	29.807	briggsae	0.156857
IV	6100001	31	18.741	briggsae	0.151138
IV	6200001	10	27.48	briggsae	0.145419
IV	6300001	20	33.509	briggsae	0.1397
IV	6400001	17	26.017	briggsae	0.133981
IV	6500001	16	21.305	briggsae	0.128262
IV	6600001	19	25.901	briggsae	0.122543
IV	6700001	25	27.84	briggsae	0.116824
IV	6800001	24	26.939	briggsae	0.111105
IV	6900001	27	20.042	briggsae	0.105386
IV	7000001	36	21.904	briggsae	0.0996669
IV	7100001	24	19.053	briggsae	0.0939478
IV	7200001	35	17.3	briggsae	0.0882288
IV	7300001	36	17.884	briggsae	0.0825097
IV	7400001	36	13.616	briggsae	0.0767907
IV	7500001	14	9.79	briggsae	0.0710716
IV	7600001	39	20.175	briggsae	0.0653526
IV	7700001	21	14.076	briggsae	0.0596336
IV	7800001	36	15.759	briggsae	0.0539145
IV	7900001	33	19.877	briggsae	0.0481955
IV	8000001	34	18.146	briggsae	0.0424764
IV	8100001	20	17.23	briggsae	0.0367574
IV	8200001	30	17.229	briggsae	0.0310383
IV	8300001	18	26.493	briggsae	0.0253193
IV	8400001	36	24.662	briggsae	0.0196003
IV	8500001	20	18.407	briggsae	0.0138812
IV	8600001	30	16.874	briggsae	0.00816216
IV	8700001	19	20.651	briggsae	0.00244312
IV	8800001	22	16.935	briggsae	0.00327593
IV	8900001	26	16.124	briggsae	0.00899497
IV	9000001	18	12.671	briggsae	0.014714
IV	9100001	29	16.94	briggsae	0.0204331
IV	9200001	31	19.519	briggsae	0.0261521
IV	9300001	24	26.465	briggsae	0.0318711
IV	9400001	26	17.999	briggsae	0.0375902
IV	9500001	17	20.87	briggsae	0.0433092
IV	9600001	22	16.912	briggsae	0.0490283
IV	9700001	32	22.767	briggsae	0.0547473
IV	9800001	23	15.684	briggsae	0.0604664
IV	9900001	24	18.963	briggsae	0.0661854
IV	10000001	15	21.973	briggsae	0.0719045
IV	10100001	23	36.995	briggsae	0.0776235
IV	10200001	20	27.917	briggsae	0.0833425
IV	10300001	29	25.079	briggsae	0.0890616
IV	10400001	39	22.213	briggsae	0.0947806
IV	10500001	27	22.121	briggsae	0.1005
IV	10600001	31	18.3	briggsae	0.106219
IV	10700001	23	22.756	briggsae	0.111938
IV	10800001	25	14.516	briggsae	0.117657
IV	10900001	21	28.813	briggsae	0.123376
IV	11000001	23	22.673	briggsae	0.129095
IV	11100001	23	19.644	briggsae	0.134814
IV	11200001	26	20.951	briggsae	0.140533
IV	11300001	23	21.418	briggsae	0.146252
IV	11400001	21	23.315	briggsae	0.151971
IV	11500001	25	18.725	briggsae	0.15769
IV	11600001	17	30.751	briggsae	0.163409
IV	11700001	38	18.033	briggsae	0.169128
IV	11800001	17	21.829	briggsae	0.174847
IV	11900001	20	17.785	briggsae	0.180566
IV	12000001	21	22.653	briggsae	0.186285
IV	12100001	17	22.472	briggsae	0.192004
IV	12200001	35	27.082	briggsae	0.197723
IV	12300001	22	29.892	briggsae	0.203442
IV	12400001	22	33.654	briggsae	0.209162
IV	12500001	19	24.683	briggsae	0.214881
IV	12600001	26	30.212	briggsae	0.2206
IV	12700001	23	31.836	briggsae	0.226319
IV	12800001	28	33.803	briggsae	0.232038
IV	12900001	29	35.936	briggsae	0.237757
IV	13000001	17	27.916	briggsae	0.243476
IV	13100001	12	36.632	briggsae	0.249195
IV	13200001	17	29.995	briggsae	0.254914
IV	13300001	20	35.163	briggsae	0.260633
IV	13400001	18	36.962	briggsae	0.266352
IV	13500001	20	39.214	briggsae	0.272071
IV	13600001	12	47.492	briggsae	0.27779
IV	13700001	15	42.848	briggsae	0.283509
IV	13800001	17	41.354	briggsae	0.289228
IV	13900001	8	37.482	briggsae	0.294947
IV	14000001	9	42.612	briggsae	0.300666
IV	14100001	20	42.974	briggsae	0.306385
IV	14200001	11	47.111	briggsae	0.312104
IV	14300001	14	37.011	briggsae	0.317823
IV	14400001	11	44.029	briggsae	0.323542
IV	14500001	15	50.315	briggsae	0.329261
IV	14600001	20	43.822	briggsae	0.33498
IV	14700001	18	47.839	briggsae	0.3407
IV	14800001	12	41.55	briggsae	0.346419
IV	14900001	17	45.582	briggsae	0.352138
IV	15000001	14	44.47	briggsae	0.357857
IV	15100001	19	43.807	briggsae	0.363576
IV	15200001	21	43.759	briggsae	0.369295
IV	15300001	15	50.829	briggsae	0.375014
IV	15400001	11	36.648	briggsae	0.380733
