Chr	BP	num_rep_bp	species	norm_dist_center
I	1000001	1127	briggsae	0.4353
I	1010001	2373	briggsae	0.434653
I	1020001	1063	briggsae	0.434006
I	1030001	2108	briggsae	0.433359
I	1040001	3286	briggsae	0.432712
I	1050001	3278	briggsae	0.432065
I	1060001	3325	briggsae	0.431418
I	1070001	2641	briggsae	0.430771
I	1080001	2813	briggsae	0.430124
I	1090001	3251	briggsae	0.429477
I	1100001	3870	briggsae	0.42883
I	1110001	3574	briggsae	0.428183
I	1120001	5579	briggsae	0.427536
I	1130001	2968	briggsae	0.426889
I	1140001	3593	briggsae	0.426242
I	1150001	3321	briggsae	0.425595
I	1160001	2406	briggsae	0.424948
I	1170001	5513	briggsae	0.424301
I	1180001	6051	briggsae	0.423654
I	1190001	3065	briggsae	0.423007
I	1200001	4190	briggsae	0.42236
I	1210001	1756	briggsae	0.421713
I	1220001	4953	briggsae	0.421066
I	1230001	5001	briggsae	0.420419
I	1240001	3781	briggsae	0.419772
I	1250001	2981	briggsae	0.419125
I	1260001	3011	briggsae	0.418478
I	1270001	4229	briggsae	0.417831
I	1280001	2952	briggsae	0.417184
I	1290001	3846	briggsae	0.416537
I	1300001	6281	briggsae	0.41589
I	1310001	5295	briggsae	0.415243
I	1320001	718	briggsae	0.414596
I	1330001	1654	briggsae	0.413949
I	1340001	3840	briggsae	0.413302
I	1350001	2905	briggsae	0.412655
I	1360001	2320	briggsae	0.412008
I	1370001	845	briggsae	0.411361
I	1380001	2589	briggsae	0.410714
I	1390001	1594	briggsae	0.410067
I	1400001	3715	briggsae	0.40942
I	1410001	4115	briggsae	0.408773
I	1420001	2882	briggsae	0.408126
I	1430001	2667	briggsae	0.407479
I	1440001	3765	briggsae	0.406832
I	1450001	4483	briggsae	0.406185
I	1460001	3788	briggsae	0.405538
I	1470001	2346	briggsae	0.404891
I	1480001	1366	briggsae	0.404244
I	1490001	1448	briggsae	0.403597
I	1500001	869	briggsae	0.40295
I	1510001	2433	briggsae	0.402303
I	1520001	2727	briggsae	0.401656
I	1530001	3348	briggsae	0.401009
I	1540001	1911	briggsae	0.400362
I	1550001	3010	briggsae	0.399715
I	1560001	2566	briggsae	0.399068
I	1570001	976	briggsae	0.398421
I	1580001	843	briggsae	0.397774
I	1590001	1951	briggsae	0.397127
I	1600001	507	briggsae	0.39648
I	1610001	5255	briggsae	0.395833
I	1620001	2639	briggsae	0.395186
I	1630001	1321	briggsae	0.394539
I	1640001	1455	briggsae	0.393892
I	1650001	3876	briggsae	0.393245
I	1660001	2799	briggsae	0.392598
I	1670001	2105	briggsae	0.391951
I	1680001	2238	briggsae	0.391304
I	1690001	945	briggsae	0.390657
I	1700001	1424	briggsae	0.39001
I	1710001	2896	briggsae	0.389363
I	1720001	2553	briggsae	0.388716
I	1730001	1317	briggsae	0.388069
I	1740001	3777	briggsae	0.387422
I	1750001	4755	briggsae	0.386775
I	1760001	3378	briggsae	0.386128
I	1770001	1559	briggsae	0.385481
I	1780001	2088	briggsae	0.384834
I	1790001	226	briggsae	0.384187
I	1800001	3022	briggsae	0.38354
I	1810001	5543	briggsae	0.382893
I	1820001	4553	briggsae	0.382246
I	1830001	5262	briggsae	0.381599
I	1840001	2930	briggsae	0.380952
I	1850001	2248	briggsae	0.380305
I	1860001	2872	briggsae	0.379658
I	1870001	2645	briggsae	0.379011
I	1880001	2467	briggsae	0.378364
I	1890001	1832	briggsae	0.377717
I	1900001	4648	briggsae	0.37707
I	1910001	1488	briggsae	0.376423
I	1920001	1539	briggsae	0.375776
I	1930001	2351	briggsae	0.375129
I	1940001	3032	briggsae	0.374482
I	1950001	2151	briggsae	0.373835
I	1960001	1790	briggsae	0.373188
I	1970001	2588	briggsae	0.372541
I	1980001	4293	briggsae	0.371894
I	1990001	3256	briggsae	0.371247
I	2000001	3029	briggsae	0.3706
I	2010001	1899	briggsae	0.369953
I	2020001	2598	briggsae	0.369306
I	2030001	1544	briggsae	0.368659
I	2040001	989	briggsae	0.368012
I	2050001	3573	briggsae	0.367365
I	2060001	2052	briggsae	0.366718
I	2070001	398	briggsae	0.366071
I	2080001	2546	briggsae	0.365424
I	2090001	4126	briggsae	0.364777
I	2100001	4687	briggsae	0.36413
I	2110001	2888	briggsae	0.363483
I	2120001	2897	briggsae	0.362836
I	2130001	3519	briggsae	0.362189
I	2140001	2647	briggsae	0.361542
I	2150001	2996	briggsae	0.360895
I	2160001	4874	briggsae	0.360248
I	2170001	3359	briggsae	0.359601
I	2180001	1900	briggsae	0.358954
I	2190001	3677	briggsae	0.358307
I	2200001	691	briggsae	0.35766
I	2210001	4061	briggsae	0.357013
I	2220001	1724	briggsae	0.356366
I	2230001	1807	briggsae	0.355719
I	2240001	1177	briggsae	0.355072
I	2250001	3370	briggsae	0.354425
I	2260001	2015	briggsae	0.353778
I	2270001	3686	briggsae	0.353131
I	2280001	3881	briggsae	0.352484
I	2290001	2743	briggsae	0.351837
I	2300001	5361	briggsae	0.35119
I	2310001	5141	briggsae	0.350543
I	2320001	3623	briggsae	0.349896
I	2330001	5022	briggsae	0.349249
I	2340001	4156	briggsae	0.348602
I	2350001	2425	briggsae	0.347955
I	2360001	1171	briggsae	0.347308
I	2370001	599	briggsae	0.346661
I	2380001	820	briggsae	0.346014
I	2390001	985	briggsae	0.345367
I	2400001	2576	briggsae	0.34472
I	2410001	3922	briggsae	0.344073
I	2420001	1488	briggsae	0.343426
I	2430001	1752	briggsae	0.342779
I	2440001	1628	briggsae	0.342132
I	2450001	3220	briggsae	0.341485
I	2460001	1514	briggsae	0.340838
I	2470001	3673	briggsae	0.340191
I	2480001	4197	briggsae	0.339544
I	2490001	4750	briggsae	0.338897
I	2500001	2496	briggsae	0.33825
I	2510001	2629	briggsae	0.337603
I	2520001	820	briggsae	0.336956
I	2530001	1442	briggsae	0.336309
I	2540001	1336	briggsae	0.335662
I	2550001	583	briggsae	0.335015
I	2560001	1783	briggsae	0.334368
I	2570001	1052	briggsae	0.333721
I	2580001	396	briggsae	0.333074
I	2590001	65	briggsae	0.332427
I	2600001	1634	briggsae	0.33178
I	2610001	1541	briggsae	0.331133
I	2620001	946	briggsae	0.330486
I	2630001	1550	briggsae	0.329839
I	2640001	3046	briggsae	0.329192
I	2650001	2981	briggsae	0.328545
I	2660001	2964	briggsae	0.327898
I	2670001	149	briggsae	0.327251
I	2680001	1723	briggsae	0.326604
I	2690001	1309	briggsae	0.325957
I	2700001	2544	briggsae	0.32531
I	2710001	1222	briggsae	0.324663
I	2720001	1293	briggsae	0.324016
I	2730001	1970	briggsae	0.323369
I	2740001	1988	briggsae	0.322722
I	2750001	2381	briggsae	0.322075
I	2760001	1858	briggsae	0.321428
I	2770001	2586	briggsae	0.320781
I	2780001	721	briggsae	0.320134
I	2790001	507	briggsae	0.319487
I	2800001	767	briggsae	0.31884
I	2810001	903	briggsae	0.318193
I	2820001	621	briggsae	0.317546
I	2830001	1812	briggsae	0.316899
I	2840001	4215	briggsae	0.316252
I	2850001	929	briggsae	0.315605
I	2860001	1818	briggsae	0.314958
I	2870001	2071	briggsae	0.314311
I	2880001	3212	briggsae	0.313664
I	2890001	2631	briggsae	0.313017
I	2900001	1332	briggsae	0.31237
I	2910001	515	briggsae	0.311723
I	2920001	585	briggsae	0.311076
I	2930001	1988	briggsae	0.310429
I	2940001	3736	briggsae	0.309782
I	2950001	2736	briggsae	0.309135
I	2960001	1455	briggsae	0.308488
I	2970001	2188	briggsae	0.307841
I	2980001	1603	briggsae	0.307194
I	2990001	1115	briggsae	0.306547
I	3000001	1016	briggsae	0.3059
I	3010001	386	briggsae	0.305253
I	3020001	3197	briggsae	0.304606
I	3030001	1092	briggsae	0.303959
I	3040001	2544	briggsae	0.303312
I	3050001	2650	briggsae	0.302665
I	3060001	658	briggsae	0.302018
I	3070001	1153	briggsae	0.301371
I	3080001	1478	briggsae	0.300724
I	3090001	1612	briggsae	0.300077
I	3100001	1172	briggsae	0.29943
I	3110001	1281	briggsae	0.298783
I	3120001	2291	briggsae	0.298136
I	3130001	2018	briggsae	0.297489
I	3140001	1438	briggsae	0.296842
I	3150001	4392	briggsae	0.296195
I	3160001	905	briggsae	0.295548
I	3170001	881	briggsae	0.294901
I	3180001	1063	briggsae	0.294254
I	3190001	1315	briggsae	0.293607
I	3200001	1384	briggsae	0.29296
I	3210001	2560	briggsae	0.292313
I	3220001	1125	briggsae	0.291666
I	3230001	2377	briggsae	0.291019
I	3240001	2019	briggsae	0.290372
I	3250001	1160	briggsae	0.289725
I	3260001	1673	briggsae	0.289078
I	3270001	2672	briggsae	0.288431
I	3280001	360	briggsae	0.287784
I	3290001	2505	briggsae	0.287137
I	3300001	4276	briggsae	0.28649
I	3310001	964	briggsae	0.285843
I	3320001	4006	briggsae	0.285196
I	3330001	1635	briggsae	0.284549
I	3340001	3316	briggsae	0.283902
I	3350001	1820	briggsae	0.283255
I	3360001	1298	briggsae	0.282608
I	3370001	2312	briggsae	0.281961
I	3380001	2168	briggsae	0.281314
I	3390001	1539	briggsae	0.280667
I	3400001	1670	briggsae	0.28002
I	3410001	2154	briggsae	0.279373
I	3420001	2329	briggsae	0.278726
I	3430001	936	briggsae	0.278079
I	3440001	1030	briggsae	0.277432
I	3450001	708	briggsae	0.276785
I	3460001	550	briggsae	0.276138
I	3470001	851	briggsae	0.275491
I	3480001	1226	briggsae	0.274844
I	3490001	472	briggsae	0.274197
I	3500001	3198	briggsae	0.27355
I	3510001	330	briggsae	0.272903
I	3520001	0	briggsae	0.272256
I	3530001	2317	briggsae	0.271609
I	3540001	2007	briggsae	0.270962
I	3550001	194	briggsae	0.270315
I	3560001	2007	briggsae	0.269668
I	3570001	1997	briggsae	0.269021
I	3580001	77	briggsae	0.268374
I	3590001	577	briggsae	0.267727
I	3600001	1172	briggsae	0.26708
I	3610001	688	briggsae	0.266433
I	3620001	1157	briggsae	0.265786
I	3630001	260	briggsae	0.265139
I	3640001	402	briggsae	0.264492
I	3650001	899	briggsae	0.263845
I	3660001	1400	briggsae	0.263198
I	3670001	2102	briggsae	0.262551
I	3680001	850	briggsae	0.261904
I	3690001	27	briggsae	0.261257
I	3700001	390	briggsae	0.26061
I	3710001	1101	briggsae	0.259963
I	3720001	3678	briggsae	0.259316
I	3730001	1748	briggsae	0.258669
I	3740001	1296	briggsae	0.258022
I	3750001	464	briggsae	0.257375
I	3760001	997	briggsae	0.256728
I	3770001	132	briggsae	0.256081
I	3780001	891	briggsae	0.255434
I	3790001	1079	briggsae	0.254787
I	3800001	1155	briggsae	0.25414
I	3810001	461	briggsae	0.253493
I	3820001	1107	briggsae	0.252846
I	3830001	1345	briggsae	0.252199
I	3840001	1065	briggsae	0.251552
I	3850001	790	briggsae	0.250905
I	3860001	91	briggsae	0.250258
I	3870001	1748	briggsae	0.249611
I	3880001	1548	briggsae	0.248964
I	3890001	594	briggsae	0.248317
I	3900001	397	briggsae	0.24767
I	3910001	166	briggsae	0.247023
I	3920001	614	briggsae	0.246376
I	3930001	600	briggsae	0.245729
I	3940001	1234	briggsae	0.245082
I	3950001	603	briggsae	0.244435
I	3960001	780	briggsae	0.243788
I	3970001	1418	briggsae	0.243141
I	3980001	452	briggsae	0.242494
I	3990001	0	briggsae	0.241847
I	4000001	226	briggsae	0.2412
I	4010001	351	briggsae	0.240553
I	4020001	1198	briggsae	0.239906
I	4030001	1287	briggsae	0.239259
I	4040001	2284	briggsae	0.238612
I	4050001	1256	briggsae	0.237965
I	4060001	1199	briggsae	0.237318
I	4070001	201	briggsae	0.236671
I	4080001	318	briggsae	0.236024
I	4090001	977	briggsae	0.235377
I	4100001	1134	briggsae	0.23473
I	4110001	412	briggsae	0.234083
I	4120001	1313	briggsae	0.233436
I	4130001	21	briggsae	0.232789
I	4140001	33	briggsae	0.232142
I	4150001	2543	briggsae	0.231495
I	4160001	334	briggsae	0.230848
I	4170001	494	briggsae	0.230201
I	4180001	583	briggsae	0.229554
I	4190001	1220	briggsae	0.228907
I	4200001	1449	briggsae	0.22826
I	4210001	1658	briggsae	0.227613
I	4220001	1419	briggsae	0.226966
I	4230001	1569	briggsae	0.226319
I	4240001	897	briggsae	0.225672
I	4250001	1229	briggsae	0.225025
I	4260001	181	briggsae	0.224378
I	4270001	852	briggsae	0.223731
I	4280001	611	briggsae	0.223084
I	4290001	1245	briggsae	0.222437
I	4300001	0	briggsae	0.22179
I	4310001	430	briggsae	0.221143
I	4320001	154	briggsae	0.220496
I	4330001	1831	briggsae	0.219849
I	4340001	1614	briggsae	0.219202
I	4350001	986	briggsae	0.218555
I	4360001	1322	briggsae	0.217908
I	4370001	373	briggsae	0.217261
I	4380001	1043	briggsae	0.216614
I	4390001	1292	briggsae	0.215967
I	4400001	483	briggsae	0.21532
I	4410001	1809	briggsae	0.214673
I	4420001	815	briggsae	0.214026
I	4430001	95	briggsae	0.213379
I	4440001	493	briggsae	0.212732
I	4450001	2501	briggsae	0.212085
I	4460001	1878	briggsae	0.211438
I	4470001	918	briggsae	0.210791
I	4480001	245	briggsae	0.210144
I	4490001	188	briggsae	0.209497
I	4500001	326	briggsae	0.20885
I	4510001	1101	briggsae	0.208203
I	4520001	1005	briggsae	0.207556
I	4530001	1225	briggsae	0.206909
I	4540001	245	briggsae	0.206262
I	4550001	1121	briggsae	0.205615
I	4560001	488	briggsae	0.204968
I	4570001	655	briggsae	0.204321
I	4580001	1771	briggsae	0.203675
I	4590001	301	briggsae	0.203028
I	4600001	208	briggsae	0.202381
I	4610001	791	briggsae	0.201734
I	4620001	2364	briggsae	0.201087
I	4630001	2169	briggsae	0.20044
I	4640001	840	briggsae	0.199793
I	4650001	112	briggsae	0.199146
I	4660001	1839	briggsae	0.198499
I	4670001	746	briggsae	0.197852
I	4680001	31	briggsae	0.197205
I	4690001	658	briggsae	0.196558
I	4700001	1478	briggsae	0.195911
I	4710001	5254	briggsae	0.195264
I	4720001	8525	briggsae	0.194617
I	4730001	2449	briggsae	0.19397
I	4740001	777	briggsae	0.193323
I	4750001	167	briggsae	0.192676
I	4760001	1008	briggsae	0.192029
I	4770001	377	briggsae	0.191382
I	4780001	555	briggsae	0.190735
I	4790001	1337	briggsae	0.190088
I	4800001	821	briggsae	0.189441
I	4810001	655	briggsae	0.188794
I	4820001	1100	briggsae	0.188147
I	4830001	1704	briggsae	0.1875
I	4840001	1618	briggsae	0.186853
I	4850001	1031	briggsae	0.186206
I	4860001	1548	briggsae	0.185559
I	4870001	762	briggsae	0.184912
I	4880001	1787	briggsae	0.184265
I	4890001	663	briggsae	0.183618
I	4900001	1252	briggsae	0.182971
I	4910001	1136	briggsae	0.182324
I	4920001	1683	briggsae	0.181677
I	4930001	709	briggsae	0.18103
I	4940001	2099	briggsae	0.180383
I	4950001	3534	briggsae	0.179736
I	4960001	3170	briggsae	0.179089
I	4970001	638	briggsae	0.178442
I	4980001	1401	briggsae	0.177795
I	4990001	662	briggsae	0.177148
I	5000001	3091	briggsae	0.176501
I	5010001	2321	briggsae	0.175854
I	5020001	1881	briggsae	0.175207
I	5030001	663	briggsae	0.17456
I	5040001	306	briggsae	0.173913
I	5050001	1040	briggsae	0.173266
I	5060001	738	briggsae	0.172619
I	5070001	750	briggsae	0.171972
I	5080001	1134	briggsae	0.171325
I	5090001	1032	briggsae	0.170678
I	5100001	179	briggsae	0.170031
I	5110001	35	briggsae	0.169384
I	5120001	132	briggsae	0.168737
I	5130001	30	briggsae	0.16809
I	5140001	918	briggsae	0.167443
I	5150001	711	briggsae	0.166796
I	5160001	368	briggsae	0.166149
I	5170001	2997	briggsae	0.165502
I	5180001	1149	briggsae	0.164855
I	5190001	1338	briggsae	0.164208
I	5200001	407	briggsae	0.163561
I	5210001	1599	briggsae	0.162914
I	5220001	585	briggsae	0.162267
I	5230001	2068	briggsae	0.16162
I	5240001	364	briggsae	0.160973
I	5250001	525	briggsae	0.160326
I	5260001	699	briggsae	0.159679
I	5270001	569	briggsae	0.159032
I	5280001	503	briggsae	0.158385
I	5290001	1330	briggsae	0.157738
I	5300001	980	briggsae	0.157091
I	5310001	2850	briggsae	0.156444
I	5320001	2382	briggsae	0.155797
I	5330001	472	briggsae	0.15515
I	5340001	774	briggsae	0.154503
I	5350001	283	briggsae	0.153856
I	5360001	120	briggsae	0.153209
I	5370001	1934	briggsae	0.152562
I	5380001	521	briggsae	0.151915
I	5390001	616	briggsae	0.151268
I	5400001	1660	briggsae	0.150621
I	5410001	1653	briggsae	0.149974
I	5420001	910	briggsae	0.149327
I	5430001	1928	briggsae	0.14868
I	5440001	638	briggsae	0.148033
I	5450001	1340	briggsae	0.147386
I	5460001	2125	briggsae	0.146739
I	5470001	1438	briggsae	0.146092
I	5480001	1282	briggsae	0.145445
I	5490001	1366	briggsae	0.144798
I	5500001	1684	briggsae	0.144151
I	5510001	1217	briggsae	0.143504
I	5520001	2066	briggsae	0.142857
I	5530001	1904	briggsae	0.14221
I	5540001	2047	briggsae	0.141563
I	5550001	2248	briggsae	0.140916
I	5560001	1498	briggsae	0.140269
I	5570001	827	briggsae	0.139622
I	5580001	1573	briggsae	0.138975
I	5590001	1202	briggsae	0.138328
I	5600001	1287	briggsae	0.137681
I	5610001	544	briggsae	0.137034
I	5620001	756	briggsae	0.136387
I	5630001	2888	briggsae	0.13574
I	5640001	204	briggsae	0.135093
I	5650001	1257	briggsae	0.134446
I	5660001	2249	briggsae	0.133799
I	5670001	759	briggsae	0.133152
I	5680001	321	briggsae	0.132505
I	5690001	684	briggsae	0.131858
I	5700001	583	briggsae	0.131211
I	5710001	503	briggsae	0.130564
I	5720001	395	briggsae	0.129917
I	5730001	846	briggsae	0.12927
I	5740001	1196	briggsae	0.128623
I	5750001	1246	briggsae	0.127976
I	5760001	1099	briggsae	0.127329
I	5770001	1714	briggsae	0.126682
I	5780001	1933	briggsae	0.126035
I	5790001	1480	briggsae	0.125388
I	5800001	476	briggsae	0.124741
I	5810001	232	briggsae	0.124094
I	5820001	1238	briggsae	0.123447
I	5830001	4095	briggsae	0.1228
I	5840001	2481	briggsae	0.122153
I	5850001	1055	briggsae	0.121506
I	5860001	937	briggsae	0.120859
I	5870001	832	briggsae	0.120212
I	5880001	1013	briggsae	0.119565
I	5890001	19	briggsae	0.118918
I	5900001	23	briggsae	0.118271
I	5910001	747	briggsae	0.117624
I	5920001	700	briggsae	0.116977
I	5930001	1067	briggsae	0.11633
I	5940001	118	briggsae	0.115683
I	5950001	213	briggsae	0.115036
I	5960001	310	briggsae	0.114389
I	5970001	209	briggsae	0.113742
I	5980001	920	briggsae	0.113095
I	5990001	112	briggsae	0.112448
I	6000001	422	briggsae	0.111801
I	6010001	821	briggsae	0.111154
I	6020001	769	briggsae	0.110507
I	6030001	3126	briggsae	0.10986
I	6040001	539	briggsae	0.109213
I	6050001	1352	briggsae	0.108566
I	6060001	1526	briggsae	0.107919
I	6070001	753	briggsae	0.107272
I	6080001	1911	briggsae	0.106625
I	6090001	377	briggsae	0.105978
I	6100001	212	briggsae	0.105331
I	6110001	1082	briggsae	0.104684
I	6120001	610	briggsae	0.104037
I	6130001	686	briggsae	0.10339
I	6140001	51	briggsae	0.102743
I	6150001	193	briggsae	0.102096
I	6160001	1068	briggsae	0.101449
I	6170001	1056	briggsae	0.100802
I	6180001	1727	briggsae	0.100155
I	6190001	3218	briggsae	0.0995077
I	6200001	1188	briggsae	0.0988607
I	6210001	638	briggsae	0.0982137
I	6220001	1087	briggsae	0.0975667
I	6230001	2091	briggsae	0.0969197
I	6240001	1221	briggsae	0.0962727
I	6250001	1011	briggsae	0.0956257
I	6260001	1132	briggsae	0.0949787
I	6270001	1616	briggsae	0.0943317
I	6280001	1930	briggsae	0.0936847
I	6290001	1940	briggsae	0.0930377
I	6300001	1975	briggsae	0.0923907
I	6310001	893	briggsae	0.0917437
I	6320001	1763	briggsae	0.0910967
I	6330001	1312	briggsae	0.0904497
I	6340001	1736	briggsae	0.0898027
I	6350001	492	briggsae	0.0891557
I	6360001	784	briggsae	0.0885087
I	6370001	1799	briggsae	0.0878617
I	6380001	1643	briggsae	0.0872147
I	6390001	1624	briggsae	0.0865677
I	6400001	1015	briggsae	0.0859207
I	6410001	1219	briggsae	0.0852737
I	6420001	229	briggsae	0.0846267
I	6430001	847	briggsae	0.0839797
I	6440001	1607	briggsae	0.0833327
I	6450001	944	briggsae	0.0826857
I	6460001	841	briggsae	0.0820387
I	6470001	4721	briggsae	0.0813917
I	6480001	1313	briggsae	0.0807447
I	6490001	577	briggsae	0.0800977
I	6500001	2751	briggsae	0.0794507
I	6510001	230	briggsae	0.0788037
I	6520001	2166	briggsae	0.0781567
I	6530001	2011	briggsae	0.0775097
I	6540001	505	briggsae	0.0768627
I	6550001	713	briggsae	0.0762157
I	6560001	1870	briggsae	0.0755687
I	6570001	0	briggsae	0.0749217
I	6580001	584	briggsae	0.0742747
I	6590001	627	briggsae	0.0736277
I	6600001	1089	briggsae	0.0729807
I	6610001	1904	briggsae	0.0723338
I	6620001	865	briggsae	0.0716868
I	6630001	1734	briggsae	0.0710398
I	6640001	1363	briggsae	0.0703928
I	6650001	567	briggsae	0.0697458
I	6660001	0	briggsae	0.0690988
I	6670001	1234	briggsae	0.0684518
I	6680001	1029	briggsae	0.0678048
I	6690001	2089	briggsae	0.0671578
I	6700001	1079	briggsae	0.0665108
I	6710001	918	briggsae	0.0658638
I	6720001	2122	briggsae	0.0652168
I	6730001	83	briggsae	0.0645698
I	6740001	207	briggsae	0.0639228
I	6750001	924	briggsae	0.0632758
I	6760001	3261	briggsae	0.0626288
I	6770001	1904	briggsae	0.0619818
I	6780001	1332	briggsae	0.0613348
I	6790001	996	briggsae	0.0606878
I	6800001	665	briggsae	0.0600408
I	6810001	554	briggsae	0.0593938
I	6820001	1763	briggsae	0.0587468
I	6830001	665	briggsae	0.0580998
I	6840001	2337	briggsae	0.0574528
I	6850001	306	briggsae	0.0568058
I	6860001	644	briggsae	0.0561588
I	6870001	495	briggsae	0.0555118
I	6880001	811	briggsae	0.0548648
I	6890001	636	briggsae	0.0542178
I	6900001	3032	briggsae	0.0535708
I	6910001	1450	briggsae	0.0529238
I	6920001	2525	briggsae	0.0522768
I	6930001	1124	briggsae	0.0516298
I	6940001	2019	briggsae	0.0509828
I	6950001	1809	briggsae	0.0503358
I	6960001	304	briggsae	0.0496888
I	6970001	1964	briggsae	0.0490418
I	6980001	1931	briggsae	0.0483948
I	6990001	1054	briggsae	0.0477478
I	7000001	1352	briggsae	0.0471008
I	7010001	565	briggsae	0.0464538
I	7020001	667	briggsae	0.0458068
I	7030001	2953	briggsae	0.0451598
I	7040001	2114	briggsae	0.0445128
I	7050001	1694	briggsae	0.0438658
I	7060001	4011	briggsae	0.0432188
I	7070001	1632	briggsae	0.0425718
I	7080001	1713	briggsae	0.0419248
I	7090001	2664	briggsae	0.0412778
I	7100001	3433	briggsae	0.0406308
I	7110001	3094	briggsae	0.0399838
I	7120001	2366	briggsae	0.0393368
I	7130001	2203	briggsae	0.0386898
I	7140001	1927	briggsae	0.0380428
I	7150001	1477	briggsae	0.0373958
I	7160001	1846	briggsae	0.0367488
I	7170001	2560	briggsae	0.0361018
I	7180001	3635	briggsae	0.0354548
I	7190001	4486	briggsae	0.0348078
I	7200001	1275	briggsae	0.0341608
I	7210001	1266	briggsae	0.0335138
I	7220001	1406	briggsae	0.0328668
I	7230001	1602	briggsae	0.0322198
I	7240001	1207	briggsae	0.0315728
I	7250001	1780	briggsae	0.0309258
I	7260001	3745	briggsae	0.0302788
I	7270001	3543	briggsae	0.0296318
I	7280001	1163	briggsae	0.0289848
I	7290001	3600	briggsae	0.0283378
I	7300001	320	briggsae	0.0276908
I	7310001	1590	briggsae	0.0270438
I	7320001	1032	briggsae	0.0263968
I	7330001	2231	briggsae	0.0257498
I	7340001	3948	briggsae	0.0251028
I	7350001	706	briggsae	0.0244558
I	7360001	724	briggsae	0.0238088
I	7370001	1258	briggsae	0.0231618
I	7380001	944	briggsae	0.0225148
I	7390001	1122	briggsae	0.0218678
I	7400001	538	briggsae	0.0212208
I	7410001	826	briggsae	0.0205738
I	7420001	1997	briggsae	0.0199269
I	7430001	1021	briggsae	0.0192799
I	7440001	1090	briggsae	0.0186329
