cluster_id	rm_classification	repeat_class	repeat_subclass	repeat_order	repeat_superfamily	repeat_family	average	median	minimum	maximum	standard_deviation	iqr	num_alignments	species	mean_insertion_length	insertion_count	total_genome_bp_cluster	total_genome_percent_cluster
Cluster1049	Unknown	NA	NA	NA	NA	NA	14.1832608695652	13.955	6.69	25.95	4.12649921811473	5.3875	46	briggsae	119.75	44	4880	0.00463953
Cluster104	DNA-Merlin	II	1	TIR	Merlin	NA	18.5035185185185	19.145	0	40.1	7.3895026663609	8.6775	378	briggsae	157.926	231	33788	0.032123
Cluster1050	Unknown	NA	NA	NA	NA	NA	17.9296296296296	18.02	0	34.22	8.44220283140547	12.8	108	briggsae	106.551	69	6307	0.00599621
Cluster1053	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	11.915	11.915	0	23.83	16.8503545956754	11.915	2	briggsae	612.5	2	1225	0.00116464
Cluster1055	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	36.19	36.19	36.19	36.19	NA	0	1	briggsae	124	1	124	0.00011789
Cluster1056	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	9.42333333333333	6.93	0	21.34	10.8862956662647	10.67	3	briggsae	274.667	3	824	0.000783395
Cluster1057	LTR-DIRS	I	NA	DIRS	DIRS	NA	0.396666666666667	0.41	0.37	0.41	0.023094010767585	0.02	3	briggsae	860	2	1719	0.00163429
Cluster1058	LINE-CR1	I	NA	LINE	Jockey	CR1	10.365	5.65	0	30.16	13.6046278890677	11.14	4	briggsae	234.5	4	938	0.000891778
Cluster1059	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	0	0	0	0	NA	0	1	briggsae	523	1	523	0.000497228
Cluster105	DNA-hAT	II	1	TIR	hAT	NA	11.0273529411765	9.33	2.4	27.78	7.06313618591265	8.7375	34	briggsae	258.862	29	7449	0.00708193
Cluster1061	RC-Helitron	II	2	Helitron	Helitron	NA	0	0	0	0	NA	0	1	briggsae	268	1	268	0.000254794
Cluster1062	RC-Helitron	II	2	Helitron	Helitron	NA	0	0	0	0	NA	0	1	briggsae	175	1	174	0.000165426
Cluster1064	DNA	II	NA	NA	NA	NA	24.1714719101124	24.815	1.12	49.93	7.34872324806156	9.2475	890	briggsae	253.483	544	100806	0.0958385
Cluster1065	LTR	I	NA	LTR	NA	NA	0	0	0	0	NA	0	1	briggsae	826	1	826	0.000785297
Cluster1066	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	briggsae	208	1	202	0.000192046
Cluster1067	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	briggsae	458	1	458	0.000435431
Cluster1068	LTR-Gypsy	I	NA	LTR	Gypsy	NA	39.17	39.17	39.17	39.17	NA	0	1	briggsae	188	1	188	0.000178736
Cluster1069	DNA	II	NA	NA	NA	NA	19.542157382847	19.91	1.57	40.01	6.55660662125068	8.11	1131	briggsae	151.074	748	89707	0.0852865
Cluster106	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	8.00318181818182	6.8	2.53	28.4	4.06957778189384	3.5775	88	briggsae	316.256	78	24108	0.02292
Cluster1070	DNA	II	NA	NA	NA	NA	7.6784	8.31	1.15	32.19	6.52818867170162	8.45	25	briggsae	226.318	22	4975	0.00472985
Cluster1071	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	4.41794117647059	1.065	0.2	21.32	6.41508722603575	6.3625	34	briggsae	425.346	26	10033	0.0095386
Cluster1072	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	16.52296875	21.39	0.28	33.58	11.434843809663	22.505	64	briggsae	654.895	57	37208	0.0353745
Cluster1073	DNA	II	NA	NA	NA	NA	14.7324056603774	13.785	2.86	35.77	6.7935678643516	10.0225	212	briggsae	140.854	192	26326	0.0250287
Cluster1074	RC-Helitron	II	2	Helitron	Helitron	NA	11.9473333333333	10.76	1.66	32.74	5.57838346219423	6.29	105	briggsae	186.267	90	16560	0.015744
Cluster1075	Satellite	Satellite	NA	NA	NA	NA	10.9904938271605	4.54	0.76	36.76	10.6657201938306	17	81	briggsae	467.2	35	16349	0.0155434
Cluster1076	DNA-TcMar-m44	II	1	TIR	Tc1-Mariner	m44	4.21963730569948	3.15	0	33.14	4.51756645093363	1.69	193	briggsae	257.577	175	44844	0.0426342
Cluster1077	DNA	II	NA	NA	NA	NA	5.0095652173913	4.65	0.28	10.58	2.21022721633458	2.66	23	briggsae	158.368	19	2959	0.00281319
Cluster1078	DNA-TcMar-m44	II	1	TIR	Tc1-Mariner	m44	15.3096875	17.55	0.55	30.92	9.47516090062548	9.995	32	briggsae	455.545	22	9880	0.00939314
Cluster1079	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	11.7198979591837	6.085	0	35.27	9.32273779474325	16.5175	196	briggsae	237.657	172	40040	0.0380669
Cluster107	DNA-TcMar	II	1	TIR	Tc1-Mariner	NA	9.41846153846154	7.07	1.42	37.2	7.24080496419542	2.43	130	briggsae	350	98	33737	0.0320745
Cluster1080	DNA-Maverick	II	2	Maverick	Maverick	NA	22.3016513761468	23.25	0	43.81	9.76643254495283	13.26	109	briggsae	761.791	91	69117	0.0657111
Cluster1081	DNA-hAT	II	1	TIR	hAT	NA	11.7123853211009	8.745	0	36.53	10.0686463103862	17.54	218	briggsae	298.083	132	37063	0.0352366
Cluster1082	DNA	II	NA	NA	NA	NA	22.2810101010101	23.62	0.3	38.21	7.20111953968948	8.64	297	briggsae	131.307	283	37034	0.0352091
Cluster1083	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	15.9521505376344	15.04	0	36.74	9.25771039980498	14.13	93	briggsae	130.241	54	3872	0.0036812
Cluster1084	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.61071428571429	0.23	0	46.03	16.3423149746344	4.005	28	briggsae	1060.15	26	27351	0.0260032
Cluster1086	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	19.465	20.425	11.76	26.93	6.57639642965659	11.02	6	briggsae	48.1667	6	289	0.000274759
Cluster1087	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	19.58	17.455	12.64	32.11	8.06763728910586	8.655	8	briggsae	72.3333	6	432	0.000410712
Cluster1093	Simple_repeat	Simple_repeat	NA	NA	NA	NA	17.7225	14.99	6.78	30.75	9.45374877543776	17.65	12	briggsae	168.556	9	1517	0.00144225
Cluster1094	SINE_q	I	NA	SINE	NA	NA	0.678	0	0	2.17	0.987279089214392	1.22	5	briggsae	75.8	5	379	0.000360324
Cluster1096	DNA	II	NA	NA	NA	NA	11.7458348623853	11.17	0.14	36.88	6.39271165078038	9.345	1090	briggsae	89.2277	382	22848	0.0217221
Cluster1097	DNA	II	NA	NA	NA	NA	11.1331111111111	9.92	0	26.91	7.24113621867271	9.88	45	briggsae	109.237	38	3767	0.00358137
Cluster1099	LTR-Foamy	I	NA	LTR	ERV	Foamy	17.6433333333333	17.925	2.38	35.02	6.5760034741127	8.935	336	briggsae	66.377	252	12475	0.0118603
Cluster109	DNA-hAT	II	1	TIR	hAT	NA	30.6833236151604	32.88	1.61	42.65	8.64984092256096	8.78	343	briggsae	217.245	196	30024	0.0285445
Cluster10	DNA	II	NA	NA	NA	NA	15.7341451766953	15.37	1.81	35.51	5.07776166134448	7.08	1047	briggsae	124.162	859	103438	0.0983408
Cluster1100	DNA-hAT-Ac	II	1	TIR	hAT	Ac	19.7611111111111	21.43	10.75	22.81	3.49782098369641	2.7075	18	briggsae	173.667	6	877	0.000833784
Cluster1102	DNA	II	NA	NA	NA	NA	16.1493314500942	16.17	0.84	29.67	4.28433747742638	5.6	1062	briggsae	138.134	410	50165	0.047693
Cluster1108	Unknown	NA	NA	NA	NA	NA	13.9517647058824	13.85	1.7	25.61	7.66056126034701	11.24	51	briggsae	116.244	45	5048	0.00479925
Cluster1109	DNA-TcMar-Tc2	II	1	TIR	Tc1-Mariner	Tc2	20.94	20.94	20.94	20.94	NA	0	1	briggsae	43	1	43	4.08811e-05
Cluster110	Satellite	Satellite	NA	NA	NA	NA	22.6842546583851	24.51	0	37.52	11.7133587861607	16.905	322	briggsae	1591.06	31	49322	0.0468915
Cluster1110	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	2.55028037383178	2.42	0	6.53	1.17952217535676	1.25	107	briggsae	348.563	87	30169	0.0286824
Cluster1111	RC-Helitron	II	2	Helitron	Helitron	NA	22.2557221458047	22.36	3.34	40.1	5.54706198108394	6.945	1454	briggsae	171.302	1042	136149	0.12944
Cluster1112	Unknown	NA	NA	NA	NA	NA	15.4681132075472	16.43	0	29.58	6.56741960095067	9.065	159	briggsae	151.193	83	12229	0.0116264
Cluster1113	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	17.9310309278351	17.63	6.84	32.45	6.07562813702832	8.49	97	briggsae	129.235	81	9984	0.00949201
Cluster1115	RC-Helitron	II	2	Helitron	Helitron	NA	16.5609230769231	16.88	3.1	30.58	6.04740226333716	7.37	65	briggsae	101	61	6137	0.00583458
Cluster1116	DNA-hAT	II	1	TIR	hAT	NA	13.2678291814947	12.88	0	31.88	6.62845801283071	10.04	281	briggsae	91.6117	188	15547	0.0147809
Cluster1117	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	21.2009090909091	19.11	5.13	38.51	9.23298531131644	13.04	44	briggsae	338.868	38	12431	0.0118184
Cluster1118	SINE_q	I	NA	SINE	NA	NA	2.53952380952381	2.45	0	10.38	2.30777701737078	2.37	21	briggsae	81.7143	21	1716	0.00163144
Cluster1119	RC-Helitron	II	2	Helitron	Helitron	NA	21.2143181818182	21.85	0	34.29	5.53485997664249	5.8325	176	briggsae	125.386	132	13969	0.0132806
Cluster111	DNA	II	NA	NA	NA	NA	7.738	2.565	0	33.06	10.1036371944445	7.7275	80	briggsae	212.431	72	14440	0.0137284
Cluster1120	Unknown	NA	NA	NA	NA	NA	24.8361608497724	25.43	2.74	37.38	5.48775807903068	6.565	659	briggsae	124.85	441	45888	0.0436268
Cluster1122	DNA-hAT-Ac	II	1	TIR	hAT	Ac	16.2109287257019	15.04	0.28	33.02	7.19871505799827	10.79	463	briggsae	85.2697	267	18917	0.0179848
Cluster1123	RC-Helitron	II	2	Helitron	Helitron	NA	20.0887037037037	20	0.37	34.13	5.85690887234832	8.025	162	briggsae	136.006	154	20803	0.0197779
Cluster1125	Unknown	NA	NA	NA	NA	NA	17.0627027027027	17.84	2.95	27.34	6.9146610138847	9.29	37	briggsae	349.586	29	10073	0.00957663
Cluster1128	LINE-CR1	I	NA	LINE	Jockey	CR1	16.522108559499	15.23	0	45.39	10.8854492693559	19.245	479	briggsae	168.205	380	60122	0.0571593
Cluster112	DNA	II	NA	NA	NA	NA	16.6452882205514	16.65	0	32.91	4.19083002823453	5.5325	3192	briggsae	282.024	2721	759557	0.722128
Cluster1130	LINE-CR1	I	NA	LINE	Jockey	CR1	21.8437878787879	25.68	0	37.29	11.0031165885855	14.5225	66	briggsae	467.745	47	20608	0.0195925
Cluster1131	LTR-Gypsy	I	NA	LTR	Gypsy	NA	10.1740625	4.895	0	39.7	10.1487506023984	12.915	64	briggsae	361.719	57	20108	0.0191171
Cluster1132	DNA-hAT-Ac	II	1	TIR	hAT	Ac	0	0	0	0	NA	0	1	briggsae	229	1	229	0.000217715
Cluster1134	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	briggsae	166	1	166	0.00015782
Cluster1137	LINE-CR1	I	NA	LINE	Jockey	CR1	0	0	0	0	NA	0	1	briggsae	547	1	547	0.000520045
Cluster1138	LTR-Gypsy	I	NA	LTR	Gypsy	NA	18.4125	21.135	4.06	27.32	11.2052112132406	15.0925	4	briggsae	651.333	3	1953	0.00185676
Cluster1139	RC-Helitron	II	2	Helitron	Helitron	NA	0	0	0	0	NA	0	1	briggsae	545	1	545	0.000518144
Cluster113	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	25.7856315789474	25.665	0.39	45.12	7.2656929692226	9.4775	380	briggsae	100.321	280	22633	0.0215177
Cluster1141	RC-Helitron	II	2	Helitron	Helitron	NA	2.555	2.555	0	5.11	3.61331565186326	2.555	2	briggsae	256	2	512	0.00048677
Cluster1142	RC-Helitron	II	2	Helitron	Helitron	NA	0	0	0	0	NA	0	1	briggsae	211	1	211	0.000200602
Cluster1143	Unknown	NA	NA	NA	NA	NA	14.3333333333333	19.66	0	23.34	12.5486626113436	11.67	3	briggsae	251.333	3	754	0.000716845
Cluster1145	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0.729074074074074	0.595	0	2.77	0.578623182098967	0.6825	54	briggsae	1437.9	52	74530	0.0708574
Cluster1147	DNA-CMC-Mirage	II	1	TIR	CACTA	Mirage	4.052	3.06	0	22.24	4.45483815227478	2.355	55	briggsae	532.63	46	24416	0.0232128
Cluster1148	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	10.0104054054054	6.195	1.4	39.88	8.71455331955818	10.82	74	briggsae	427.7	50	19518	0.0185562
Cluster1149	LTR-Gypsy	I	NA	LTR	Gypsy	NA	33.01	33.01	24.19	41.83	12.4733636201307	8.82	2	briggsae	1169	2	2260	0.00214863
Cluster1150	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	8.91971014492754	2.07	0	38.6	11.1009743837057	17.72	69	briggsae	422.102	49	20584	0.0195697
Cluster1151	DNA	II	NA	NA	NA	NA	15.1710256410256	15.87	0.85	28.77	8.98735216403463	15.86	39	briggsae	266.931	29	7702	0.00732247
Cluster1152	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.2568571428571	11.9	1.07	37.48	10.9095955528173	17.08	35	briggsae	707.433	30	21035	0.0199985
Cluster1153	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	11.038125	8.725	0	38.69	7.63969747437685	7.485	96	briggsae	236.868	76	17418	0.0165597
Cluster1154	SINE-ID	I	NA	SINE	tRNA	ID	5.88509433962264	2.37	0	23.45	6.07189604864446	9.04	53	briggsae	82.551	49	3985	0.00378863
Cluster1155	DNA	II	NA	NA	NA	NA	13.8222727272727	4.93	1.64	46.27	15.8109937436005	19.715	22	briggsae	433	19	8128	0.00772747
Cluster1156	LTR-Gypsy	I	NA	LTR	Gypsy	NA	4.63888888888889	1.99	0.3	20.76	6.31412393852949	3.07	9	briggsae	306.625	8	2446	0.00232547
Cluster1157	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	6.65612903225806	1.4	0.56	45.73	12.6282658953659	1.085	62	briggsae	806.837	49	39417	0.0374746
Cluster1158	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	15.7218390804598	16.57	2.99	37.04	8.36173587307164	12.42	87	briggsae	140.529	70	8962	0.00852038
Cluster1159	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	6.21858333333333	5.67	0.86	18.65	4.08659754426534	6.5775	120	briggsae	598.615	91	54248	0.0515748
Cluster1160	LINE-CR1	I	NA	LINE	Jockey	CR1	4.14351694915254	1.78	0	44.31	7.22792362431013	2.2	236	briggsae	574.137	161	90796	0.0863218
Cluster1163	Unknown	NA	NA	NA	NA	NA	21.3262903225806	22.82	8.55	33.15	5.70148427347323	7.76	186	briggsae	96.6	115	7885	0.00749645
Cluster1165	DNA-hAT-Ac	II	1	TIR	hAT	Ac	15.5983333333333	14.1	13.53	19.12	2.73810457555344	4.125	6	briggsae	109.75	4	313	0.000297576
Cluster1170	DNA	II	NA	NA	NA	NA	18.17	18.17	11.53	24.81	9.39037805415735	6.64	2	briggsae	54.5	2	109	0.000103629
Cluster1175	RC-Helitron	II	2	Helitron	Helitron	NA	12.98	12.98	12.98	12.98	NA	0	1	briggsae	34	1	34	3.23246e-05
Cluster1176	DNA	II	NA	NA	NA	NA	12.24	12.24	12.24	12.24	NA	0	1	briggsae	35	1	35	3.32753e-05
Cluster117	SINE-R2	I	NA	SINE	NA	NA	8.875	8.875	6.7	11.05	3.07591449816148	2.175	2	briggsae	66	2	20	1.90145e-05
Cluster1180	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	11.8531168831169	8.29	1.48	34.89	9.12562402476794	16.55	77	briggsae	456.734	64	29194	0.0277554
Cluster1183	SINE_q	I	NA	SINE	NA	NA	1.15117647058824	0	0	5.11	1.74543648678827	1.38	17	briggsae	79.8	15	1195	0.00113611
Cluster1184	RC-Helitron	II	2	Helitron	Helitron	NA	18.001884057971	17.3	0	32.87	7.84833122349959	13.385	138	briggsae	131.107	84	8917	0.00847759
Cluster1185	DNA-Kolobok-T2	II	1	TIR	Kolobok	T2	13.3741176470588	0.73	0	41.79	15.3569418581726	21.28	17	briggsae	608	13	7897	0.00750786
Cluster1186	LINE-Penelope	I	NA	PLE	Penelope	NA	42.35	41.335	37.38	49.35	5.11761011931676	4.77	4	briggsae	379	4	1516	0.0014413
Cluster1187	DNA-Sola	II	1	TIR	Sola	NA	19.44	19.44	17.83	21.05	2.27688383542068	1.61	2	briggsae	42	2	84	7.98607e-05
Cluster1191	DNA	II	NA	NA	NA	NA	3.44818181818182	2.37	0	11.68	3.71242728731976	3.74	11	briggsae	80.4444	9	712	0.000676915
Cluster1192	RC-Helitron	II	2	Helitron	Helitron	NA	14.9686075949367	14.395	0.68	33.64	7.02650528127259	9.95	316	briggsae	99.8178	214	16898	0.0160653
Cluster1193	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	12.7721362229102	12.5	1.08	36.55	5.21785653202913	7.235	323	briggsae	429.121	265	113332	0.107747
Cluster1194	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	14.3818018018018	11.185	0	36.99	11.492662479011	20.775	222	briggsae	195.632	174	32768	0.0311533
Cluster1195	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	17.40792	17.42	1.71	33.79	6.19813490365214	8.93	125	briggsae	97.787	108	9756	0.00927525
Cluster1196	DNA-TcMar-Tc2	II	1	TIR	Tc1-Mariner	Tc2	15.660534351145	14.73	6.04	37.17	6.83018969361276	9.26	131	briggsae	107.646	96	9545	0.00907465
Cluster1197	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	18.2088151658768	18.69	5.17	33.24	5.56569852022678	8.18	211	briggsae	234.59	173	39441	0.0374975
Cluster1198	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	22.5316666666667	19.65	13.97	39.77	8.92160617078935	2.7375	6	briggsae	77.2	5	385	0.000366028
Cluster1199	SINE_q	I	NA	SINE	NA	NA	24.3181460674157	24.325	7.11	37.02	5.71702467370806	7.7475	178	briggsae	82.9064	171	13473	0.0128091
Cluster119	LINE-CR1	I	NA	LINE	Jockey	CR1	34.04	34.04	34.04	34.04	NA	0	1	briggsae	105	1	105	9.98259e-05
Cluster11	DNA	II	NA	NA	NA	NA	11.0398076923077	11.105	1.12	29.38	5.5944861864888	6.9275	104	briggsae	164.713	80	12255	0.0116511
Cluster1200	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	6.74796954314721	5.14	0.28	28.7	5.29251251423682	3.78	197	briggsae	260.79	143	33170	0.0315355
Cluster1203	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	17.21	11.68	10.75	29.2	10.394051183249	9.225	3	briggsae	59.6667	3	179	0.000170179
Cluster1204	Unknown	NA	NA	NA	NA	NA	6.31357142857143	4.71	0	26.35	6.30955327606908	5.725	42	briggsae	96.5641	39	3748	0.00356331
Cluster1205	Unknown	NA	NA	NA	NA	NA	8.26	8.19	3.56	15.66	4.13797491094815	5.8525	12	briggsae	138.25	12	1659	0.00157725
Cluster1206	DNA	II	NA	NA	NA	NA	13.5322375690608	12.99	0	34.58	7.24515906536653	10.8525	362	briggsae	96.3248	234	19999	0.0190135
Cluster1207	RC-Helitron	II	2	Helitron	Helitron	NA	26.2734782608696	27.49	6.25	41.27	6.29860908865656	8.36	299	briggsae	153.912	228	21736	0.0206649
Cluster1208	RC-Helitron	II	2	Helitron	Helitron	NA	29.6255411255411	29.63	9.54	47.76	5.67952428632482	8.41	231	briggsae	266.739	115	27886	0.0265119
Cluster1209	DNA	II	NA	NA	NA	NA	6.55692307692308	7.81	0	12.56	3.93716984777853	5.44	13	briggsae	52	13	646	0.000614167
Cluster1210	DNA-CMC-Chapaev	II	1	TIR	CACTA	Chapaev	18.8590443686007	19.39	0.22	33.11	6.22330620968722	7.86	293	briggsae	115.626	187	16469	0.0156575
Cluster1211	Unknown	NA	NA	NA	NA	NA	10.8862903225806	10.845	3.69	22.91	4.25725888639703	5.5975	62	briggsae	74.4074	54	3927	0.00373349
Cluster1212	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	24.0702302025783	23.92	6.22	39.48	5.57126335211889	7.6475	1086	briggsae	176.291	717	106834	0.10157
