Chr	BP	element_length	species
I	2260001	168.7692308	briggsae
I	2270001	190.0769231	briggsae
I	2280001	255.5789474	briggsae
I	2290001	133.2413793	briggsae
I	2300001	208.4444444	briggsae
I	2310001	178.4	briggsae
I	2320001	163.5714286	briggsae
I	2330001	297.7241379	briggsae
I	2340001	103.0961538	briggsae
I	2350001	167.8947368	briggsae
I	2360001	217.4375	briggsae
I	2370001	151.8157895	briggsae
I	2380001	173.75	briggsae
I	2390001	88.85714286	briggsae
I	2400001	114.3414634	briggsae
I	2410001	196.7391304	briggsae
I	2420001	180	briggsae
I	2430001	130.2727273	briggsae
I	2440001	116.6363636	briggsae
I	2450001	130.2051282	briggsae
I	2460001	150.4642857	briggsae
I	2470001	127.025641	briggsae
I	2480001	249	briggsae
I	2490001	387.8125	briggsae
I	2500001	183.7407407	briggsae
I	2510001	179.9375	briggsae
I	2520001	102.1923077	briggsae
I	2530001	195.5357143	briggsae
I	2540001	173.8421053	briggsae
I	2550001	124.32	briggsae
I	2560001	110.037037	briggsae
I	2570001	99.63636364	briggsae
I	2580001	103.2333333	briggsae
I	2590001	124.5238095	briggsae
I	2600001	119.7272727	briggsae
I	2610001	129.08	briggsae
I	2620001	121.4814815	briggsae
I	2630001	387	briggsae
I	2640001	328.7857143	briggsae
I	2650001	227.8571429	briggsae
I	2660001	160.027027	briggsae
I	2670001	239	briggsae
I	2680001	110.9230769	briggsae
I	2690001	125.9375	briggsae
I	2700001	148.25	briggsae
I	2710001	92.42857143	briggsae
I	2720001	75.78947368	briggsae
I	2730001	94.20833333	briggsae
I	2740001	122.030303	briggsae
I	2750001	200.9333333	briggsae
I	2760001	262.9	briggsae
I	2770001	168.6	briggsae
I	2780001	154.9444444	briggsae
I	2790001	85.04347826	briggsae
I	2800001	89.53846154	briggsae
I	2810001	73.16666667	briggsae
I	2820001	89.18181818	briggsae
I	2830001	143.8333333	briggsae
I	2840001	265.1363636	briggsae
I	2850001	145.8461538	briggsae
I	2860001	147.8125	briggsae
I	2870001	108.6176471	briggsae
I	2880001	178.7391304	briggsae
I	2890001	123.6578947	briggsae
I	2900001	109.8823529	briggsae
I	2910001	57.55555556	briggsae
I	2920001	93	briggsae
I	2930001	144.9444444	briggsae
I	2940001	201.0384615	briggsae
I	2950001	126.8666667	briggsae
I	2960001	142.2222222	briggsae
I	2970001	210	briggsae
I	2980001	172.0526316	briggsae
I	2990001	113.75	briggsae
I	3000001	119.0526316	briggsae
I	3010001	130.2173913	briggsae
I	3020001	199.8	briggsae
I	3030001	166	briggsae
I	3040001	152.0909091	briggsae
I	3050001	200.1666667	briggsae
I	3060001	88.30769231	briggsae
I	3070001	106.1666667	briggsae
I	3080001	218.2272727	briggsae
I	3090001	145.0416667	briggsae
I	3100001	125.7058824	briggsae
I	3110001	114.1785714	briggsae
I	3120001	174.5675676	briggsae
I	3130001	138.0333333	briggsae
I	3140001	201.7857143	briggsae
I	3150001	257.44	briggsae
I	3160001	80.58823529	briggsae
I	3170001	242.7777778	briggsae
I	3180001	59.05555556	briggsae
I	3190001	129.8461538	briggsae
I	3200001	184.6428571	briggsae
I	3210001	234.3333333	briggsae
I	3220001	101.1538462	briggsae
I	3230001	161.3461538	briggsae
I	3240001	238.6875	briggsae
I	3250001	184.4545455	briggsae
I	3260001	174.0625	briggsae
I	3270001	156.75	briggsae
I	3280001	49.3	briggsae
I	3290001	157.75	briggsae
I	3300001	221.6976744	briggsae
I	3310001	189.7142857	briggsae
I	3320001	228.375	briggsae
I	3330001	199	briggsae
I	3340001	124.2368421	briggsae
I	3350001	126.5	briggsae
I	3360001	127.0588235	briggsae
I	3370001	108.5172414	briggsae
I	3380001	169.5833333	briggsae
I	3390001	95.54054054	briggsae
I	3400001	113.7222222	briggsae
I	3410001	204.2758621	briggsae
I	3420001	195.7692308	briggsae
I	3430001	139.4444444	briggsae
I	3440001	203	briggsae
I	3450001	118.1666667	briggsae
I	3460001	183.3333333	briggsae
I	3470001	105.78125	briggsae
I	3480001	116.8484848	briggsae
I	3490001	101.9090909	briggsae
I	3500001	243.1818182	briggsae
I	3510001	66	briggsae
I	3530001	143.5185185	briggsae
I	3540001	198.2	briggsae
I	3550001	92	briggsae
I	3560001	312.75	briggsae
I	3570001	407.1666667	briggsae
I	3580001	38.5	briggsae
I	3590001	96.16666667	briggsae
I	3600001	119.5	briggsae
I	3610001	179.7777778	briggsae
I	3620001	154.0909091	briggsae
I	3630001	119.6666667	briggsae
I	3640001	80.66666667	briggsae
I	3650001	114.7857143	briggsae
I	3660001	167.25	briggsae
I	3670001	147.4583333	briggsae
I	3680001	144.5714286	briggsae
I	3690001	74.33333333	briggsae
I	3700001	130	briggsae
I	3710001	143.2	briggsae
I	3720001	220.2222222	briggsae
I	3730001	199.6111111	briggsae
I	3740001	128.4375	briggsae
I	3750001	213	briggsae
I	3760001	178.5714286	briggsae
I	3770001	33	briggsae
I	3780001	122.6	briggsae
I	3790001	151.95	briggsae
I	3800001	147.5833333	briggsae
I	3810001	138.4285714	briggsae
I	3820001	189.6666667	briggsae
I	3830001	139.1818182	briggsae
I	3840001	94.26666667	briggsae
I	3850001	107.8571429	briggsae
I	3860001	103.4	briggsae
I	3870001	215.3888889	briggsae
I	3880001	150.5384615	briggsae
I	3890001	210.8	briggsae
I	3900001	132.3333333	briggsae
I	3910001	90.53333333	briggsae
I	3920001	284.7	briggsae
I	3930001	128	briggsae
I	3940001	132.7692308	briggsae
I	3950001	102.3333333	briggsae
I	3960001	257.4	briggsae
I	3970001	282.7692308	briggsae
I	3980001	139	briggsae
I	4000001	226	briggsae
I	4010001	117	briggsae
I	4020001	124.8125	briggsae
I	4030001	98.54166667	briggsae
I	4040001	182.55	briggsae
I	4050001	96.93333333	briggsae
I	4060001	173.6666667	briggsae
I	4070001	50.25	briggsae
I	4080001	257.6363636	briggsae
I	4090001	97.31578947	briggsae
I	4100001	237.2	briggsae
I	4110001	196	briggsae
I	4120001	157.1428571	briggsae
I	4130001	21	briggsae
I	4140001	33	briggsae
I	4150001	151.1111111	briggsae
I	4160001	109.5	briggsae
I	4170001	235.5714286	briggsae
I	4180001	145.75	briggsae
I	4190001	178	briggsae
I	4200001	123.875	briggsae
I	4210001	109	briggsae
I	4220001	167.1304348	briggsae
I	4230001	309.9333333	briggsae
I	4240001	167.6875	briggsae
I	4250001	82.11764706	briggsae
I	4260001	204.4166667	briggsae
I	4270001	117.9	briggsae
I	4280001	166.6	briggsae
I	4290001	182.5454545	briggsae
I	4300001	116	briggsae
I	4310001	174.1666667	briggsae
I	4320001	77	briggsae
I	4330001	150.45	briggsae
I	4340001	243.0833333	briggsae
I	4350001	117.2142857	briggsae
I	4360001	122.3181818	briggsae
I	4370001	154.5	briggsae
I	4380001	190.6666667	briggsae
I	4390001	146.6428571	briggsae
I	4400001	166.3333333	briggsae
I	4410001	155.2941176	briggsae
I	4420001	101.4545455	briggsae
I	4430001	95	briggsae
I	4440001	123.25	briggsae
I	4450001	274	briggsae
I	4460001	261.8	briggsae
I	4470001	131.75	briggsae
I	4480001	120.7777778	briggsae
I	4490001	96.5	briggsae
I	4500001	163	briggsae
I	4510001	123.5454545	briggsae
I	4520001	171.3333333	briggsae
I	4530001	168.4545455	briggsae
I	4540001	101.2727273	briggsae
I	4550001	104.047619	briggsae
I	4560001	220.75	briggsae
I	4570001	88.71428571	briggsae
I	4580001	179.9090909	briggsae
I	4590001	207.9285714	briggsae
I	4600001	104	briggsae
I	4610001	90.83333333	briggsae
I	4620001	194.1818182	briggsae
I	4630001	134.0833333	briggsae
I	4640001	166.1333333	briggsae
I	4650001	82.85714286	briggsae
I	4660001	197.7894737	briggsae
I	4670001	167.8181818	briggsae
I	4680001	160.2	briggsae
I	4690001	137.3333333	briggsae
I	4700001	182.7	briggsae
I	4710001	598.5	briggsae
I	4720001	829.6923077	briggsae
I	4730001	332.5833333	briggsae
I	4740001	119.25	briggsae
I	4750001	119.3333333	briggsae
I	4760001	153.4	briggsae
I	4770001	72.7	briggsae
I	4780001	86.08333333	briggsae
I	4790001	188.8947368	briggsae
I	4800001	120.0714286	briggsae
I	4810001	86.11111111	briggsae
I	4820001	97.5625	briggsae
I	4830001	114.7857143	briggsae
I	4840001	114.5652174	briggsae
I	4850001	173.1111111	briggsae
I	4860001	186.3636364	briggsae
I	4870001	146	briggsae
I	4880001	192.5555556	briggsae
I	4890001	85.4375	briggsae
I	4900001	128	briggsae
I	4910001	284	briggsae
I	4920001	186.1875	briggsae
I	4930001	100.25	briggsae
I	4940001	378.5714286	briggsae
I	4950001	192.625	briggsae
I	4960001	234.1764706	briggsae
I	4970001	117.7142857	briggsae
I	4980001	82.31578947	briggsae
I	4990001	120.5	briggsae
I	5000001	266.7857143	briggsae
I	5010001	301	briggsae
I	5020001	209.4	briggsae
I	5030001	104.4	briggsae
I	5040001	254.6	briggsae
I	5050001	261	briggsae
I	5060001	331.5	briggsae
I	5070001	129.95	briggsae
I	5080001	85.08	briggsae
I	5090001	148.3571429	briggsae
I	5100001	56.25	briggsae
I	5110001	192.3125	briggsae
I	5120001	174.3333333	briggsae
I	5130001	30	briggsae
I	5140001	120.5652174	briggsae
I	5150001	112.3333333	briggsae
I	5160001	76.375	briggsae
I	5170001	163.2962963	briggsae
I	5180001	129.7647059	briggsae
I	5190001	160.0769231	briggsae
I	5200001	112.4	briggsae
I	5210001	138.5	briggsae
I	5220001	94.72222222	briggsae
I	5230001	114.375	briggsae
I	5240001	98.18181818	briggsae
I	5250001	249.6	briggsae
I	5260001	212.2142857	briggsae
I	5270001	174.75	briggsae
I	5280001	101.4444444	briggsae
I	5290001	133	briggsae
I	5300001	148.2	briggsae
I	5310001	218.7647059	briggsae
I	5320001	224.2727273	briggsae
I	5330001	126.2857143	briggsae
I	5340001	119.9090909	briggsae
I	5350001	64.14285714	briggsae
I	5360001	47.33333333	briggsae
I	5370001	130.952381	briggsae
I	5380001	65.125	briggsae
I	5390001	152.4615385	briggsae
I	5400001	258.1111111	briggsae
I	5410001	210.5454545	briggsae
I	5420001	101.2285714	briggsae
I	5430001	145.7647059	briggsae
I	5440001	76.125	briggsae
I	5450001	263.5	briggsae
I	5460001	331	briggsae
I	5470001	118.46875	briggsae
I	5480001	119.2173913	briggsae
I	5490001	147.173913	briggsae
I	5500001	109.6666667	briggsae
I	5510001	301.4444444	briggsae
I	5520001	223.1666667	briggsae
I	5530001	97	briggsae
I	5540001	164.5	briggsae
I	5550001	269.5555556	briggsae
I	5560001	183.4666667	briggsae
I	5570001	174.7777778	briggsae
I	5580001	134.3	briggsae
I	5590001	161.125	briggsae
I	5600001	167	briggsae
I	5610001	88.6	briggsae
I	5620001	133.8	briggsae
I	5630001	288.8	briggsae
I	5640001	102	briggsae
I	5650001	193.375	briggsae
I	5660001	184.875	briggsae
I	5670001	177.9333333	briggsae
I	5680001	64.2	briggsae
I	5690001	100.3571429	briggsae
I	5700001	141.7647059	briggsae
I	5710001	615	briggsae
I	5720001	119	briggsae
I	5730001	57.26315789	briggsae
I	5740001	140.2666667	briggsae
I	5750001	149.6153846	briggsae
I	5760001	140.9375	briggsae
I	5770001	197.3888889	briggsae
I	5780001	219.1	briggsae
I	5790001	127.5789474	briggsae
I	5800001	61.33333333	briggsae
I	5810001	90	briggsae
I	5820001	162	briggsae
I	5830001	303.3157895	briggsae
I	5840001	215.5294118	briggsae
I	5850001	280.0833333	briggsae
I	5860001	267.8333333	briggsae
I	5870001	141.8333333	briggsae
I	5880001	172.875	briggsae
I	5890001	19	briggsae
I	5900001	23	briggsae
I	5910001	100.6	briggsae
I	5920001	132.0454545	briggsae
I	5930001	93.69565217	briggsae
I	5940001	91.33333333	briggsae
I	5950001	99.6	briggsae
I	5960001	104	briggsae
I	5970001	104.5	briggsae
I	5980001	116	briggsae
I	5990001	37.33333333	briggsae
I	6000001	95	briggsae
I	6010001	137.25	briggsae
I	6020001	82.86666667	briggsae
I	6030001	224.8888889	briggsae
I	6040001	110.25	briggsae
I	6050001	137.4	briggsae
I	6060001	259.4347826	briggsae
I	6070001	119.3333333	briggsae
I	6080001	205.125	briggsae
I	6090001	114.75	briggsae
I	6100001	106	briggsae
I	6110001	111.1428571	briggsae
I	6120001	125.5333333	briggsae
I	6130001	96.63636364	briggsae
I	6140001	51	briggsae
I	6150001	402.3333333	briggsae
I	6160001	133.96	briggsae
I	6170001	123.3125	briggsae
I	6180001	132.4736842	briggsae
I	6190001	223.7058824	briggsae
I	6200001	180	briggsae
I	6210001	196.6	briggsae
I	6220001	151.952381	briggsae
I	6230001	257.8421053	briggsae
I	6240001	183.4444444	briggsae
I	6250001	222.4666667	briggsae
I	6260001	197.4210526	briggsae
I	6270001	142.72	briggsae
I	6280001	135.5428571	briggsae
I	6290001	156.9545455	briggsae
I	6300001	363.7777778	briggsae
I	6310001	99.09090909	briggsae
I	6320001	118.4	briggsae
I	6330001	149.75	briggsae
I	6340001	111.5	briggsae
I	6350001	134.5555556	briggsae
I	6360001	119.25	briggsae
I	6370001	164	briggsae
I	6380001	117.3571429	briggsae
I	6390001	154.7391304	briggsae
I	6400001	106.6666667	briggsae
I	6410001	145.8333333	briggsae
I	6420001	110.0769231	briggsae
I	6430001	169.4	briggsae
I	6440001	138.1764706	briggsae
I	6450001	91.85185185	briggsae
I	6460001	222.3076923	briggsae
I	6470001	258.826087	briggsae
I	6480001	169.15	briggsae
I	6490001	88.05882353	briggsae
I	6500001	158.0909091	briggsae
I	6510001	93.25	briggsae
I	6520001	205.5	briggsae
I	6530001	121.8846154	briggsae
I	6540001	116.2727273	briggsae
I	6550001	146.6666667	briggsae
I	6560001	135.4736842	briggsae
I	6580001	118.8571429	briggsae
I	6590001	75.82352941	briggsae
I	6600001	77.63157895	briggsae
I	6610001	152.5483871	briggsae
I	6620001	117.76	briggsae
I	6630001	147.1794872	briggsae
I	6640001	142.7333333	briggsae
I	6650001	90.46153846	briggsae
I	6670001	103.037037	briggsae
I	6680001	123.6842105	briggsae
I	6690001	118.8333333	briggsae
I	6700001	112.1818182	briggsae
I	6710001	127.9473684	briggsae
I	6720001	84.41509434	briggsae
I	6730001	27.66666667	briggsae
I	6740001	120	briggsae
I	6750001	180	briggsae
I	6760001	130.5714286	briggsae
I	6770001	103.9722222	briggsae
I	6780001	164.6818182	briggsae
I	6790001	139.047619	briggsae
I	6800001	83	briggsae
I	6810001	197.3	briggsae
I	6820001	170.4285714	briggsae
I	6830001	115.64	briggsae
I	6840001	126.6	briggsae
I	6850001	127.6666667	briggsae
I	6860001	86.72727273	briggsae
I	6870001	206.5909091	briggsae
I	6880001	128.6842105	briggsae
I	6890001	108.5	briggsae
I	6900001	278.5	briggsae
I	6910001	115.3571429	briggsae
I	6920001	144.8064516	briggsae
I	6930001	121.32	briggsae
I	6940001	145.2058824	briggsae
I	6950001	235.2	briggsae
I	6960001	88.75	briggsae
I	6970001	231.8333333	briggsae
I	6980001	134.0434783	briggsae
I	6990001	193.5	briggsae
I	7000001	125.8965517	briggsae
I	7010001	166.7142857	briggsae
I	7020001	106.5	briggsae
I	7030001	170.8518519	briggsae
I	7040001	166.9473684	briggsae
I	7050001	139.8965517	briggsae
I	7060001	152.53125	briggsae
I	7070001	124.0769231	briggsae
I	7080001	114.7647059	briggsae
I	7090001	222.7619048	briggsae
I	7100001	184.03125	briggsae
I	7110001	262.4117647	briggsae
I	7120001	154.5517241	briggsae
I	7130001	166.3571429	briggsae
I	7140001	112.1923077	briggsae
I	7150001	125.0434783	briggsae
I	7160001	128.6486486	briggsae
I	7170001	141.5357143	briggsae
I	7180001	138.9487179	briggsae
I	7190001	142.047619	briggsae
I	7200001	151.5185185	briggsae
I	7210001	175.6875	briggsae
I	7220001	127.96	briggsae
I	7230001	160.3888889	briggsae
I	7240001	176.4444444	briggsae
I	7250001	148.0416667	briggsae
I	7260001	225.8095238	briggsae
I	7270001	180.625	briggsae
I	7280001	181.5789474	briggsae
I	7290001	172.3333333	briggsae
I	7300001	117.8571429	briggsae
I	7310001	146.9411765	briggsae
I	7320001	209.7368421	briggsae
I	7330001	190.4666667	briggsae
I	7340001	264.7391304	briggsae
I	7350001	147.1428571	briggsae
I	7360001	182.25	briggsae
I	7370001	227.7222222	briggsae
I	7380001	104.4	briggsae
I	7390001	127.0714286	briggsae
I	7400001	88.71428571	briggsae
I	7410001	177	briggsae
I	7420001	210.1818182	briggsae
I	7430001	128.6363636	briggsae
I	7440001	127.5333333	briggsae
I	7450001	89	briggsae
I	7460001	123.8421053	briggsae
I	7470001	32	briggsae
I	7480001	184.1666667	briggsae
I	7490001	229.4705882	briggsae
I	7500001	551.9	briggsae
I	7510001	240.8666667	briggsae
I	7520001	219.1	briggsae
I	7530001	262.7	briggsae
I	7540001	35.5	briggsae
I	7550001	153.2916667	briggsae
I	7560001	267.5	briggsae
I	7570001	143	briggsae
I	7580001	146.2307692	briggsae
I	7590001	224.3076923	briggsae
I	7600001	243.1666667	briggsae
I	7610001	218.4210526	briggsae
I	7620001	40	briggsae
I	7630001	120.1	briggsae
I	7640001	111.1428571	briggsae
I	7650001	225.2857143	briggsae
I	7660001	157.75	briggsae
I	7670001	109.3333333	briggsae
I	7680001	122.9230769	briggsae
I	7690001	146.4615385	briggsae
I	7700001	128.5384615	briggsae
I	7710001	91.2	briggsae
I	7720001	54	briggsae
I	7730001	91.4375	briggsae
I	7740001	300.0833333	briggsae
I	7750001	171.5454545	briggsae
I	7760001	121	briggsae
I	7770001	116	briggsae
I	7780001	136.5769231	briggsae
I	7790001	129.3529412	briggsae
I	7800001	215.7142857	briggsae
I	7810001	142	briggsae
I	7820001	269.8	briggsae
I	7830001	198.1111111	briggsae
I	7840001	455	briggsae
I	7850001	201.4736842	briggsae
I	7860001	115.2380952	briggsae
I	7870001	120	briggsae
I	7880001	161.75	briggsae
I	7890001	180.9375	briggsae
I	7900001	102.9333333	briggsae
I	7910001	156.0909091	briggsae
I	7920001	104.75	briggsae
I	7930001	155.3333333	briggsae
I	7940001	145.5555556	briggsae
I	7950001	134.9166667	briggsae
I	7960001	109.05	briggsae
I	7970001	197.3333333	briggsae
I	7980001	224	briggsae
I	7990001	158	briggsae
I	8000001	105.0833333	briggsae
I	8010001	171.0625	briggsae
I	8020001	160.5789474	briggsae
I	8030001	98.9	briggsae
I	8040001	54	briggsae
I	8050001	110.2142857	briggsae
I	8060001	121	briggsae
I	8070001	192	briggsae
I	8080001	215	briggsae
I	8090001	107.95	briggsae
I	8100001	106.5882353	briggsae
I	8110001	276.3529412	briggsae
I	8120001	120.8695652	briggsae
I	8130001	130.4615385	briggsae
I	8140001	189.7692308	briggsae
I	8150001	247.4615385	briggsae
I	8160001	91.1	briggsae
I	8170001	166.3	briggsae
I	8180001	130.5	briggsae
I	8190001	136.5555556	briggsae
I	8200001	68.85714286	briggsae
I	8210001	170.1333333	briggsae
I	8220001	140.3103448	briggsae
I	8230001	339.7	briggsae
I	8240001	82.6	briggsae
I	8250001	131.5	briggsae
I	8260001	107.2105263	briggsae
I	8270001	170.8823529	briggsae
I	8280001	124	briggsae
I	8290001	277.8	briggsae
I	8300001	130.875	briggsae
I	8310001	219.5294118	briggsae
I	8320001	151.1111111	briggsae
I	8330001	210.9375	briggsae
I	8340001	192.6923077	briggsae
I	8350001	167.3636364	briggsae
I	8360001	211.5652174	briggsae
I	8370001	390.7	briggsae
I	8380001	155.6923077	briggsae
I	8390001	154.8235294	briggsae
I	8400001	113.6	briggsae
I	8410001	315	briggsae
I	8420001	46	briggsae
I	8430001	103.2631579	briggsae
I	8440001	75.22222222	briggsae
I	8450001	156.8181818	briggsae
I	8460001	137.7916667	briggsae
I	8470001	163	briggsae
I	8480001	298.1176471	briggsae
I	8490001	49.71428571	briggsae
I	8500001	83	briggsae
I	8510001	138.7142857	briggsae
I	8520001	94.33333333	briggsae
I	8530001	546.6	briggsae
I	8540001	199.8571429	briggsae
I	8550001	837	briggsae
I	8560001	131.3333333	briggsae
I	8570001	152.3913043	briggsae
I	8580001	115.9411765	briggsae
I	8590001	101.7692308	briggsae
I	8600001	108.6956522	briggsae
I	8610001	129.6842105	briggsae
I	8620001	71.13333333	briggsae
I	8630001	247.2	briggsae
I	8640001	98.47368421	briggsae
I	8650001	181.3157895	briggsae
I	8660001	86.81818182	briggsae
I	8670001	169.8571429	briggsae
I	8680001	188.9411765	briggsae
I	8690001	159.3846154	briggsae
I	8700001	142.9	briggsae
I	8710001	224.25	briggsae
I	8720001	120.5	briggsae
I	8730001	140.2857143	briggsae
I	8740001	149	briggsae
I	8750001	219.4	briggsae
I	8760001	227.5	briggsae
I	8770001	226.5238095	briggsae
I	8780001	104.375	briggsae
