Chr	BP	kimura_distance	species
I	1690001	19.84772727	briggsae
I	1700001	21.238	briggsae
I	1710001	21.04151515	briggsae
I	1720001	16.79225	briggsae
I	1730001	22.12928571	briggsae
I	1740001	24.57509804	briggsae
I	1750001	25.90826087	briggsae
I	1760001	24.69804348	briggsae
I	1770001	22.54457143	briggsae
I	1780001	23.9234375	briggsae
I	1790001	24.954	briggsae
I	1800001	21.79	briggsae
I	1810001	25.07375	briggsae
I	1820001	30.71433333	briggsae
I	1830001	19.91	briggsae
I	1840001	24.10525	briggsae
I	1850001	25.38088235	briggsae
I	1860001	18.95166667	briggsae
I	1870001	20.33291667	briggsae
I	1880001	19.17935484	briggsae
I	1890001	25.11363636	briggsae
I	1900001	26.3016	briggsae
I	1910001	23.11066667	briggsae
I	1920001	17.54230769	briggsae
I	1930001	18.61176471	briggsae
I	1940001	17.04764706	briggsae
I	1950001	19.14	briggsae
I	1960001	27.36681818	briggsae
I	1970001	25.56658537	briggsae
I	1980001	17.33022222	briggsae
I	1990001	21.33477273	briggsae
I	2000001	26.04183673	briggsae
I	2010001	27.28830986	briggsae
I	2020001	26.86935484	briggsae
I	2030001	20.814375	briggsae
I	2040001	25.54692308	briggsae
I	2050001	23.48814815	briggsae
I	2060001	15.82037037	briggsae
I	2070001	18.805	briggsae
I	2080001	25.42857143	briggsae
I	2090001	23.38673469	briggsae
I	2100001	23.7125	briggsae
I	2110001	20.133125	briggsae
I	2120001	20.63947368	briggsae
I	2130001	16.5596	briggsae
I	2140001	22.553125	briggsae
I	2150001	24.4796	briggsae
I	2160001	20.86506329	briggsae
I	2170001	19.65210526	briggsae
I	2180001	22.71222222	briggsae
I	2190001	21.52911765	briggsae
I	2200001	25.095	briggsae
I	2210001	24.02481481	briggsae
I	2220001	23.12326087	briggsae
I	2230001	27.30152542	briggsae
I	2240001	23.48048387	briggsae
I	2250001	27.3132	briggsae
I	2260001	13.8916	briggsae
I	2270001	13.79692308	briggsae
I	2280001	25.7352381	briggsae
I	2290001	17.93181818	briggsae
I	2300001	17.32472727	briggsae
I	2310001	13.22714286	briggsae
I	2320001	20.74983871	briggsae
I	2330001	23.90571429	briggsae
I	2340001	25.4857377	briggsae
I	2350001	20.36842105	briggsae
I	2360001	19.18631579	briggsae
I	2370001	23.46131148	briggsae
I	2380001	18.34944444	briggsae
I	2390001	20.04042553	briggsae
I	2400001	22.57048387	briggsae
I	2410001	13.8071875	briggsae
I	2420001	17.816	briggsae
I	2430001	16.63565217	briggsae
I	2440001	22.99705882	briggsae
I	2450001	20.58521127	briggsae
I	2460001	23.8495	briggsae
I	2470001	18.480625	briggsae
I	2480001	26.16756098	briggsae
I	2490001	22.485	briggsae
I	2500001	20.9928125	briggsae
I	2510001	20.89913043	briggsae
I	2520001	14.31133333	briggsae
I	2530001	20.215	briggsae
I	2540001	22.850625	briggsae
I	2550001	22.42107143	briggsae
I	2560001	20.1175	briggsae
I	2570001	13.89428571	briggsae
I	2580001	25.243125	briggsae
I	2590001	19.16535714	briggsae
I	2600001	25.85882353	briggsae
I	2610001	26.22764706	briggsae
I	2620001	21.33066667	briggsae
I	2630001	24.78428571	briggsae
I	2640001	28.70590909	briggsae
I	2650001	15.56518519	briggsae
I	2660001	19.4836	briggsae
I	2670001	14.00882353	briggsae
I	2680001	23.05510638	briggsae
I	2690001	21.01266667	briggsae
I	2700001	24.35314286	briggsae
I	2710001	23.84818182	briggsae
I	2720001	19.55285714	briggsae
I	2730001	22.702	briggsae
I	2740001	19.48	briggsae
I	2750001	23.43133333	briggsae
I	2760001	27.67357143	briggsae
I	2770001	23.4296875	briggsae
I	2780001	16.79	briggsae
I	2790001	20.90714286	briggsae
I	2800001	19.35266667	briggsae
I	2810001	21.83521739	briggsae
I	2820001	18.765	briggsae
I	2830001	20.70592593	briggsae
I	2840001	20.84933333	briggsae
I	2850001	15.95636364	briggsae
I	2860001	17.57358974	briggsae
I	2870001	20.69658537	briggsae
I	2880001	21.61463415	briggsae
I	2890001	24.568125	briggsae
I	2900001	19.45294118	briggsae
I	2910001	10.38333333	briggsae
I	2920001	22.36722222	briggsae
I	2930001	22.1025	briggsae
I	2940001	19.6530303	briggsae
I	2950001	19.42431818	briggsae
I	2960001	25.984	briggsae
I	2970001	14.525	briggsae
I	2980001	20.71956522	briggsae
I	2990001	22.08705882	briggsae
I	3000001	22.59961538	briggsae
I	3010001	24.33482759	briggsae
I	3020001	19.43928571	briggsae
I	3030001	19.89818182	briggsae
I	3040001	22.44428571	briggsae
I	3050001	24.02695652	briggsae
I	3060001	19.51352941	briggsae
I	3070001	15.15214286	briggsae
I	3080001	27.415	briggsae
I	3090001	23.92464286	briggsae
I	3100001	13.53545455	briggsae
I	3110001	20.608125	briggsae
I	3120001	22.13078431	briggsae
I	3130001	14.4040625	briggsae
I	3140001	8.334615385	briggsae
I	3150001	13.0034375	briggsae
I	3160001	11.48125	briggsae
I	3170001	10.93	briggsae
I	3180001	10.61	briggsae
I	3190001	12.30090909	briggsae
I	3200001	13.579375	briggsae
I	3210001	22.31555556	briggsae
I	3220001	9.848	briggsae
I	3230001	25.28793103	briggsae
I	3240001	17.17130435	briggsae
I	3250001	16.235	briggsae
I	3260001	22.49368421	briggsae
I	3270001	16.298	briggsae
I	3280001	12.36333333	briggsae
I	3290001	31.67419355	briggsae
I	3300001	23.79	briggsae
I	3310001	24.21888889	briggsae
I	3320001	17.70060606	briggsae
I	3330001	22.48941176	briggsae
I	3340001	16.0825	briggsae
I	3350001	19.35918367	briggsae
I	3360001	16.78944444	briggsae
I	3370001	25.39394737	briggsae
I	3380001	20.68392857	briggsae
I	3390001	23.78777778	briggsae
I	3400001	20.5402439	briggsae
I	3410001	13.5125	briggsae
I	3420001	17.74323529	briggsae
I	3430001	7.655	briggsae
I	3440001	18.79058824	briggsae
I	3450001	9.03	briggsae
I	3460001	11.94666667	briggsae
I	3470001	22.53060606	briggsae
I	3480001	17.93294118	briggsae
I	3490001	18.49263158	briggsae
I	3500001	16.38764706	briggsae
I	3510001	5.22	briggsae
I	3530001	14.94551724	briggsae
I	3540001	17.492	briggsae
I	3550001	26.15	briggsae
I	3560001	17.12777778	briggsae
I	3570001	15.14571429	briggsae
I	3590001	17.848	briggsae
I	3600001	17.42142857	briggsae
I	3610001	12.53285714	briggsae
I	3620001	12.849	briggsae
I	3630001	14.864	briggsae
I	3640001	12.32	briggsae
I	3650001	17.19214286	briggsae
I	3660001	19.35235294	briggsae
I	3670001	16.56485714	briggsae
I	3680001	18.63444444	briggsae
I	3690001	20.805	briggsae
I	3700001	18.04	briggsae
I	3710001	18.8625	briggsae
I	3720001	14.804375	briggsae
I	3730001	18.11041667	briggsae
I	3740001	21.68652174	briggsae
I	3750001	15.73875	briggsae
I	3760001	27.86	briggsae
I	3780001	19.42933333	briggsae
I	3790001	19.07789474	briggsae
I	3800001	12.63375	briggsae
I	3810001	13.47444444	briggsae
I	3820001	22.59090909	briggsae
I	3830001	10.6232	briggsae
I	3840001	19.72	briggsae
I	3850001	25.7	briggsae
I	3860001	22.3725	briggsae
I	3870001	16.06941176	briggsae
I	3880001	16.45235294	briggsae
I	3890001	8.99	briggsae
I	3900001	15.62666667	briggsae
I	3910001	22.32238095	briggsae
I	3920001	14.27153846	briggsae
I	3930001	11.83333333	briggsae
I	3940001	12.17555556	briggsae
I	3950001	14.38666667	briggsae
I	3960001	17.6225	briggsae
I	3970001	13.324	briggsae
I	3980001	15.102	briggsae
I	4000001	3.99	briggsae
I	4010001	6.685	briggsae
I	4020001	12.36157895	briggsae
I	4030001	17.47032258	briggsae
I	4040001	19.4412	briggsae
I	4050001	19.22111111	briggsae
I	4060001	24.85444444	briggsae
I	4080001	15.04	briggsae
I	4090001	26.35666667	briggsae
I	4100001	14.40625	briggsae
I	4110001	17.0325	briggsae
I	4120001	18.01677419	briggsae
I	4150001	13.97933333	briggsae
I	4160001	21.77	briggsae
I	4170001	23.42	briggsae
I	4180001	18.68	briggsae
I	4190001	12.51	briggsae
I	4200001	15.63038462	briggsae
I	4210001	19.5273913	briggsae
I	4220001	18.71590909	briggsae
I	4230001	16.52071429	briggsae
I	4240001	21.42434783	briggsae
I	4250001	14.24076923	briggsae
I	4260001	20.11153846	briggsae
I	4270001	20.85363636	briggsae
I	4280001	19.38142857	briggsae
I	4290001	12.51538462	briggsae
I	4300001	6.13	briggsae
I	4310001	7.798	briggsae
I	4320001	2.45	briggsae
I	4330001	20.1896	briggsae
I	4340001	23.96388889	briggsae
I	4350001	19.83133333	briggsae
I	4360001	24.3892	briggsae
I	4370001	9.786	briggsae
I	4380001	20.19222222	briggsae
I	4390001	14.6264	briggsae
I	4400001	16.27333333	briggsae
I	4410001	16.583125	briggsae
I	4420001	8.925555556	briggsae
I	4430001	3.785	briggsae
I	4440001	2.495	briggsae
I	4450001	20.6095	briggsae
I	4460001	12.49785714	briggsae
I	4470001	16.30842105	briggsae
I	4480001	13.74083333	briggsae
I	4490001	24.935	briggsae
I	4500001	19.21	briggsae
I	4510001	18.139	briggsae
I	4520001	13.46142857	briggsae
I	4530001	4.918571429	briggsae
I	4540001	18.25647059	briggsae
I	4550001	21.31571429	briggsae
I	4560001	12.56125	briggsae
I	4570001	22.1525	briggsae
I	4580001	16.39	briggsae
I	4590001	9.985294118	briggsae
I	4600001	8.89	briggsae
I	4610001	14.79133333	briggsae
I	4620001	19.21857143	briggsae
I	4630001	20.3847619	briggsae
I	4640001	20.75083333	briggsae
I	4650001	14.46166667	briggsae
I	4660001	12.77653846	briggsae
I	4670001	10.18769231	briggsae
I	4680001	15.5525	briggsae
I	4690001	18.147	briggsae
I	4700001	16.55125	briggsae
I	4710001	10.29142857	briggsae
I	4720001	18.00733333	briggsae
I	4730001	14.848	briggsae
I	4740001	19.073125	briggsae
I	4750001	19.554	briggsae
I	4760001	15.08222222	briggsae
I	4770001	25.935	briggsae
I	4780001	15.56714286	briggsae
I	4790001	13.08041667	briggsae
I	4800001	22.86166667	briggsae
I	4810001	14.88818182	briggsae
I	4820001	15.971	briggsae
I	4830001	22.43076923	briggsae
I	4840001	24.78956522	briggsae
I	4850001	17.91318182	briggsae
I	4860001	16.65166667	briggsae
I	4870001	15.45555556	briggsae
I	4880001	20.27277778	briggsae
I	4890001	19.90923077	briggsae
I	4900001	18.07636364	briggsae
I	4910001	3.4125	briggsae
I	4920001	18.6716	briggsae
I	4930001	17.819	briggsae
I	4940001	18.64375	briggsae
I	4950001	19.235625	briggsae
I	4960001	13.55904762	briggsae
I	4970001	21.12	briggsae
I	4980001	15.21875	briggsae
I	4990001	10.78714286	briggsae
I	5000001	12.7425	briggsae
I	5010001	10.62764706	briggsae
I	5020001	15.092	briggsae
I	5030001	13.705	briggsae
I	5040001	17.70666667	briggsae
I	5050001	19.03588235	briggsae
I	5060001	15.28	briggsae
I	5070001	16.2144	briggsae
I	5080001	23.845	briggsae
I	5090001	22.58133333	briggsae
I	5100001	4.155	briggsae
I	5110001	18.96388889	briggsae
I	5120001	4.46	briggsae
I	5140001	18.96904762	briggsae
I	5150001	21.08625	briggsae
I	5160001	11.21666667	briggsae
I	5170001	14.30424242	briggsae
I	5180001	19.79666667	briggsae
I	5190001	25.18941176	briggsae
I	5200001	21.33	briggsae
I	5210001	16.61875	briggsae
I	5220001	21.03	briggsae
I	5230001	20.7874359	briggsae
I	5240001	23.50384615	briggsae
I	5250001	13.5075	briggsae
I	5260001	20.88052632	briggsae
I	5270001	20.99944444	briggsae
I	5280001	20.35125	briggsae
I	5290001	12.336	briggsae
I	5300001	28.77052632	briggsae
I	5310001	16.08705882	briggsae
I	5320001	15.31	briggsae
I	5330001	22.45222222	briggsae
I	5340001	14.49230769	briggsae
I	5350001	13.27	briggsae
I	5360001	20.43	briggsae
I	5370001	16.01384615	briggsae
I	5380001	2.02	briggsae
I	5390001	18.89375	briggsae
I	5400001	13.35888889	briggsae
I	5410001	8.021	briggsae
I	5420001	23.68895833	briggsae
I	5430001	15.898	briggsae
I	5440001	21.156	briggsae
I	5450001	5.106666667	briggsae
I	5460001	7.32	briggsae
I	5470001	21.00027778	briggsae
I	5480001	20.69185185	briggsae
I	5490001	20.99608696	briggsae
I	5500001	8.844666667	briggsae
I	5510001	11.83888889	briggsae
I	5520001	14.24411765	briggsae
I	5530001	19.15736842	briggsae
I	5540001	8.89375	briggsae
I	5550001	13.67	briggsae
I	5560001	13.825	briggsae
I	5570001	10.43222222	briggsae
I	5580001	13.33315789	briggsae
I	5590001	20.318	briggsae
I	5600001	7.55125	briggsae
I	5610001	15.773	briggsae
I	5620001	14.158	briggsae
I	5630001	9.907272727	briggsae
I	5640001	8.61	briggsae
I	5650001	15.44083333	briggsae
I	5660001	22.66526316	briggsae
I	5670001	19.242	briggsae
I	5680001	8.883333333	briggsae
I	5690001	22.306	briggsae
I	5700001	16.58647059	briggsae
I	5710001	11.95	briggsae
I	5720001	2	briggsae
I	5730001	8.47	briggsae
I	5740001	27.569	briggsae
I	5750001	22.55230769	briggsae
I	5760001	22.65090909	briggsae
I	5770001	15.46666667	briggsae
I	5780001	18.79517241	briggsae
I	5790001	16.57076923	briggsae
I	5800001	7.955	briggsae
I	5810001	9.52	briggsae
I	5820001	5.856	briggsae
I	5830001	10.096	briggsae
I	5840001	15.93	briggsae
I	5850001	10.80705882	briggsae
I	5860001	6.755714286	briggsae
I	5870001	18.09307692	briggsae
I	5880001	19.46833333	briggsae
I	5910001	16.675	briggsae
I	5920001	20.44666667	briggsae
I	5930001	15.3625	briggsae
I	5940001	18.85285714	briggsae
I	5950001	11.91	briggsae
I	5960001	22.63125	briggsae
I	5970001	9.925	briggsae
I	5980001	18.50785714	briggsae
I	5990001	7.2	briggsae
I	6000001	16.98428571	briggsae
I	6010001	9.51125	briggsae
I	6020001	27.43857143	briggsae
I	6030001	12.32428571	briggsae
I	6040001	19.34222222	briggsae
I	6050001	15.98034483	briggsae
I	6060001	21.28459459	briggsae
I	6070001	13.80333333	briggsae
I	6080001	23.98903226	briggsae
I	6090001	18.2775	briggsae
I	6100001	8.98	briggsae
I	6110001	16.91181818	briggsae
I	6120001	25.33347826	briggsae
I	6130001	20.16375	briggsae
I	6150001	11.715	briggsae
I	6160001	15.952	briggsae
I	6170001	21.21125	briggsae
I	6180001	18.289	briggsae
I	6190001	14.53842105	briggsae
I	6200001	18.40689655	briggsae
I	6210001	21.08421053	briggsae
I	6220001	16.4725	briggsae
I	6230001	18.20555556	briggsae
I	6240001	14.86181818	briggsae
I	6250001	16.7565	briggsae
I	6260001	19.646	briggsae
I	6270001	24.6462069	briggsae
I	6280001	24.34232558	briggsae
I	6290001	18.86148148	briggsae
I	6300001	13.26333333	briggsae
I	6310001	17.96545455	briggsae
I	6320001	18.3115	briggsae
I	6330001	23.36714286	briggsae
I	6340001	15.39304348	briggsae
I	6350001	15.11888889	briggsae
I	6360001	20.73	briggsae
I	6370001	15.13521739	briggsae
I	6380001	24.12583333	briggsae
I	6390001	12.52851852	briggsae
I	6400001	27.20277778	briggsae
I	6410001	28.39238095	briggsae
I	6420001	24.55444444	briggsae
I	6430001	14.386	briggsae
I	6440001	15.65666667	briggsae
I	6450001	24.93411765	briggsae
I	6460001	17.80066667	briggsae
I	6470001	15.0092	briggsae
I	6480001	21.3775	briggsae
I	6490001	18.836875	briggsae
I	6500001	19.95391304	briggsae
I	6510001	25.88846154	briggsae
I	6520001	18.0975	briggsae
I	6530001	30.41114286	briggsae
I	6540001	24.82818182	briggsae
I	6550001	10.59	briggsae
I	6560001	13.23210526	briggsae
I	6580001	4.0075	briggsae
I	6590001	21.17611111	briggsae
I	6600001	13.02444444	briggsae
I	6610001	18.42857143	briggsae
I	6620001	25.3844	briggsae
I	6630001	23.88088889	briggsae
I	6640001	20.4425	briggsae
I	6650001	21.97461538	briggsae
I	6670001	13.08294118	briggsae
I	6680001	19.214	briggsae
I	6690001	22.03272727	briggsae
I	6700001	10.875	briggsae
I	6710001	19.1232	briggsae
I	6720001	23.20892308	briggsae
I	6740001	9.49	briggsae
I	6750001	19.30166667	briggsae
I	6760001	19.67473684	briggsae
I	6770001	22.14214286	briggsae
I	6780001	26.606875	briggsae
I	6790001	20.64192308	briggsae
I	6800001	13.08692308	briggsae
I	6810001	11.3675	briggsae
I	6820001	13.66785714	briggsae
I	6830001	24.13846154	briggsae
I	6840001	26.11268293	briggsae
I	6850001	16.61875	briggsae
I	6860001	11.275	briggsae
I	6870001	19.08814815	briggsae
I	6880001	24.89571429	briggsae
I	6890001	23.67727273	briggsae
I	6900001	7.670714286	briggsae
I	6910001	21.80323529	briggsae
I	6920001	28.67857143	briggsae
I	6930001	27.289	briggsae
I	6940001	20.95538462	briggsae
I	6950001	19.23863636	briggsae
I	6960001	30.825	briggsae
I	6970001	24.52642857	briggsae
I	6980001	24.38478261	briggsae
I	6990001	26.79466667	briggsae
I	7000001	23.5096875	briggsae
I	7010001	22.926	briggsae
I	7020001	21.64851852	briggsae
I	7030001	22.78032258	briggsae
I	7040001	19.75045455	briggsae
I	7050001	17.6521875	briggsae
I	7060001	21.01911765	briggsae
I	7070001	24.06913043	briggsae
I	7080001	14.32681818	briggsae
I	7090001	16.55434783	briggsae
I	7100001	26.05411765	briggsae
I	7110001	10.79058824	briggsae
I	7120001	26.0530303	briggsae
I	7130001	31.96526316	briggsae
I	7140001	18.0730303	briggsae
I	7150001	24.27689655	briggsae
I	7160001	24.59568182	briggsae
I	7170001	19.66081081	briggsae
I	7180001	27.22	briggsae
I	7190001	27.67509091	briggsae
I	7200001	24.80043478	briggsae
I	7210001	26.43952381	briggsae
I	7220001	30.07041667	briggsae
I	7230001	18.67125	briggsae
I	7240001	18.74375	briggsae
I	7250001	19.54133333	briggsae
I	7260001	18.74304348	briggsae
I	7270001	26.38722222	briggsae
I	7280001	21.32	briggsae
I	7290001	19.888	briggsae
I	7300001	14.74714286	briggsae
I	7310001	20.305625	briggsae
I	7320001	14.6072	briggsae
I	7330001	14.59266667	briggsae
I	7340001	11.61914286	briggsae
I	7350001	8.865	briggsae
I	7360001	1.1675	briggsae
I	7370001	12.0365	briggsae
I	7380001	18.19777778	briggsae
I	7390001	18.91454545	briggsae
I	7400001	17.79583333	briggsae
I	7410001	24.137	briggsae
I	7420001	15.1825	briggsae
I	7430001	19.30217391	briggsae
I	7440001	16.77777778	briggsae
I	7450001	16.005	briggsae
I	7460001	16.40086957	briggsae
I	7480001	6.605	briggsae
I	7490001	10.639	briggsae
I	7500001	6.594444444	briggsae
I	7510001	6.626666667	briggsae
I	7520001	13.93730769	briggsae
I	7530001	18.73	briggsae
I	7540001	18.85	briggsae
I	7550001	19.31148148	briggsae
I	7560001	13.814	briggsae
I	7570001	21.61444444	briggsae
I	7580001	14.06375	briggsae
I	7590001	20.30727273	briggsae
I	7600001	9.03125	briggsae
I	7610001	7.963571429	briggsae
I	7620001	16.28	briggsae
I	7630001	19.85	briggsae
I	7640001	15.438	briggsae
I	7650001	24.26266667	briggsae
I	7660001	9.6625	briggsae
I	7670001	11.50333333	briggsae
I	7680001	17.71666667	briggsae
I	7690001	19.55363636	briggsae
I	7700001	16.77214286	briggsae
I	7710001	21.79	briggsae
I	7730001	19.06769231	briggsae
I	7740001	12.88787879	briggsae
I	7750001	12.94	briggsae
I	7760001	9.996	briggsae
I	7770001	17.94333333	briggsae
I	7780001	12.64416667	briggsae
I	7790001	16.72066667	briggsae
I	7800001	14.67857143	briggsae
I	7810001	18.50888889	briggsae
I	7820001	7.383636364	briggsae
I	7830001	19.302	briggsae
I	7840001	17.03666667	briggsae
I	7850001	17.22238095	briggsae
I	7860001	16.42733333	briggsae
I	7870001	18.74033333	briggsae
I	7880001	22.61346154	briggsae
I	7890001	24.89227273	briggsae
I	7900001	20.24352941	briggsae
I	7910001	14.60586207	briggsae
I	7920001	18.94	briggsae
I	7930001	9.45	briggsae
I	7940001	11.49555556	briggsae
I	7950001	20.06	briggsae
I	7960001	20.92176471	briggsae
I	7970001	12.22	briggsae
I	7980001	2.074	briggsae
I	7990001	10.66	briggsae
I	8000001	29.58428571	briggsae
I	8010001	19.67933333	briggsae
I	8020001	18.341875	briggsae
I	8030001	22.215	briggsae
I	8050001	23.806	briggsae
I	8060001	17.04272727	briggsae
I	8070001	14.36307692	briggsae
I	8080001	15.60083333	briggsae
I	8090001	17.97764706	briggsae
I	8100001	16.6165	briggsae
I	8110001	8.8995	briggsae
I	8120001	21.29	briggsae
I	8130001	25.83	briggsae
I	8140001	14.964	briggsae
I	8150001	14.79055556	briggsae
I	8160001	11.863	briggsae
I	8170001	9.433333333	briggsae
I	8180001	14.42	briggsae
I	8190001	15.09909091	briggsae
I	8200001	8.775	briggsae
I	8210001	21.70545455	briggsae
I	8220001	14.97976744	briggsae
I	8230001	11.88909091	briggsae
I	8240001	19.84	briggsae
I	8250001	16.19	briggsae
I	8260001	20.55869565	briggsae
I	8270001	16.1875	briggsae
I	8280001	14.70153846	briggsae
I	8290001	7.02	briggsae
I	8300001	22.015	briggsae
I	8310001	27.83352941	briggsae
I	8320001	20.56571429	briggsae
I	8330001	16.79125	briggsae
I	8340001	14.2	briggsae
I	8350001	20.77461538	briggsae
I	8360001	16.97115385	briggsae
I	8370001	12.68909091	briggsae
I	8380001	23.96090909	briggsae
I	8390001	16.32941176	briggsae
I	8400001	24.6373913	briggsae
I	8410001	20.84	briggsae
I	8430001	28.52909091	briggsae
I	8440001	19.774	briggsae
I	8450001	18.10266667	briggsae
I	8460001	21.58217391	briggsae
I	8470001	15.850625	briggsae
I	8480001	16.79647059	briggsae
I	8490001	12.17333333	briggsae
I	8500001	1.45	briggsae
I	8510001	19.835	briggsae
I	8520001	18.76	briggsae
I	8530001	2.71	briggsae
I	8540001	19.25611111	briggsae
I	8550001	0.97	briggsae
I	8560001	13.325	briggsae
I	8570001	14.6552	briggsae
I	8580001	14.01230769	briggsae
I	8590001	14.38833333	briggsae
I	8600001	19.36318182	briggsae
I	8610001	21.78045455	briggsae
I	8620001	22.14090909	briggsae
I	8630001	11.445	briggsae
I	8640001	21.31285714	briggsae
I	8650001	13.028	briggsae
I	8660001	22.13	briggsae
I	8670001	19.254	briggsae
I	8680001	12.74478261	briggsae
I	8690001	6.3475	briggsae
I	8700001	14.17	briggsae
I	8710001	20.98	briggsae
I	8720001	21.13461538	briggsae
I	8730001	22.16166667	briggsae
